led_armbåge
t	x	y
0.000000000E0	1.573196103E1	1.123711502E1
4.000000000E-2	1.570997669E1	1.126923428E1
8.000000000E-2	1.569977701E1	1.136848285E1
1.200000000E-1	1.566288644E1	1.153124229E1
1.600000000E-1	1.559904350E1	1.184437206E1
2.000000000E-1	1.554941025E1	1.242962120E1
2.400000000E-1	1.545413185E1	1.303651490E1
2.800000000E-1	1.540958861E1	1.364296832E1
3.200000000E-1	1.531900125E1	1.422007075E1
3.600000000E-1	1.529713088E1	1.465169760E1
4.000000000E-1	1.524440238E1	1.487526537E1
4.400000000E-1	1.517150153E1	1.494222851E1
4.800000000E-1	1.516469204E1	1.492663702E1
5.200000000E-1	1.526280427E1	1.487342557E1
5.600000000E-1	1.539642175E1	1.480551413E1
6.000000000E-1	1.546745176E1	1.480063676E1
6.400000000E-1	1.547545211E1	1.478602793E1
6.800000000E-1	1.549636004E1	1.480368674E1
7.200000000E-1	1.556072456E1	1.482153352E1
7.600000000E-1	1.566886069E1	1.473376591E1
8.000000000E-1	1.573964146E1	1.459571940E1
8.400000000E-1	1.573016619E1	1.444492932E1
8.800000000E-1	1.571896490E1	1.437388759E1
9.200000000E-1	1.570146636E1	1.425548738E1
9.600000000E-1	1.570325552E1	1.410420765E1
1.000000000E0	1.569029558E1	1.395180598E1
1.040000000E0	1.567424587E1	1.379760151E1
1.080000000E0	1.570229695E1	1.364750743E1
1.120000000E0	1.572194813E1	1.348689297E1
1.160000000E0	1.573343673E1	1.334128175E1
1.200000000E0	1.575513263E1	1.320292248E1
1.240000000E0	1.584822986E1	1.307908734E1
1.280000000E0	1.592318271E1	1.293781331E1
1.320000000E0	1.600749898E1	1.273838373E1
1.360000000E0	1.603503837E1	1.248556956E1
1.400000000E0	1.604307140E1	1.228657652E1
1.440000000E0	1.604258515E1	1.212486841E1
1.480000000E0	1.604230688E1	1.210865716E1
1.520000000E0	1.604485140E1	1.210921864E1
1.560000000E0	1.605768362E1	1.209956672E1
1.600000000E0	1.604148361E1	1.208753177E1
1.640000000E0	1.602275660E1	1.211904089E1
1.680000000E0	1.600798298E1	1.220798390E1
1.720000000E0	1.603283594E1	1.227033678E1
1.760000000E0	1.603629368E1	1.229631916E1
1.800000000E0	1.603064634E1	1.228972753E1
1.840000000E0	1.600009026E1	1.227176198E1
1.880000000E0	1.588129116E1	1.227118962E1
1.920000000E0	1.574878874E1	1.215296411E1
1.960000000E0	1.570845290E1	1.207026896E1
2.000000000E0	1.574111405E1	1.200472887E1
2.040000000E0	1.583472050E1	1.210260577E1
2.080000000E0	1.588176403E1	1.214378410E1
2.120000000E0	1.587869513E1	1.213561989E1
2.160000000E0	1.587013980E1	1.212829659E1
2.200000000E0	1.584222021E1	1.212230606E1
2.240000000E0	1.584492256E1	1.212322069E1
2.280000000E0	1.585263494E1	1.212359551E1
2.320000000E0	1.584277524E1	1.210631554E1
2.360000000E0	1.584132565E1	1.207166871E1
2.400000000E0	1.580451650E1	1.200626401E1
2.440000000E0	1.573945774E1	1.198600191E1
2.480000000E0	1.573584050E1	1.197917325E1
2.520000000E0	1.573765939E1	1.197734814E1
2.560000000E0	1.573762133E1	1.197914809E1
2.600000000E0	1.573396686E1	1.198139798E1
2.640000000E0	1.571722992E1	1.199104313E1
2.680000000E0	1.574886551E1	1.212570406E1
2.720000000E0	1.597435306E1	1.227254321E1
2.760000000E0	1.652918217E1	1.256163151E1
2.800000000E0	1.748518894E1	1.304162894E1
2.840000000E0	1.870951106E1	1.363437129E1
2.880000000E0	2.021124820E1	1.441011712E1
2.920000000E0	2.198861921E1	1.534995635E1
2.960000000E0	2.405259435E1	1.646194585E1
3.000000000E0	2.622182742E1	1.768121916E1
3.040000000E0	2.849270258E1	1.895679405E1
3.080000000E0	3.064569363E1	2.022956586E1
3.120000000E0	3.266860629E1	2.130190531E1
3.160000000E0	3.444079987E1	2.219596815E1
3.200000000E0	3.588980403E1	2.280307922E1
3.240000000E0	3.698232339E1	2.319953830E1
3.280000000E0	3.769911474E1	2.343928711E1
3.320000000E0	3.820459110E1	2.360510713E1
3.360000000E0	3.851567889E1	2.376978197E1
3.400000000E0	3.869322772E1	2.393752907E1
3.440000000E0	3.880633408E1	2.399784212E1
3.480000000E0	3.882103226E1	2.398034458E1
3.520000000E0	3.878887147E1	2.396798174E1
3.560000000E0	3.860389546E1	2.382035379E1
3.600000000E0	3.820322761E1	2.355325542E1
3.640000000E0	3.758280002E1	2.320063974E1
3.680000000E0	3.659625123E1	2.257847128E1
3.720000000E0	3.532387479E1	2.176641819E1
3.760000000E0	3.377502101E1	2.076061699E1
3.800000000E0	3.207903778E1	1.988581468E1
3.840000000E0	3.024284293E1	1.894287374E1
3.880000000E0	2.828674532E1	1.796563995E1
3.920000000E0	2.623706804E1	1.701727333E1
3.960000000E0	2.410837724E1	1.603173910E1
4.000000000E0	2.205492790E1	1.514276437E1
4.040000000E0	2.013428198E1	1.440038401E1
4.080000000E0	1.840758108E1	1.381258546E1
4.120000000E0	1.695752908E1	1.332478416E1
4.160000000E0	1.574523093E1	1.292781203E1
4.200000000E0	1.483122100E1	1.256920366E1
4.240000000E0	1.411789929E1	1.226114866E1
4.280000000E0	1.364187988E1	1.196019037E1
4.320000000E0	1.337258677E1	1.169467015E1
4.360000000E0	1.325229300E1	1.140866714E1
4.400000000E0	1.328757741E1	1.126768481E1
4.440000000E0	1.336736327E1	1.109399802E1
4.480000000E0	1.346932636E1	1.105939506E1
4.520000000E0	1.348355573E1	1.095722524E1
4.560000000E0	1.350059173E1	1.094275368E1
4.600000000E0	1.350817265E1	1.094687547E1
4.640000000E0	1.351222075E1	1.095232034E1
4.680000000E0	1.351254152E1	1.096034529E1
4.720000000E0	1.371771043E1	1.110796710E1
4.760000000E0	1.435596891E1	1.135259437E1
4.800000000E0	1.542725222E1	1.179211181E1
4.840000000E0	1.692333912E1	1.243819521E1
4.880000000E0	1.886354407E1	1.330168867E1
4.920000000E0	2.115049914E1	1.433874969E1
4.960000000E0	2.364075685E1	1.555995726E1
5.000000000E0	2.615812747E1	1.685322964E1
5.040000000E0	2.861445141E1	1.815391471E1
5.080000000E0	3.091193187E1	1.945465296E1
5.120000000E0	3.300254882E1	2.062031124E1
5.160000000E0	3.479896489E1	2.164044763E1
5.200000000E0	3.626307907E1	2.237070618E1
5.240000000E0	3.737345964E1	2.294429277E1
5.280000000E0	3.813396993E1	2.342797691E1
5.320000000E0	3.871743333E1	2.369219623E1
5.360000000E0	3.908576627E1	2.393099685E1
5.400000000E0	3.928350144E1	2.399810024E1
5.440000000E0	3.936218585E1	2.409396644E1
5.480000000E0	3.938773006E1	2.407798483E1
5.520000000E0	3.930727459E1	2.402148321E1
5.560000000E0	3.914412783E1	2.384620500E1
5.600000000E0	3.887005994E1	2.360483720E1
5.640000000E0	3.834122921E1	2.324174774E1
5.680000000E0	3.746974882E1	2.260155087E1
5.720000000E0	3.638827977E1	2.186406772E1
5.760000000E0	3.500650961E1	2.092013357E1
5.800000000E0	3.337200741E1	1.995793961E1
5.840000000E0	3.158243273E1	1.891976302E1
5.880000000E0	2.963422932E1	1.780886354E1
5.920000000E0	2.766614766E1	1.679328526E1
5.960000000E0	2.575328181E1	1.570445049E1
6.000000000E0	2.379330276E1	1.460731348E1
6.040000000E0	2.191034782E1	1.351374393E1
6.080000000E0	2.016982363E1	1.259802063E1
6.120000000E0	1.850781687E1	1.184827231E1
6.160000000E0	1.694279898E1	1.125493882E1
6.200000000E0	1.562876839E1	1.090729367E1
6.240000000E0	1.460378900E1	1.065304086E1
6.280000000E0	1.391191663E1	1.052578670E1
6.320000000E0	1.359325432E1	1.039459680E1
6.360000000E0	1.350567558E1	1.027456436E1
6.400000000E0	1.348794256E1	1.018419383E1
6.440000000E0	1.349052680E1	1.006510806E1
6.480000000E0	1.352594814E1	1.001292295E1
