led_axel
t	x	y
0.000000000E0	8.024197918E0	2.859687556E1
4.000000000E-2	7.830100203E0	2.861243316E1
8.000000000E-2	7.575987337E0	2.865040905E1
1.200000000E-1	7.304204252E0	2.879424036E1
1.600000000E-1	7.074291079E0	2.908790248E1
2.000000000E-1	6.794119150E0	2.962748115E1
2.400000000E-1	6.500783224E0	3.011745697E1
2.800000000E-1	6.092416215E0	3.061162417E1
3.200000000E-1	5.649433048E0	3.098024984E1
3.600000000E-1	5.148063417E0	3.114964401E1
4.000000000E-1	4.546973019E0	3.101025355E1
4.400000000E-1	4.133799386E0	3.094919276E1
4.800000000E-1	4.108525757E0	3.088242078E1
5.200000000E-1	4.301422356E0	3.083408154E1
5.600000000E-1	4.696951774E0	3.082527925E1
6.000000000E-1	5.120507195E0	3.086780111E1
6.400000000E-1	5.557672934E0	3.094805221E1
6.800000000E-1	6.036866191E0	3.101756463E1
7.200000000E-1	6.422354678E0	3.111692905E1
7.600000000E-1	6.836456167E0	3.106906021E1
8.000000000E-1	7.165019218E0	3.101038985E1
8.400000000E-1	7.349985519E0	3.093538443E1
8.800000000E-1	7.454737142E0	3.088764387E1
9.200000000E-1	7.481767961E0	3.079709858E1
9.600000000E-1	7.472653327E0	3.070257461E1
1.000000000E0	7.445382283E0	3.057688539E1
1.040000000E0	7.399691384E0	3.043194187E1
1.080000000E0	7.331184841E0	3.037969750E1
1.120000000E0	7.388202077E0	3.023014985E1
1.160000000E0	7.435452133E0	3.011745174E1
1.200000000E0	7.567898093E0	3.005381017E1
1.240000000E0	7.741401966E0	2.996343423E1
1.280000000E0	8.016182084E0	2.982683381E1
1.320000000E0	8.257009536E0	2.967146005E1
1.360000000E0	8.440836622E0	2.949803515E1
1.400000000E0	8.468782046E0	2.933841034E1
1.440000000E0	8.443524811E0	2.919247806E1
1.480000000E0	8.335659896E0	2.917101343E1
1.520000000E0	8.277770647E0	2.912170070E1
1.560000000E0	8.235488305E0	2.908483015E1
1.600000000E0	8.177124508E0	2.893897344E1
1.640000000E0	8.186679181E0	2.890097928E1
1.680000000E0	8.326270170E0	2.900284991E1
1.720000000E0	8.477682666E0	2.906005724E1
1.760000000E0	8.511688696E0	2.916816448E1
1.800000000E0	8.595622301E0	2.916521502E1
1.840000000E0	8.591703301E0	2.911632697E1
1.880000000E0	8.478864669E0	2.905791466E1
1.920000000E0	8.449643729E0	2.903894434E1
1.960000000E0	8.487426825E0	2.902112565E1
2.000000000E0	8.616712752E0	2.903188086E1
2.040000000E0	8.669196162E0	2.914563226E1
2.080000000E0	8.752353881E0	2.919948924E1
2.120000000E0	8.762637288E0	2.919508699E1
2.160000000E0	8.764470430E0	2.919554496E1
2.200000000E0	8.756046639E0	2.918978560E1
2.240000000E0	8.744893260E0	2.919001807E1
2.280000000E0	8.650426243E0	2.919024690E1
2.320000000E0	8.619263928E0	2.917796776E1
2.360000000E0	8.597515194E0	2.911882974E1
2.400000000E0	8.545739410E0	2.906686784E1
2.440000000E0	8.495359162E0	2.904658693E1
2.480000000E0	8.491623523E0	2.903993446E1
2.520000000E0	8.504985344E0	2.904168522E1
2.560000000E0	8.514476249E0	2.903544908E1
2.600000000E0	8.493439478E0	2.904104379E1
2.640000000E0	8.485423791E0	2.904739623E1
2.680000000E0	8.490651311E0	2.914832775E1
2.720000000E0	8.640745528E0	2.920980368E1
2.760000000E0	8.959574596E0	2.942096280E1
2.800000000E0	9.412390062E0	2.969304356E1
2.840000000E0	9.958436003E0	2.995937790E1
2.880000000E0	1.054458004E1	3.030690131E1
2.920000000E0	1.128738307E1	3.075632225E1
2.960000000E0	1.220768399E1	3.124129857E1
3.000000000E0	1.316390676E1	3.177767193E1
3.040000000E0	1.423254621E1	3.232745806E1
3.080000000E0	1.534235922E1	3.283251725E1
3.120000000E0	1.646768050E1	3.326204151E1
3.160000000E0	1.755769480E1	3.364138719E1
3.200000000E0	1.851990597E1	3.394894327E1
3.240000000E0	1.929827310E1	3.416578003E1
3.280000000E0	1.983584771E1	3.427784116E1
3.320000000E0	2.021357767E1	3.435591161E1
3.360000000E0	2.042782106E1	3.441953457E1
3.400000000E0	2.058627886E1	3.447535350E1
3.440000000E0	2.064802924E1	3.453834797E1
3.480000000E0	2.067479041E1	3.457357554E1
3.520000000E0	2.064020461E1	3.457332885E1
3.560000000E0	2.053936289E1	3.450179616E1
3.600000000E0	2.029907615E1	3.439791813E1
3.640000000E0	1.992797070E1	3.429105140E1
3.680000000E0	1.942631499E1	3.416293496E1
3.720000000E0	1.879411818E1	3.394972449E1
3.760000000E0	1.806064914E1	3.370566835E1
3.800000000E0	1.727884191E1	3.341759200E1
3.840000000E0	1.640987027E1	3.310603854E1
3.880000000E0	1.547873280E1	3.276760325E1
3.920000000E0	1.454727705E1	3.244372574E1
3.960000000E0	1.368143749E1	3.207342868E1
4.000000000E0	1.282738465E1	3.166316509E1
4.040000000E0	1.190890561E1	3.123757291E1
4.080000000E0	1.108215231E1	3.095470676E1
4.120000000E0	1.040114328E1	3.069091840E1
4.160000000E0	9.841352660E0	3.046411244E1
4.200000000E0	9.420244895E0	3.022749853E1
4.240000000E0	9.125699659E0	3.007514723E1
4.280000000E0	8.940509101E0	2.988137881E1
4.320000000E0	8.864119360E0	2.967717189E1
4.360000000E0	8.851987522E0	2.949523151E1
4.400000000E0	8.909337272E0	2.935585431E1
4.440000000E0	8.975283964E0	2.924396550E1
4.480000000E0	9.072004700E0	2.918479454E1
4.520000000E0	9.100665779E0	2.913036781E1
4.560000000E0	9.091366625E0	2.913839950E1
4.600000000E0	9.080623981E0	2.917877914E1
4.640000000E0	9.069678708E0	2.918298409E1
4.680000000E0	9.070319701E0	2.919352137E1
4.720000000E0	9.094840469E0	2.925531576E1
4.760000000E0	9.244357619E0	2.937040008E1
4.800000000E0	9.646938128E0	2.958152035E1
4.840000000E0	1.020532218E1	2.988099885E1
4.880000000E0	1.088158688E1	3.026683939E1
4.920000000E0	1.175740299E1	3.065099533E1
4.960000000E0	1.282586065E1	3.111770865E1
5.000000000E0	1.401506870E1	3.163901060E1
5.040000000E0	1.516361977E1	3.211933279E1
5.080000000E0	1.629873683E1	3.266045801E1
5.120000000E0	1.736915472E1	3.314155633E1
5.160000000E0	1.839906659E1	3.356923078E1
5.200000000E0	1.932568090E1	3.386282613E1
5.240000000E0	2.003421940E1	3.409315069E1
5.280000000E0	2.058245389E1	3.430634453E1
5.320000000E0	2.101737155E1	3.448768450E1
5.360000000E0	2.127944392E1	3.459519538E1
5.400000000E0	2.141229223E1	3.463164987E1
5.440000000E0	2.141958523E1	3.465983002E1
5.480000000E0	2.140006794E1	3.468366693E1
5.520000000E0	2.136194255E1	3.469455354E1
5.560000000E0	2.130480706E1	3.460802966E1
5.600000000E0	2.118617749E1	3.459119585E1
5.640000000E0	2.090698443E1	3.445907336E1
5.680000000E0	2.048532063E1	3.430249595E1
5.720000000E0	1.998272149E1	3.410900647E1
5.760000000E0	1.936344322E1	3.385239615E1
5.800000000E0	1.859401223E1	3.357596658E1
5.840000000E0	1.775549905E1	3.325310756E1
5.880000000E0	1.685572421E1	3.281204413E1
5.920000000E0	1.584571302E1	3.234120289E1
5.960000000E0	1.496282390E1	3.184057510E1
6.000000000E0	1.412487027E1	3.135335406E1
6.040000000E0	1.336974552E1	3.073650475E1
6.080000000E0	1.257532633E1	3.009036652E1
6.120000000E0	1.178230635E1	2.950489264E1
6.160000000E0	1.114156217E1	2.910692793E1
6.200000000E0	1.060694297E1	2.888432644E1
6.240000000E0	1.013385090E1	2.875777615E1
6.280000000E0	9.811919123E0	2.871214087E1
6.320000000E0	9.707332435E0	2.870507284E1
6.360000000E0	9.684011882E0	2.864572005E1
6.400000000E0	9.697162894E0	2.852796155E1
6.440000000E0	9.767517143E0	2.846175241E1
6.480000000E0	9.817005573E0	2.843244116E1
6.520000000E0	9.820772450E0	2.843525731E1
6.560000000E0	9.823041961E0	2.844055172E1
6.600000000E0	9.821551970E0	2.843695170E1
6.640000000E0	9.805855593E0	2.843936437E1
6.680000000E0	9.796300967E0	2.844913913E1
6.720000000E0	9.794462684E0	2.845707072E1
6.760000000E0	9.808735687E0	2.850928059E1
6.800000000E0	9.874028954E0	2.863432901E1
6.840000000E0	1.005689016E1	2.877962457E1
6.880000000E0	1.038847514E1	2.901568175E1
6.920000000E0	1.086045103E1	2.935075819E1
6.960000000E0	1.152938006E1	2.979092293E1
7.000000000E0	1.232870901E1	3.022364160E1
7.040000000E0	1.327846057E1	3.068534022E1
7.080000000E0	1.423696495E1	3.114287002E1
7.120000000E0	1.519154182E1	3.161703516E1
7.160000000E0	1.616606350E1	3.204085549E1
7.200000000E0	1.713270002E1	3.251230721E1
7.240000000E0	1.804785601E1	3.284086173E1
7.280000000E0	1.885763458E1	3.294564141E1
7.320000000E0	1.950766619E1	3.303819459E1
7.360000000E0	2.000367358E1	3.319328732E1
7.400000000E0	2.030172241E1	3.326349274E1
7.440000000E0	2.034559036E1	3.333470235E1
7.480000000E0	2.035076688E1	3.340855808E1
7.520000000E0	2.031267889E1	3.342104057E1
7.560000000E0	2.028177445E1	3.341970604E1
7.600000000E0	2.028019954E1	3.341227205E1
7.640000000E0	2.025807960E1	3.339511593E1
7.680000000E0	2.014260016E1	3.339085767E1
7.720000000E0	1.985687142E1	3.338834785E1
7.760000000E0	1.946096782E1	3.337815066E1
7.800000000E0	1.887858946E1	3.320505825E1
7.840000000E0	1.815956833E1	3.295879147E1
7.880000000E0	1.736564646E1	3.266968774E1
7.920000000E0	1.655905383E1	3.233869569E1
7.960000000E0	1.568356143E1	3.191360570E1
8.000000000E0	1.467156146E1	3.137400611E1
8.040000000E0	1.369517705E1	3.072789659E1
8.080000000E0	1.284610354E1	3.024225693E1
8.120000000E0	1.208122987E1	2.994866081E1
8.160000000E0	1.146761521E1	2.972413334E1
8.200000000E0	1.093271581E1	2.953636773E1
8.240000000E0	1.044980481E1	2.937892519E1
8.280000000E0	1.011043124E1	2.922776322E1
8.320000000E0	9.897739260E0	2.908843657E1
8.360000000E0	9.814536356E0	2.894339201E1
8.400000000E0	9.801643106E0	2.874348905E1
8.440000000E0	9.828831659E0	2.859433661E1
8.480000000E0	9.832068283E0	2.839608042E1
8.520000000E0	9.825581120E0	2.826041532E1
8.560000000E0	9.822578180E0	2.813242610E1
8.600000000E0	9.792910427E0	2.801386568E1
8.640000000E0	9.725051373E0	2.797490631E1
8.680000000E0	9.677993562E0	2.797656123E1
8.720000000E0	9.683357901E0	2.796765368E1
8.760000000E0	9.733448459E0	2.801673906E1
8.800000000E0	9.822550094E0	2.810433147E1
8.840000000E0	9.966119648E0	2.825610605E1
8.880000000E0	1.021412046E1	2.839915886E1
8.920000000E0	1.066033256E1	2.864602136E1
8.960000000E0	1.114264726E1	2.899005383E1
9.000000000E0	1.174899883E1	2.938321398E1
9.040000000E0	1.246661470E1	2.972884860E1
9.080000000E0	1.334985253E1	3.017473372E1
9.120000000E0	1.443328389E1	3.067121887E1
9.160000000E0	1.551152883E1	3.115103575E1
9.200000000E0	1.648527471E1	3.156406928E1
9.240000000E0	1.726569434E1	3.189442833E1
9.280000000E0	1.801617777E1	3.217388635E1
9.320000000E0	1.863687717E1	3.242052843E1
9.360000000E0	1.916833573E1	3.262873067E1
9.400000000E0	1.957083894E1	3.279756106E1
9.440000000E0	1.987314816E1	3.292891600E1
9.480000000E0	2.003572220E1	3.298251040E1
