led_handled
t	x	y
0.000000000E0	4.559952414E1	1.371825333E1
4.000000000E-2	4.558426984E1	1.372985434E1
8.000000000E-2	4.557059931E1	1.376567835E1
1.200000000E-1	4.554809438E1	1.373660059E1
1.600000000E-1	4.547330661E1	1.382168366E1
2.000000000E-1	4.550193291E1	1.391179426E1
2.400000000E-1	4.556585941E1	1.392008485E1
2.800000000E-1	4.559317924E1	1.387159076E1
3.200000000E-1	4.561714648E1	1.381493922E1
3.600000000E-1	4.575780968E1	1.369349693E1
4.000000000E-1	4.577221155E1	1.356886049E1
4.400000000E-1	4.571232237E1	1.355488687E1
4.800000000E-1	4.563954626E1	1.360914538E1
5.200000000E-1	4.569301374E1	1.367274422E1
5.600000000E-1	4.576125135E1	1.372183916E1
6.000000000E-1	4.587129087E1	1.371862947E1
6.400000000E-1	4.588608025E1	1.371575645E1
6.800000000E-1	4.589326180E1	1.371440162E1
7.200000000E-1	4.590036182E1	1.371754551E1
7.600000000E-1	4.592034431E1	1.373668129E1
8.000000000E-1	4.597650650E1	1.375190566E1
8.400000000E-1	4.595414834E1	1.372355222E1
8.800000000E-1	4.590142878E1	1.370494795E1
9.200000000E-1	4.588457537E1	1.370713861E1
9.600000000E-1	4.588362617E1	1.370948474E1
1.000000000E0	4.587780351E1	1.370406998E1
1.040000000E0	4.587649762E1	1.370895561E1
1.080000000E0	4.587292960E1	1.371150333E1
1.120000000E0	4.589196099E1	1.371787791E1
1.160000000E0	4.589817373E1	1.372128052E1
1.200000000E0	4.590756949E1	1.374731356E1
1.240000000E0	4.591600960E1	1.385765151E1
1.280000000E0	4.594814533E1	1.394154490E1
1.320000000E0	4.593251223E1	1.395423504E1
1.360000000E0	4.595566140E1	1.392594444E1
1.400000000E0	4.593736792E1	1.387870338E1
1.440000000E0	4.592948227E1	1.386677013E1
1.480000000E0	4.592901287E1	1.386763101E1
1.520000000E0	4.596376644E1	1.388702445E1
1.560000000E0	4.601124237E1	1.387964252E1
1.600000000E0	4.602430195E1	1.387054297E1
1.640000000E0	4.603020416E1	1.386149086E1
1.680000000E0	4.601474253E1	1.386544718E1
1.720000000E0	4.603260213E1	1.388566391E1
1.760000000E0	4.603003506E1	1.390774522E1
1.800000000E0	4.602110011E1	1.390704477E1
1.840000000E0	4.593406613E1	1.389007177E1
1.880000000E0	4.585566547E1	1.387049843E1
1.920000000E0	4.572306728E1	1.385458853E1
1.960000000E0	4.559711931E1	1.385725096E1
2.000000000E0	4.559710807E1	1.386971667E1
2.040000000E0	4.563139251E1	1.389184659E1
2.080000000E0	4.571067006E1	1.390132709E1
2.120000000E0	4.572657836E1	1.388473217E1
2.160000000E0	4.572551317E1	1.387361104E1
2.200000000E0	4.567212534E1	1.387072886E1
2.240000000E0	4.561062796E1	1.386564587E1
2.280000000E0	4.560203590E1	1.386806492E1
2.320000000E0	4.559936958E1	1.386654760E1
2.360000000E0	4.559081075E1	1.386084172E1
2.400000000E0	4.557689723E1	1.385149088E1
2.440000000E0	4.554767978E1	1.383322470E1
2.480000000E0	4.556766261E1	1.384521701E1
2.520000000E0	4.558439089E1	1.385712198E1
2.560000000E0	4.559162973E1	1.386301939E1
2.600000000E0	4.559374197E1	1.386991857E1
2.640000000E0	4.559842949E1	1.387252949E1
2.680000000E0	4.566774304E1	1.407518939E1
2.720000000E0	4.595123766E1	1.434842750E1
2.760000000E0	4.647183772E1	1.474324969E1
2.800000000E0	4.740110317E1	1.536702951E1
2.840000000E0	4.874826883E1	1.599927708E1
2.880000000E0	5.047515660E1	1.656337727E1
2.920000000E0	5.256339188E1	1.687972406E1
2.960000000E0	5.490249152E1	1.692445075E1
