axel
t	x	y
0.000000000E0	7.134636475E0	2.803200015E1
4.000000000E-2	7.131642489E0	2.803206339E1
8.000000000E-2	7.726787406E0	2.790071337E1
1.200000000E-1	8.283966387E0	2.774379918E1
1.600000000E-1	8.764281846E0	2.760562085E1
2.000000000E-1	9.099473728E0	2.745163273E1
2.400000000E-1	9.282276570E0	2.723950896E1
2.800000000E-1	9.300741029E0	2.699047583E1
3.200000000E-1	9.213121838E0	2.677457074E1
3.600000000E-1	9.176020024E0	2.656450812E1
4.000000000E-1	9.147273848E0	2.650987205E1
4.400000000E-1	9.185074095E0	2.647790716E1
4.800000000E-1	9.208742074E0	2.650958724E1
5.200000000E-1	9.239936240E0	2.651847812E1
5.600000000E-1	9.323980844E0	2.652495357E1
6.000000000E-1	9.366790019E0	2.653212970E1
6.400000000E-1	9.394081844E0	2.654680784E1
6.800000000E-1	9.480582839E0	2.655870508E1
7.200000000E-1	9.644911497E0	2.660726858E1
7.600000000E-1	1.013709547E1	2.670593698E1
8.000000000E-1	1.011253507E1	2.669892943E1
8.400000000E-1	1.033927473E1	2.678682383E1
8.800000000E-1	1.052996393E1	2.673140303E1
9.200000000E-1	1.066764983E1	2.670508455E1
9.600000000E-1	1.064858575E1	2.669010770E1
1.000000000E0	1.052817595E1	2.666435518E1
1.040000000E0	1.040440443E1	2.661452234E1
1.080000000E0	1.037650566E1	2.655418671E1
1.120000000E0	1.036903447E1	2.654584579E1
1.160000000E0	1.038811056E1	2.652383642E1
1.200000000E0	1.039232089E1	2.654819476E1
1.240000000E0	1.039320228E1	2.655143783E1
1.280000000E0	1.039462817E1	2.649251783E1
1.320000000E0	1.039531976E1	2.650901107E1
1.360000000E0	1.039791637E1	2.649859492E1
1.400000000E0	1.039864634E1	2.652005596E1
1.440000000E0	1.040036387E1	2.653736311E1
1.480000000E0	1.040132061E1	2.654367403E1
1.520000000E0	1.040580976E1	2.656686051E1
1.560000000E0	1.039905082E1	2.654978201E1
1.600000000E0	1.039757235E1	2.655519500E1
1.640000000E0	1.039701977E1	2.656052792E1
1.680000000E0	1.040589764E1	2.658245345E1
1.720000000E0	1.042917955E1	2.661951797E1
1.760000000E0	1.042411688E1	2.664194669E1
