Armbåge
t	x	y
0.000000000E0	1.709999991E1	9.824999950E0
4.000000000E-2	1.709450230E1	9.825633975E0
8.000000000E-2	1.709031121E1	9.825319401E0
1.200000000E-1	1.708079600E1	9.815421356E0
1.600000000E-1	1.708404646E1	9.820197747E0
2.000000000E-1	1.708921920E1	9.814423750E0
2.400000000E-1	1.709387412E1	9.818563596E0
2.800000000E-1	1.709072806E1	9.819638453E0
3.200000000E-1	1.708457014E1	9.819723846E0
3.600000000E-1	1.708698490E1	9.806142103E0
4.000000000E-1	1.709352660E1	9.806142827E0
4.400000000E-1	1.709768919E1	9.814618451E0
4.800000000E-1	1.710108610E1	9.810765608E0
5.200000000E-1	1.710111672E1	9.817979647E0
5.600000000E-1	1.710094198E1	9.817669349E0
6.000000000E-1	1.710094957E1	9.821963917E0
6.400000000E-1	1.710101848E1	9.823833741E0
6.800000000E-1	1.710244499E1	9.829717313E0
7.200000000E-1	1.710408169E1	9.835886715E0
7.600000000E-1	1.710754278E1	9.845685058E0
8.000000000E-1	1.710292085E1	9.846083420E0
8.400000000E-1	1.710181934E1	9.836427171E0
8.800000000E-1	1.710167801E1	9.835659970E0
9.200000000E-1	1.710402621E1	9.834163664E0
9.600000000E-1	1.710267160E1	9.830580767E0
1.000000000E0	1.710103070E1	9.828189582E0
1.040000000E0	1.710073052E1	9.828138142E0
1.080000000E0	1.710085227E1	9.827926441E0
1.120000000E0	1.709933917E1	9.826136167E0
1.160000000E0	1.709922639E1	9.825126120E0
1.200000000E0	1.709976256E1	9.820781437E0
1.240000000E0	1.710021424E1	9.815748146E0
1.280000000E0	1.710160128E1	9.810246783E0
1.320000000E0	1.710165422E1	9.793167078E0
1.360000000E0	1.710035657E1	9.806579507E0
1.400000000E0	1.709945204E1	9.812698245E0
1.440000000E0	1.709605327E1	9.825183983E0
1.480000000E0	1.709107198E1	9.833531234E0
1.520000000E0	1.708848276E1	9.854080470E0
1.560000000E0	1.708516252E1	9.892863219E0
1.600000000E0	1.709598396E1	9.924739452E0
1.640000000E0	1.709588716E1	9.974243787E0
1.680000000E0	1.708315685E1	1.001454775E1
1.720000000E0	1.708527332E1	1.010712449E1
1.760000000E0	1.710197319E1	1.023577010E1
1.800000000E0	1.710841686E1	1.041736556E1
1.840000000E0	1.725694024E1	1.058362477E1
1.880000000E0	1.767805459E1	1.082094204E1
1.920000000E0	1.850102392E1	1.119643969E1
1.960000000E0	2.004971570E1	1.195893849E1
2.000000000E0	2.214073304E1	1.300610354E1
2.040000000E0	2.460683053E1	1.424316647E1
2.080000000E0	2.742022041E1	1.573061046E1
2.120000000E0	3.046881182E1	1.725298146E1
