Axel
t	x	y
0.000000000E0	1.060418958E1	2.794101419E1
4.000000000E-2	1.060582020E1	2.794605473E1
8.000000000E-2	1.060992891E1	2.793118047E1
1.200000000E-1	1.060634642E1	2.793652104E1
1.600000000E-1	1.060695222E1	2.792622369E1
2.000000000E-1	1.060580165E1	2.793141252E1
2.400000000E-1	1.060562483E1	2.793310033E1
2.800000000E-1	1.060936152E1	2.793276501E1
3.200000000E-1	1.061519571E1	2.792801817E1
3.600000000E-1	1.061598415E1	2.792095075E1
4.000000000E-1	1.061622428E1	2.791682461E1
4.400000000E-1	1.062156729E1	2.792373461E1
4.800000000E-1	1.061187821E1	2.793890500E1
5.200000000E-1	1.060779446E1	2.793889439E1
5.600000000E-1	1.060576829E1	2.792831152E1
6.000000000E-1	1.060243908E1	2.793403963E1
6.400000000E-1	1.060042770E1	2.793620408E1
6.800000000E-1	1.060158043E1	2.794147612E1
7.200000000E-1	1.060251387E1	2.793930504E1
7.600000000E-1	1.059874184E1	2.795710299E1
8.000000000E-1	1.059536362E1	2.795342054E1
8.400000000E-1	1.059900049E1	2.794844708E1
8.800000000E-1	1.060025195E1	2.794940577E1
9.200000000E-1	1.060379479E1	2.794463139E1
9.600000000E-1	1.060518491E1	2.794472588E1
1.000000000E0	1.060624224E1	2.794475805E1
1.040000000E0	1.060537654E1	2.794451774E1
1.080000000E0	1.060514275E1	2.794456856E1
1.120000000E0	1.060510731E1	2.794326126E1
1.160000000E0	1.060395256E1	2.794181504E1
1.200000000E0	1.060493059E1	2.793932545E1
1.240000000E0	1.060585778E1	2.793707064E1
1.280000000E0	1.061120555E1	2.793024400E1
1.320000000E0	1.061796687E1	2.792184378E1
1.360000000E0	1.061364698E1	2.792845743E1
1.400000000E0	1.060533149E1	2.793345483E1
1.440000000E0	1.059632693E1	2.793761021E1
1.480000000E0	1.050104538E1	2.794861870E1
1.520000000E0	1.045850499E1	2.795658902E1
1.560000000E0	1.044210026E1	2.797068701E1
1.600000000E0	1.044011112E1	2.796624265E1
1.640000000E0	1.044364565E1	2.798592450E1
1.680000000E0	1.044729184E1	2.805761076E1
1.720000000E0	1.053019099E1	2.809719957E1
1.760000000E0	1.074186249E1	2.823449555E1
1.800000000E0	1.090373002E1	2.838881098E1
1.840000000E0	1.108491945E1	2.855396426E1
1.880000000E0	1.149218253E1	2.868843874E1
1.920000000E0	1.209465255E1	2.889399339E1
1.960000000E0	1.285390061E1	2.926207587E1
2.000000000E0	1.391322221E1	2.977776430E1
2.040000000E0	1.513058419E1	3.036063523E1
2.080000000E0	1.650296869E1	3.098632801E1
2.120000000E0	1.800037440E1	3.157576267E1
2.160000000E0	1.962906206E1	3.214954447E1
2.200000000E0	2.137091758E1	3.258322990E1
2.240000000E0	2.316922001E1	3.292251590E1
2.280000000E0	2.487832707E1	3.318700204E1
2.320000000E0	2.632090404E1	3.338547064E1
2.360000000E0	2.741231815E1	3.347833274E1
2.400000000E0	2.813036541E1	3.346900546E1
2.440000000E0	2.844380246E1	3.348399348E1
2.480000000E0	2.841911350E1	3.337709624E1
2.520000000E0	2.810117476E1	3.333837231E1
2.560000000E0	2.757151511E1	3.336815183E1
2.600000000E0	2.679504677E1	3.347959578E1
2.640000000E0	2.583420208E1	3.346998199E1
2.680000000E0	2.480257408E1	3.335686537E1
2.720000000E0	2.362964334E1	3.330480136E1
2.760000000E0	2.242333537E1	3.319542665E1
2.800000000E0	2.113262544E1	3.313214612E1
2.840000000E0	1.996257754E1	3.306626963E1
2.880000000E0	1.890481436E1	3.300548039E1
2.920000000E0	1.788787216E1	3.291552041E1
2.960000000E0	1.711689433E1	3.277862070E1
3.000000000E0	1.636894167E1	3.257142488E1
3.040000000E0	1.574951345E1	3.230898873E1
3.080000000E0	1.529064869E1	3.211625825E1
3.120000000E0	1.506929833E1	3.188266319E1
3.160000000E0	1.500923729E1	3.178326009E1
3.200000000E0	1.500620425E1	3.172496450E1
3.240000000E0	1.497298430E1	3.167727144E1
