armbåge
t	x	y
0.000000000E0	1.115115207E1	7.798271889E0
4.000000000E-2	1.114855692E1	7.798924529E0
8.000000000E-2	1.114927932E1	7.798893330E0
1.200000000E-1	1.114825626E1	7.803249948E0
1.600000000E-1	1.114704499E1	7.808717487E0
2.000000000E-1	1.114380549E1	7.805024565E0
2.400000000E-1	1.114021798E1	7.803884241E0
2.800000000E-1	1.114424927E1	7.798850161E0
3.200000000E-1	1.114723809E1	7.799411381E0
3.600000000E-1	1.115093181E1	7.797525179E0
4.000000000E-1	1.115357526E1	7.795653787E0
4.400000000E-1	1.115246069E1	7.796461197E0
4.800000000E-1	1.115209804E1	7.796150087E0
5.200000000E-1	1.115065034E1	7.792692764E0
5.600000000E-1	1.115070642E1	7.794336927E0
6.000000000E-1	1.115066399E1	7.795888638E0
6.400000000E-1	1.115058192E1	7.796480171E0
6.800000000E-1	1.115019852E1	7.797221679E0
7.200000000E-1	1.114998234E1	7.797635645E0
7.600000000E-1	1.114923634E1	7.797677445E0
8.000000000E-1	1.114843309E1	7.797545709E0
8.400000000E-1	1.114783440E1	7.798395359E0
8.800000000E-1	1.114731006E1	7.799038703E0
9.200000000E-1	1.111677397E1	7.817099471E0
9.600000000E-1	1.112719869E1	7.819598213E0
1.000000000E0	1.102521233E1	7.818163172E0
1.040000000E0	1.099242107E1	7.813317659E0
1.080000000E0	1.095094687E1	7.816174650E0
1.120000000E0	1.097581799E1	7.937432234E0
1.160000000E0	1.140035158E1	8.243154277E0
1.200000000E0	1.248787459E1	8.750342785E0
1.240000000E0	1.445177155E1	9.706171149E0
1.280000000E0	1.699628854E1	1.098353422E1
1.320000000E0	2.004694925E1	1.251183933E1
1.360000000E0	2.339767830E1	1.429827390E1
1.400000000E0	2.683605065E1	1.620403635E1
1.440000000E0	3.008687032E1	1.811566437E1
1.480000000E0	3.328015028E1	1.983441661E1
1.520000000E0	3.615310204E1	2.131915653E1
1.560000000E0	3.857829334E1	2.241960178E1
1.600000000E0	4.061020995E1	2.317643214E1
1.640000000E0	4.215793417E1	2.363692085E1
1.680000000E0	4.339834045E1	2.378008958E1
1.720000000E0	4.435130215E1	2.376852614E1
1.760000000E0	4.506354070E1	2.366572617E1
1.800000000E0	4.563623929E1	2.350826203E1
1.840000000E0	4.610903207E1	2.332033887E1
1.880000000E0	4.642153531E1	2.311096680E1
1.920000000E0	4.659229434E1	2.286418612E1
1.960000000E0	4.666620898E1	2.254888219E1
2.000000000E0	4.656603558E1	2.216557131E1
2.040000000E0	4.637415225E1	2.190007269E1
2.080000000E0	4.597531850E1	2.182572275E1
2.120000000E0	4.534753462E1	2.169530993E1
2.160000000E0	4.445490865E1	2.149716267E1
2.200000000E0	4.324004311E1	2.108373316E1
2.240000000E0	4.187960572E1	2.060545781E1
2.280000000E0	4.024497384E1	2.000731448E1
2.320000000E0	3.858455125E1	1.942839539E1
2.360000000E0	3.693388282E1	1.883734599E1
2.400000000E0	3.558200298E1	1.849273890E1
2.440000000E0	3.460116956E1	1.824618272E1
2.480000000E0	3.408475083E1	1.820336547E1
2.520000000E0	3.387894586E1	1.833026567E1
2.560000000E0	3.376126852E1	1.832515601E1
2.600000000E0	3.376148883E1	1.832118398E1
2.640000000E0	3.384885394E1	1.833136495E1
2.680000000E0	3.389167356E1	1.831895160E1
2.720000000E0	3.389929415E1	1.830262936E1
2.760000000E0	3.389299907E1	1.831396008E1
2.800000000E0	3.384737099E1	1.832069736E1
2.840000000E0	3.360935979E1	1.821851646E1
2.880000000E0	3.316710750E1	1.804546414E1
2.920000000E0	3.246295287E1	1.775899378E1
2.960000000E0	3.144173726E1	1.726786931E1
3.000000000E0	2.999631069E1	1.651739188E1
3.040000000E0	2.817999997E1	1.556606307E1
3.080000000E0	2.612133426E1	1.455859829E1
3.120000000E0	2.405609818E1	1.354378867E1
3.160000000E0	2.218406229E1	1.254530006E1
3.200000000E0	2.059126401E1	1.172622762E1
3.240000000E0	1.926230138E1	1.099821376E1
3.280000000E0	1.822210241E1	1.042359001E1
3.320000000E0	1.766792432E1	1.001923347E1
3.360000000E0	1.756901517E1	9.947262083E0
3.400000000E0	1.784178931E1	9.983556743E0
3.440000000E0	1.814052793E1	1.021247145E1
3.480000000E0	1.868361295E1	1.051824369E1
3.520000000E0	1.969939001E1	1.098135667E1
3.560000000E0	2.138146779E1	1.173843429E1
3.600000000E0	2.362099881E1	1.289392879E1
3.640000000E0	2.623107661E1	1.433323803E1
3.680000000E0	2.911668989E1	1.593374879E1
3.720000000E0	3.213588416E1	1.767749833E1
3.760000000E0	3.510093624E1	1.936582305E1
3.800000000E0	3.789409323E1	2.075458187E1
3.840000000E0	4.032035766E1	2.187080539E1
3.880000000E0	4.249439056E1	2.265103497E1
3.920000000E0	4.411274058E1	2.307362658E1
3.960000000E0	4.540394854E1	2.328992766E1
4.000000000E0	4.625902549E1	2.331759252E1
4.040000000E0	4.688229295E1	2.329016388E1
4.080000000E0	4.718643783E1	2.311153069E1
4.120000000E0	4.720881976E1	2.290332278E1
4.160000000E0	4.702735992E1	2.256577031E1
4.200000000E0	4.662307776E1	2.216124728E1
4.240000000E0	4.606476841E1	2.183969475E1
4.280000000E0	4.531005715E1	2.149796501E1
4.320000000E0	4.437882346E1	2.120715429E1
4.360000000E0	4.328278177E1	2.074310012E1
4.400000000E0	4.201495359E1	2.017691198E1
4.440000000E0	4.067004802E1	1.950625268E1
4.480000000E0	3.919283452E1	1.881211826E1
4.520000000E0	3.781467779E1	1.823018153E1
4.560000000E0	3.651277579E1	1.772706187E1
4.600000000E0	3.530365246E1	1.741220940E1
4.640000000E0	3.421780697E1	1.719580603E1
4.680000000E0	3.329365205E1	1.700166215E1
