hand
t	x	y
0.000000000E0	4.109700791E1	1.024600775E1
4.000000000E-2	4.109695659E1	1.024473905E1
8.000000000E-2	4.109629755E1	1.024654882E1
1.200000000E-1	4.109651953E1	1.024644805E1
1.600000000E-1	4.109667635E1	1.024632128E1
2.000000000E-1	4.109271567E1	1.024477644E1
2.400000000E-1	4.108832004E1	1.024345026E1
2.800000000E-1	4.109277098E1	1.024276957E1
3.200000000E-1	4.109460335E1	1.024413642E1
3.600000000E-1	4.109768190E1	1.024492853E1
4.000000000E-1	4.110007848E1	1.024511779E1
4.400000000E-1	4.109959072E1	1.024544578E1
4.800000000E-1	4.109936356E1	1.024629679E1
5.200000000E-1	4.109749588E1	1.024471424E1
5.600000000E-1	4.109742835E1	1.024453414E1
6.000000000E-1	4.109720585E1	1.024581130E1
6.400000000E-1	4.109777250E1	1.024505766E1
6.800000000E-1	4.109719647E1	1.024573252E1
7.200000000E-1	4.109689893E1	1.024615473E1
7.600000000E-1	4.109645203E1	1.024626427E1
8.000000000E-1	4.109568973E1	1.024712419E1
8.400000000E-1	4.109634705E1	1.024865788E1
8.800000000E-1	4.109622755E1	1.025236339E1
9.200000000E-1	4.108940797E1	1.029398166E1
9.600000000E-1	4.107247734E1	1.034700694E1
1.000000000E0	4.096573576E1	1.048700277E1
1.040000000E0	4.090298696E1	1.066349839E1
1.080000000E0	4.081168649E1	1.100117199E1
1.120000000E0	4.072729303E1	1.190553048E1
1.160000000E0	4.097856729E1	1.348295870E1
1.200000000E0	4.194811576E1	1.538807731E1
1.240000000E0	4.381059139E1	1.716757080E1
1.280000000E0	4.641059663E1	1.899478329E1
1.320000000E0	4.981644049E1	2.062661496E1
1.360000000E0	5.364024706E1	2.179430141E1
1.400000000E0	5.751104356E1	2.260091639E1
1.440000000E0	6.138609444E1	2.279581322E1
1.480000000E0	6.496394748E1	2.272253259E1
1.520000000E0	6.820876002E1	2.222116826E1
1.560000000E0	7.083368117E1	2.142632040E1
1.600000000E0	7.286490217E1	2.046080326E1
1.640000000E0	7.439862514E1	1.949510709E1
1.680000000E0	7.546397735E1	1.882992981E1
1.720000000E0	7.635635280E1	1.835277285E1
1.760000000E0	7.711275488E1	1.796774582E1
1.800000000E0	7.772957890E1	1.761819947E1
1.840000000E0	7.818836455E1	1.711428253E1
1.880000000E0	7.853831870E1	1.655020514E1
1.920000000E0	7.869044293E1	1.585862187E1
1.960000000E0	7.864067876E1	1.521070824E1
2.000000000E0	7.847557811E1	1.462422880E1
2.040000000E0	7.821212651E1	1.448110991E1
2.080000000E0	7.786117185E1	1.461302221E1
2.120000000E0	7.720907644E1	1.488216801E1
2.160000000E0	7.625228773E1	1.491921441E1
2.200000000E0	7.500699952E1	1.485186447E1
2.240000000E0	7.360651571E1	1.489885396E1
2.280000000E0	7.195478005E1	1.463728469E1
2.320000000E0	7.033840700E1	1.460930871E1
2.360000000E0	6.873049375E1	1.446540640E1
2.400000000E0	6.736892758E1	1.446709337E1
2.440000000E0	6.639750489E1	1.441867511E1
2.480000000E0	6.590154757E1	1.433329289E1
2.520000000E0	6.570004071E1	1.419830877E1
2.560000000E0	6.553025353E1	1.416696385E1
2.600000000E0	6.551862855E1	1.412178048E1
2.640000000E0	6.551479204E1	1.411799362E1
2.680000000E0	6.551784790E1	1.418131689E1
2.720000000E0	6.550935822E1	1.425639775E1
2.760000000E0	6.550401357E1	1.432338573E1
2.800000000E0	6.549549261E1	1.452731334E1
2.840000000E0	6.535348729E1	1.491901982E1
2.880000000E0	6.504209017E1	1.552382570E1
2.920000000E0	6.440699826E1	1.638833854E1
2.960000000E0	6.331066809E1	1.748035704E1
3.000000000E0	6.155476364E1	1.846676743E1
3.040000000E0	5.933624693E1	1.907582173E1
3.080000000E0	5.690581845E1	1.922847128E1
3.120000000E0	5.452432543E1	1.881020364E1
3.160000000E0	5.240844103E1	1.797239615E1
3.200000000E0	5.059917283E1	1.706479971E1
3.240000000E0	4.912668060E1	1.616739596E1
3.280000000E0	4.807275473E1	1.528128594E1
3.320000000E0	4.757295575E1	1.463696455E1
3.360000000E0	4.746836219E1	1.462805885E1
3.400000000E0	4.770629991E1	1.460374457E1
3.440000000E0	4.802794781E1	1.473915491E1
3.480000000E0	4.861251790E1	1.524505070E1
3.520000000E0	4.961117195E1	1.624730644E1
3.560000000E0	5.122182685E1	1.763814025E1
3.600000000E0	5.357580980E1	1.922840501E1
3.640000000E0	5.641419809E1	2.081004584E1
3.680000000E0	5.960782631E1	2.212608746E1
3.720000000E0	6.309565424E1	2.284491439E1
3.760000000E0	6.655861402E1	2.298771632E1
3.800000000E0	6.982296911E1	2.259373138E1
3.840000000E0	7.262828457E1	2.184927231E1
3.880000000E0	7.485623470E1	2.081247428E1
3.920000000E0	7.650437450E1	1.963432103E1
3.960000000E0	7.759266768E1	1.854828695E1
4.000000000E0	7.829992009E1	1.759613725E1
4.040000000E0	7.877204124E1	1.680158311E1
4.080000000E0	7.897352177E1	1.616945179E1
4.120000000E0	7.890874493E1	1.551690808E1
4.160000000E0	7.865399860E1	1.500132836E1
4.200000000E0	7.827147662E1	1.462724820E1
4.240000000E0	7.777569354E1	1.456880824E1
4.280000000E0	7.712307748E1	1.475967394E1
4.320000000E0	7.624908882E1	1.476721745E1
4.360000000E0	7.516280631E1	1.453971839E1
4.400000000E0	7.387639664E1	1.426753827E1
4.440000000E0	7.257262928E1	1.418318449E1
4.480000000E0	7.116158325E1	1.405999562E1
4.520000000E0	6.984262327E1	1.404291148E1
4.560000000E0	6.850076543E1	1.395544916E1
4.600000000E0	6.719234085E1	1.403470099E1
4.640000000E0	6.600544078E1	1.416403696E1
4.680000000E0	6.502458155E1	1.418315185E1
4.720000000E0	6.418874231E1	1.426538666E1
4.760000000E0	6.355926643E1	1.433874233E1
4.800000000E0	6.311967882E1	1.430826972E1
4.840000000E0	6.303451319E1	1.430301438E1
4.880000000E0	6.310656366E1	1.429121885E1
4.920000000E0	6.313017924E1	1.429802602E1
4.960000000E0	6.310056035E1	1.431650121E1
5.000000000E0	6.293407019E1	1.446340992E1
5.040000000E0	6.249605781E1	1.492071734E1
5.080000000E0	6.161804076E1	1.583442744E1
5.120000000E0	6.027259806E1	1.678916278E1
5.160000000E0	5.857394237E1	1.744423045E1
5.200000000E0	5.666601478E1	1.793739532E1
5.240000000E0	5.482793812E1	1.790530169E1
5.280000000E0	5.291608172E1	1.749636729E1
5.320000000E0	5.105625781E1	1.670167693E1
5.360000000E0	4.971496110E1	1.580956353E1
5.400000000E0	4.880242821E1	1.523630135E1
5.440000000E0	4.835757532E1	1.528175799E1
5.480000000E0	4.838212415E1	1.523675339E1
5.520000000E0	4.862866397E1	1.521080572E1
5.560000000E0	4.896436157E1	1.518350086E1
