armbåge
t	x	y
0.000000000E0	1.545972495E1	8.419449902E0
4.000000000E-2	1.545351398E1	8.427858412E0
8.000000000E-2	1.544785504E1	8.438795416E0
1.200000000E-1	1.545897371E1	8.428273585E0
1.600000000E-1	1.546465730E1	8.423296466E0
2.000000000E-1	1.546286724E1	8.424457970E0
2.400000000E-1	1.546133205E1	8.424137450E0
2.800000000E-1	1.545966892E1	8.434897674E0
3.200000000E-1	1.545993967E1	8.428550688E0
3.600000000E-1	1.545862772E1	8.426215473E0
4.000000000E-1	1.545774508E1	8.425036142E0
4.400000000E-1	1.545827429E1	8.423062031E0
4.800000000E-1	1.545844473E1	8.422152844E0
5.200000000E-1	1.545983609E1	8.419239620E0
5.600000000E-1	1.546021463E1	8.415992461E0
6.000000000E-1	1.545975740E1	8.419261167E0
6.400000000E-1	1.545939929E1	8.421098992E0
6.800000000E-1	1.545936622E1	8.420639388E0
7.200000000E-1	1.545935653E1	8.420379809E0
7.600000000E-1	1.545957097E1	8.420549665E0
8.000000000E-1	1.545967177E1	8.420707947E0
8.400000000E-1	1.545951199E1	8.423084354E0
8.800000000E-1	1.546064243E1	8.424530064E0
9.200000000E-1	1.546060555E1	8.424217723E0
9.600000000E-1	1.546067055E1	8.424325712E0
1.000000000E0	1.545992403E1	8.424394419E0
1.040000000E0	1.545991965E1	8.422857452E0
1.080000000E0	1.545995998E1	8.421967931E0
1.120000000E0	1.545993759E1	8.421002003E0
1.160000000E0	1.545993348E1	8.420523969E0
1.200000000E0	1.545914616E1	8.425094895E0
1.240000000E0	1.545809991E1	8.431200186E0
1.280000000E0	1.545575033E1	8.500051719E0
1.320000000E0	1.544812976E1	8.573144807E0
1.360000000E0	1.547119742E1	8.668960289E0
1.400000000E0	1.548734495E1	8.752499015E0
1.440000000E0	1.562178393E1	8.868568853E0
1.480000000E0	1.589910657E1	9.036572832E0
1.520000000E0	1.636169768E1	9.270626597E0
1.560000000E0	1.702549830E1	9.587923865E0
1.600000000E0	1.786750559E1	1.005408101E1
1.640000000E0	1.880959082E1	1.052413870E1
1.680000000E0	1.981095365E1	1.112250903E1
1.720000000E0	2.079516580E1	1.177243402E1
1.760000000E0	2.177852380E1	1.241243657E1
1.800000000E0	2.264164937E1	1.307939623E1
1.840000000E0	2.354506031E1	1.369631301E1
1.880000000E0	2.444218139E1	1.430189351E1
1.920000000E0	2.532900995E1	1.491546749E1
1.960000000E0	2.625671981E1	1.552357116E1
2.000000000E0	2.728772326E1	1.615542811E1
2.040000000E0	2.833287712E1	1.675231634E1
2.080000000E0	2.926706526E1	1.725961513E1
2.120000000E0	3.010172783E1	1.769917858E1
2.160000000E0	3.076365715E1	1.803397779E1
2.200000000E0	3.121074459E1	1.824135375E1
2.240000000E0	3.149740310E1	1.833117552E1
2.280000000E0	3.167202193E1	1.846401639E1
2.320000000E0	3.181066057E1	1.861818975E1
2.360000000E0	3.181934376E1	1.863550083E1
2.400000000E0	3.167299235E1	1.861450106E1
2.440000000E0	3.134426613E1	1.833797782E1
2.480000000E0	3.080790070E1	1.801480762E1
2.520000000E0	2.995384273E1	1.747625761E1
2.560000000E0	2.892387694E1	1.684709061E1
2.600000000E0	2.772739949E1	1.617215705E1
2.640000000E0	2.624001380E1	1.540486002E1
2.680000000E0	2.465302786E1	1.468869977E1
2.720000000E0	2.296091902E1	1.391437548E1
2.760000000E0	2.124401933E1	1.323673371E1
2.800000000E0	1.962731842E1	1.254118545E1
2.840000000E0	1.814487263E1	1.186625171E1
2.880000000E0	1.679646877E1	1.128920283E1
2.920000000E0	1.572470908E1	1.088685921E1
2.960000000E0	1.500696082E1	1.053662282E1
3.000000000E0	1.457097214E1	1.031979681E1
3.040000000E0	1.438548269E1	1.021913799E1
3.080000000E0	1.435501218E1	1.006678414E1
3.120000000E0	1.440137679E1	9.912018420E0
3.160000000E0	1.446328817E1	9.736359944E0
3.200000000E0	1.451009561E1	9.620383741E0
3.240000000E0	1.455142748E1	9.498387132E0
3.280000000E0	1.457680428E1	9.463105486E0
3.320000000E0	1.456859800E1	9.465064741E0
3.360000000E0	1.456964586E1	9.467671575E0
3.400000000E0	1.458707358E1	9.470904835E0
3.440000000E0	1.471628368E1	9.570502052E0
3.480000000E0	1.493085325E1	9.725973790E0
3.520000000E0	1.524590477E1	9.961684174E0
3.560000000E0	1.583167593E1	1.022832671E1
3.600000000E0	1.666146182E1	1.062270697E1
3.640000000E0	1.770771002E1	1.110788749E1
3.680000000E0	1.881058867E1	1.158785428E1
3.720000000E0	1.997432116E1	1.218216029E1
3.760000000E0	2.106155779E1	1.277247775E1
3.800000000E0	2.206318724E1	1.338301609E1
3.840000000E0	2.309136719E1	1.399723091E1
3.880000000E0	2.410392243E1	1.461301450E1
3.920000000E0	2.506797458E1	1.517689788E1
3.960000000E0	2.609514362E1	1.577612178E1
4.000000000E0	2.712254745E1	1.635612131E1
4.040000000E0	2.809080007E1	1.682526922E1
4.080000000E0	2.898166571E1	1.724185604E1
4.120000000E0	2.980075401E1	1.760814255E1
4.160000000E0	3.049172453E1	1.793781212E1
4.200000000E0	3.105821932E1	1.818582220E1
4.240000000E0	3.152018197E1	1.847381014E1
4.280000000E0	3.181396636E1	1.859038253E1
4.320000000E0	3.194627584E1	1.863724940E1
4.360000000E0	3.183852696E1	1.859905647E1
4.400000000E0	3.152520000E1	1.849458365E1
4.440000000E0	3.098406869E1	1.814380520E1
4.480000000E0	3.013614755E1	1.769253161E1
4.520000000E0	2.899614386E1	1.708321036E1
4.560000000E0	2.760691873E1	1.643703126E1
4.600000000E0	2.608766621E1	1.561212105E1
4.640000000E0	2.432988162E1	1.466970439E1
4.680000000E0	2.252422189E1	1.385622553E1
4.720000000E0	2.086549574E1	1.319617858E1
4.760000000E0	1.921216421E1	1.262615198E1
4.800000000E0	1.772724275E1	1.214831057E1
4.840000000E0	1.646726059E1	1.170651210E1
4.880000000E0	1.550383300E1	1.123184718E1
4.920000000E0	1.484036160E1	1.086620574E1
4.960000000E0	1.452839913E1	1.056390292E1
5.000000000E0	1.445161070E1	1.033363020E1
5.040000000E0	1.446532072E1	1.014993500E1
5.080000000E0	1.455846845E1	1.003029597E1
5.120000000E0	1.458782661E1	9.800836182E0
5.160000000E0	1.467616169E1	9.760615125E0
5.200000000E0	1.471542380E1	9.757628637E0
5.240000000E0	1.475758809E1	9.753356417E0
5.280000000E0	1.481423800E1	9.784497689E0
5.320000000E0	1.491097488E1	9.785170930E0
5.360000000E0	1.505200807E1	9.873707260E0
5.400000000E0	1.529695117E1	1.003209661E1
5.440000000E0	1.563576781E1	1.013944728E1
5.480000000E0	1.620565302E1	1.036857201E1
5.520000000E0	1.694881278E1	1.066758708E1
5.560000000E0	1.774451242E1	1.098697110E1
5.600000000E0	1.869081379E1	1.144685548E1
5.640000000E0	1.965432993E1	1.186167992E1
5.680000000E0	2.057576210E1	1.234653322E1
5.720000000E0	2.159278886E1	1.291378472E1
5.760000000E0	2.259179323E1	1.351773688E1
5.800000000E0	2.358577388E1	1.408770516E1
5.840000000E0	2.460783987E1	1.469062070E1
5.880000000E0	2.566830254E1	1.532186956E1
5.920000000E0	2.670725716E1	1.593424761E1
5.960000000E0	2.779372811E1	1.653244114E1
6.000000000E0	2.884705986E1	1.709958679E1
6.040000000E0	2.976223142E1	1.757176827E1
6.080000000E0	3.056652348E1	1.800053455E1
6.120000000E0	3.117282107E1	1.826868277E1
6.160000000E0	3.144574394E1	1.835912883E1
6.200000000E0	3.150624045E1	1.842622372E1
6.240000000E0	3.123016731E1	1.831927678E1
6.280000000E0	3.072729834E1	1.811130074E1
6.320000000E0	2.988562150E1	1.770279494E1
6.360000000E0	2.887154133E1	1.726214266E1
6.400000000E0	2.772718481E1	1.676356201E1
6.440000000E0	2.634173759E1	1.610844617E1
6.480000000E0	2.487295774E1	1.528727514E1
6.520000000E0	2.322700235E1	1.437605294E1
6.560000000E0	2.172039057E1	1.366252102E1
6.600000000E0	2.038948408E1	1.304249608E1
6.640000000E0	1.907104551E1	1.253008719E1
6.680000000E0	1.800154909E1	1.218007603E1
6.720000000E0	1.711421570E1	1.190462723E1
6.760000000E0	1.651680716E1	1.183254499E1
6.800000000E0	1.609438343E1	1.168734143E1
6.840000000E0	1.582850882E1	1.156183751E1
6.880000000E0	1.564830484E1	1.137592000E1
