hand
t	x	y
0.000000000E0	4.357060410E1	1.263141855E1
4.000000000E-2	4.357196946E1	1.263101319E1
8.000000000E-2	4.355960816E1	1.250797229E1
1.200000000E-1	4.351993575E1	1.244245130E1
1.600000000E-1	4.353069480E1	1.235336183E1
2.000000000E-1	4.350010232E1	1.231523792E1
2.400000000E-1	4.350222941E1	1.228440959E1
2.800000000E-1	4.353056211E1	1.228701339E1
3.200000000E-1	4.355025910E1	1.230270017E1
3.600000000E-1	4.355049395E1	1.228931806E1
4.000000000E-1	4.355385640E1	1.229064067E1
4.400000000E-1	4.355946206E1	1.230896790E1
4.800000000E-1	4.356253151E1	1.231761985E1
5.200000000E-1	4.356363553E1	1.232163939E1
5.600000000E-1	4.356441134E1	1.232425765E1
6.000000000E-1	4.356675297E1	1.232713209E1
6.400000000E-1	4.356818000E1	1.232886378E1
6.800000000E-1	4.356607029E1	1.232837796E1
7.200000000E-1	4.356430203E1	1.232557742E1
7.600000000E-1	4.356671150E1	1.232785552E1
8.000000000E-1	4.356650528E1	1.230576652E1
8.400000000E-1	4.356532178E1	1.232528108E1
8.800000000E-1	4.356918521E1	1.231998251E1
9.200000000E-1	4.356989674E1	1.232469999E1
9.600000000E-1	4.356793246E1	1.233082294E1
1.000000000E0	4.356964385E1	1.232877328E1
1.040000000E0	4.357110542E1	1.233474314E1
1.080000000E0	4.357224027E1	1.234010751E1
1.120000000E0	4.357877802E1	1.248860442E1
1.160000000E0	4.370855083E1	1.263496771E1
1.200000000E0	4.390906429E1	1.275637594E1
1.240000000E0	4.430982009E1	1.287383610E1
1.280000000E0	4.477914799E1	1.309308750E1
1.320000000E0	4.541312470E1	1.334487728E1
1.360000000E0	4.629180744E1	1.352754333E1
1.400000000E0	4.748762647E1	1.365047399E1
1.440000000E0	4.886210874E1	1.353156239E1
1.480000000E0	5.033265140E1	1.349921722E1
1.520000000E0	5.190507395E1	1.350249468E1
1.560000000E0	5.340854406E1	1.352203288E1
1.600000000E0	5.613393346E1	1.367543520E1
1.640000000E0	5.613695447E1	1.367221141E1
1.680000000E0	5.739901002E1	1.371517523E1
1.720000000E0	5.871223324E1	1.386305593E1
1.760000000E0	6.011578423E1	1.392355839E1
1.800000000E0	6.166503135E1	1.397369787E1
1.840000000E0	6.330181338E1	1.401751363E1
1.880000000E0	6.495758511E1	1.407781461E1
1.920000000E0	6.657360551E1	1.406497100E1
1.960000000E0	6.809123725E1	1.400534541E1
2.000000000E0	6.947242516E1	1.403384285E1
2.040000000E0	7.065920166E1	1.397099658E1
2.080000000E0	7.170406246E1	1.397369872E1
2.120000000E0	7.264688834E1	1.406513347E1
2.160000000E0	7.344832047E1	1.409888941E1
2.200000000E0	7.409973416E1	1.408599303E1
2.240000000E0	7.458693984E1	1.409430825E1
2.280000000E0	7.513058684E1	1.408467097E1
2.320000000E0	7.513907329E1	1.411937826E1
2.360000000E0	7.518421201E1	1.416236498E1
2.400000000E0	7.508340545E1	1.432103484E1
2.440000000E0	7.482348548E1	1.466553748E1
2.480000000E0	7.437148936E1	1.518557741E1
2.520000000E0	7.365142402E1	1.584358649E1
2.560000000E0	7.250141954E1	1.651242299E1
2.600000000E0	7.092470414E1	1.711950443E1
2.640000000E0	6.893651104E1	1.759913377E1
2.680000000E0	6.655927679E1	1.774838823E1
2.720000000E0	6.395404426E1	1.767904557E1
2.760000000E0	6.113278939E1	1.745795775E1
2.800000000E0	5.827339300E1	1.686721791E1
2.840000000E0	5.567816060E1	1.607958011E1
2.880000000E0	5.329627372E1	1.546133163E1
2.920000000E0	5.124203632E1	1.475091238E1
2.960000000E0	4.968322009E1	1.419841690E1
3.000000000E0	4.849477402E1	1.385375546E1
3.040000000E0	4.783866709E1	1.348131421E1
3.080000000E0	4.770790353E1	1.321725828E1
3.120000000E0	4.776138882E1	1.310624332E1
3.160000000E0	4.787503965E1	1.309920778E1
3.200000000E0	4.801384519E1	1.311504371E1
3.240000000E0	4.807659335E1	1.310166916E1
3.280000000E0	4.806751338E1	1.299924245E1
3.320000000E0	4.804513769E1	1.291201323E1
3.360000000E0	4.802809939E1	1.289434956E1
3.400000000E0	4.806033903E1	1.292274075E1
3.440000000E0	4.822534644E1	1.298920147E1
3.480000000E0	4.844364640E1	1.307113447E1
3.520000000E0	4.878503700E1	1.315271968E1
3.560000000E0	4.931672429E1	1.322948381E1
3.600000000E0	5.014397450E1	1.328773562E1
3.640000000E0	5.118679199E1	1.334931252E1
3.680000000E0	5.389682284E1	1.353408348E1
3.720000000E0	5.388313901E1	1.352795320E1
3.760000000E0	5.547754013E1	1.352944853E1
3.800000000E0	5.716199389E1	1.354940800E1
3.840000000E0	5.884122123E1	1.359338195E1
3.880000000E0	6.060368213E1	1.368967790E1
3.920000000E0	6.236291779E1	1.378631716E1
3.960000000E0	6.421430155E1	1.382017075E1
4.000000000E0	6.766889388E1	1.386925520E1
4.040000000E0	6.767868015E1	1.387239880E1
4.080000000E0	6.917190116E1	1.385380737E1
4.120000000E0	7.042712054E1	1.383485129E1
4.160000000E0	7.141274450E1	1.384797553E1
4.200000000E0	7.228498036E1	1.389219498E1
4.240000000E0	7.303030397E1	1.391880857E1
4.280000000E0	7.375135499E1	1.392284165E1
4.320000000E0	7.427710243E1	1.393770248E1
4.360000000E0	7.464008016E1	1.382679264E1
4.400000000E0	7.485012441E1	1.379440232E1
4.440000000E0	7.494961623E1	1.382225611E1
4.480000000E0	7.483673455E1	1.383012670E1
4.520000000E0	7.454480889E1	1.398000592E1
4.560000000E0	7.408473180E1	1.435108102E1
4.600000000E0	7.323161918E1	1.498338828E1
4.640000000E0	7.211181553E1	1.571237287E1
4.680000000E0	7.067283804E1	1.657030885E1
4.720000000E0	6.872092865E1	1.738961834E1
4.760000000E0	6.643939640E1	1.802486443E1
4.800000000E0	6.400978704E1	1.815450398E1
4.840000000E0	6.162889695E1	1.801952158E1
4.880000000E0	5.910030115E1	1.767809822E1
4.920000000E0	5.673482781E1	1.686625812E1
4.960000000E0	5.448418189E1	1.609764159E1
5.000000000E0	5.246505027E1	1.523955234E1
5.040000000E0	5.091199003E1	1.458083825E1
5.080000000E0	4.983584444E1	1.426859750E1
5.120000000E0	4.916399192E1	1.383469446E1
5.160000000E0	4.891078575E1	1.331270978E1
5.200000000E0	4.887339445E1	1.290939427E1
5.240000000E0	4.885957528E1	1.279140529E1
5.280000000E0	4.881932569E1	1.282607190E1
5.320000000E0	4.879734632E1	1.289033784E1
5.360000000E0	4.880417028E1	1.287575440E1
5.400000000E0	4.880616911E1	1.278528402E1
5.440000000E0	4.882671694E1	1.264178012E1
5.480000000E0	4.893042066E1	1.262091499E1
5.520000000E0	4.910267485E1	1.266998086E1
5.560000000E0	4.939375089E1	1.276384625E1
5.600000000E0	4.987017942E1	1.282061112E1
5.640000000E0	5.066579014E1	1.291665585E1
5.680000000E0	5.180907562E1	1.300045033E1
5.720000000E0	5.316263581E1	1.305344323E1
5.760000000E0	5.474892566E1	1.313552969E1
5.800000000E0	5.640242155E1	1.322470987E1
5.840000000E0	5.808679219E1	1.334782212E1
5.880000000E0	5.973017405E1	1.343462586E1
5.920000000E0	6.139481157E1	1.353523075E1
5.960000000E0	6.302576167E1	1.366331822E1
6.000000000E0	6.465567132E1	1.371570897E1
6.040000000E0	6.615790606E1	1.378798089E1
6.080000000E0	6.763610706E1	1.382446076E1
6.120000000E0	6.898439020E1	1.382613530E1
6.160000000E0	7.007423690E1	1.383031830E1
6.200000000E0	7.105336972E1	1.381617750E1
6.240000000E0	7.189602655E1	1.373222467E1
6.280000000E0	7.255046009E1	1.370885537E1
6.320000000E0	7.301903863E1	1.369566191E1
6.360000000E0	7.334416597E1	1.372418793E1
6.400000000E0	7.353094336E1	1.371654223E1
6.440000000E0	7.365226810E1	1.367869559E1
6.480000000E0	7.364010509E1	1.364695461E1
6.520000000E0	7.351491887E1	1.357137811E1
6.560000000E0	7.323027503E1	1.354772430E1
6.600000000E0	7.279702662E1	1.364403402E1
6.640000000E0	7.215180328E1	1.397911489E1
6.680000000E0	7.113957870E1	1.453963956E1
6.720000000E0	7.002276668E1	1.521564193E1
6.760000000E0	6.836872693E1	1.600862961E1
6.800000000E0	6.639160934E1	1.651940078E1
6.840000000E0	6.425580536E1	1.696196048E1
6.880000000E0	6.179210018E1	1.726122318E1
6.920000000E0	5.919673602E1	1.713427951E1
6.960000000E0	5.671943221E1	1.678473953E1
7.000000000E0	5.447837454E1	1.623230564E1
7.040000000E0	5.147609672E1	1.455923856E1
7.080000000E0	5.148537850E1	1.456723428E1
7.120000000E0	5.056655691E1	1.383288490E1
7.160000000E0	5.001440640E1	1.322826430E1
7.200000000E0	4.975727273E1	1.272694470E1
7.240000000E0	4.967115763E1	1.263286497E1
7.280000000E0	4.968214479E1	1.259576631E1
7.320000000E0	4.970352821E1	1.261653091E1
7.360000000E0	4.970075373E1	1.262883320E1
7.400000000E0	4.968742134E1	1.259048169E1
7.440000000E0	4.968953136E1	1.259639747E1
7.480000000E0	4.969040769E1	1.258385302E1
7.520000000E0	4.968752467E1	1.258990005E1
7.560000000E0	4.970523819E1	1.261906589E1
7.600000000E0	4.982589669E1	1.268441018E1
7.640000000E0	4.993433699E1	1.277939575E1
7.680000000E0	5.014311372E1	1.291123447E1
7.720000000E0	5.044755500E1	1.307069055E1
7.760000000E0	5.104928720E1	1.308672062E1
7.800000000E0	5.181432123E1	1.320064059E1
7.840000000E0	5.280696593E1	1.323583136E1
7.880000000E0	5.391596561E1	1.333637676E1
7.920000000E0	5.655125258E1	1.343342976E1
7.960000000E0	5.656173417E1	1.340485737E1
8.000000000E0	5.798059762E1	1.351211833E1
8.040000000E0	5.946124894E1	1.354749844E1
8.080000000E0	6.106686335E1	1.361388028E1
8.120000000E0	6.284651080E1	1.369191083E1
8.160000000E0	6.464333692E1	1.375885238E1
8.200000000E0	6.634270519E1	1.379267207E1
8.240000000E0	6.795473401E1	1.381315042E1
8.280000000E0	6.924366420E1	1.392287048E1
8.320000000E0	7.036318082E1	1.398657968E1
8.360000000E0	7.123476074E1	1.397029141E1
8.400000000E0	7.188761675E1	1.388761045E1
8.440000000E0	7.267820212E1	1.370998382E1
8.480000000E0	7.272051070E1	1.369714815E1
8.520000000E0	7.299945522E1	1.359732347E1
8.560000000E0	7.312172101E1	1.355447736E1
8.600000000E0	7.319543588E1	1.353733832E1
