axel
t	x	y
0.000000000E0	1.095815549E1	2.707968750E1
4.000000000E-2	1.095834516E1	2.709499496E1
8.000000000E-2	1.095816182E1	2.708034709E1
1.200000000E-1	1.095855506E1	2.711360699E1
1.600000000E-1	1.095845881E1	2.710054198E1
2.000000000E-1	1.095838219E1	2.709319917E1
2.400000000E-1	1.096028888E1	2.707453116E1
2.800000000E-1	1.096036293E1	2.709179129E1
3.200000000E-1	1.095979613E1	2.707729944E1
3.600000000E-1	1.095935632E1	2.707806259E1
4.000000000E-1	1.095992316E1	2.709438954E1
4.400000000E-1	1.095908801E1	2.709051130E1
4.800000000E-1	1.095836675E1	2.708851887E1
5.200000000E-1	1.095856126E1	2.708483569E1
5.600000000E-1	1.095861522E1	2.709196111E1
6.000000000E-1	1.096592735E1	2.711640144E1
6.400000000E-1	1.096667510E1	2.721215422E1
6.800000000E-1	1.098937256E1	2.735337110E1
7.200000000E-1	1.098392777E1	2.740871213E1
7.600000000E-1	1.111594133E1	2.761589964E1
8.000000000E-1	1.138215383E1	2.781171625E1
8.400000000E-1	1.174319167E1	2.816536735E1
8.800000000E-1	1.216665443E1	2.857391873E1
9.200000000E-1	1.271881854E1	2.891041101E1
9.600000000E-1	1.332982481E1	2.925348276E1
1.000000000E0	1.380012159E1	2.945292578E1
1.040000000E0	1.408722086E1	2.947427011E1
1.080000000E0	1.423717195E1	2.947127211E1
1.120000000E0	1.434626075E1	2.947161616E1
1.160000000E0	1.437066168E1	2.957219995E1
1.200000000E0	1.431174153E1	2.964596148E1
1.240000000E0	1.422861048E1	2.961581588E1
1.280000000E0	1.410067871E1	2.959428555E1
1.320000000E0	1.395116909E1	2.955468771E1
1.360000000E0	1.378970322E1	2.949379054E1
1.400000000E0	1.362771972E1	2.945267628E1
1.440000000E0	1.344896806E1	2.929177592E1
1.480000000E0	1.332137109E1	2.921516316E1
1.520000000E0	1.322261654E1	2.918379310E1
1.560000000E0	1.319837065E1	2.916691915E1
1.600000000E0	1.320291436E1	2.916790550E1
1.640000000E0	1.332469606E1	2.917173940E1
1.680000000E0	1.350640584E1	2.919657476E1
1.720000000E0	1.383392018E1	2.935414071E1
1.760000000E0	1.428466174E1	2.954618516E1
1.800000000E0	1.485953663E1	2.988481679E1
1.840000000E0	1.561576563E1	3.023289403E1
1.880000000E0	1.653820304E1	3.055959026E1
1.920000000E0	1.746916644E1	3.085465760E1
1.960000000E0	1.847369867E1	3.113890104E1
2.000000000E0	1.933076797E1	3.144878754E1
2.040000000E0	2.016288858E1	3.174173709E1
2.080000000E0	2.105535805E1	3.203604957E1
2.120000000E0	2.190230099E1	3.224111349E1
2.160000000E0	2.273983799E1	3.232124275E1
2.200000000E0	2.355100993E1	3.241378288E1
2.240000000E0	2.433585690E1	3.244862774E1
2.280000000E0	2.509428111E1	3.250981210E1
2.320000000E0	2.581485795E1	3.256258782E1
2.360000000E0	2.658004760E1	3.261842055E1
2.400000000E0	2.719526842E1	3.265419315E1
2.440000000E0	2.765801152E1	3.269153886E1
2.480000000E0	2.798480704E1	3.274274589E1
2.520000000E0	2.811449057E1	3.278209954E1
2.560000000E0	2.803828480E1	3.276462590E1
2.600000000E0	2.781106721E1	3.276328725E1
2.640000000E0	2.739283109E1	3.276146276E1
2.680000000E0	2.678554167E1	3.274624908E1
2.720000000E0	2.602409712E1	3.272327664E1
2.760000000E0	2.512534113E1	3.259915288E1
2.800000000E0	2.416632733E1	3.247005572E1
2.840000000E0	2.301646295E1	3.222282412E1
2.880000000E0	2.177442165E1	3.190712723E1
2.920000000E0	2.045637436E1	3.156177837E1
2.960000000E0	1.906877982E1	3.114127802E1
3.000000000E0	1.769417138E1	3.069739211E1
3.040000000E0	1.520068673E1	2.993125193E1
3.080000000E0	1.516864524E1	2.992487048E1
3.120000000E0	1.412620424E1	2.960625805E1
3.160000000E0	1.337190654E1	2.931667293E1
3.200000000E0	1.277999197E1	2.901412798E1
3.240000000E0	1.244350414E1	2.884081281E1
3.280000000E0	1.232425755E1	2.872602024E1
3.320000000E0	1.230849944E1	2.868834621E1
3.360000000E0	1.232248710E1	2.868068926E1
3.400000000E0	1.234110096E1	2.870670107E1
3.440000000E0	1.241989198E1	2.872072947E1
3.480000000E0	1.242908105E1	2.871234390E1
3.520000000E0	1.243834939E1	2.873654833E1
3.560000000E0	1.245537737E1	2.882628179E1
3.600000000E0	1.261059431E1	2.901924702E1
3.640000000E0	1.294845737E1	2.927816061E1
3.680000000E0	1.352862136E1	2.958430841E1
3.720000000E0	1.439286069E1	2.994863030E1
3.760000000E0	1.540254277E1	3.032144265E1
3.800000000E0	1.645229841E1	3.069706322E1
3.840000000E0	1.749982614E1	3.104616580E1
3.880000000E0	1.848556789E1	3.142897770E1
3.920000000E0	1.943703975E1	3.172912319E1
3.960000000E0	2.035600719E1	3.199497545E1
4.000000000E0	2.125676122E1	3.213807813E1
4.040000000E0	2.212052084E1	3.221130045E1
4.080000000E0	2.288513232E1	3.225452462E1
4.120000000E0	2.363263370E1	3.231291901E1
4.160000000E0	2.433032768E1	3.234885558E1
4.200000000E0	2.497359973E1	3.233347531E1
4.240000000E0	2.553944755E1	3.231849496E1
4.280000000E0	2.600098784E1	3.232230921E1
4.320000000E0	2.636412323E1	3.233659572E1
4.360000000E0	2.661915322E1	3.234315581E1
4.400000000E0	2.674874262E1	3.231191751E1
4.440000000E0	2.667509888E1	3.233002887E1
4.480000000E0	2.637196522E1	3.233334510E1
4.520000000E0	2.595602936E1	3.230399796E1
4.560000000E0	2.541022644E1	3.229685219E1
4.600000000E0	2.460180949E1	3.217791292E1
4.640000000E0	2.253560747E1	3.187359454E1
4.680000000E0	2.254940508E1	3.185450925E1
4.720000000E0	2.139488640E1	3.162375531E1
4.760000000E0	2.004802314E1	3.131908714E1
4.800000000E0	1.866495253E1	3.098851311E1
4.840000000E0	1.737914912E1	3.062307322E1
4.880000000E0	1.614402607E1	3.037847757E1
4.920000000E0	1.505392913E1	3.004585188E1
4.960000000E0	1.413116914E1	2.976116490E1
5.000000000E0	1.343036685E1	2.947004650E1
5.040000000E0	1.303021053E1	2.943496350E1
5.080000000E0	1.289129909E1	2.936294575E1
5.120000000E0	1.288132997E1	2.928567064E1
5.160000000E0	1.293692026E1	2.920052094E1
5.200000000E0	1.305268297E1	2.916078815E1
5.240000000E0	1.319366127E1	2.916323400E1
5.280000000E0	1.330984733E1	2.916846660E1
5.320000000E0	1.347695816E1	2.918087400E1
5.360000000E0	1.376092138E1	2.930891124E1
5.400000000E0	1.416520660E1	2.945963725E1
5.440000000E0	1.477741748E1	2.976170716E1
5.480000000E0	1.555942364E1	3.004017179E1
5.520000000E0	1.646171496E1	3.034645104E1
5.560000000E0	1.739291821E1	3.063391032E1
5.600000000E0	1.830949156E1	3.092733784E1
5.640000000E0	1.915374115E1	3.122728858E1
5.680000000E0	2.005304887E1	3.152267060E1
5.720000000E0	2.090468631E1	3.175915468E1
5.760000000E0	2.166924861E1	3.186631415E1
5.800000000E0	2.234880250E1	3.196594949E1
5.840000000E0	2.303534460E1	3.198932392E1
5.880000000E0	2.376904501E1	3.201510958E1
5.920000000E0	2.449899810E1	3.202246777E1
5.960000000E0	2.517229776E1	3.205402035E1
6.000000000E0	2.584072533E1	3.204884054E1
6.040000000E0	2.646097152E1	3.203955065E1
6.080000000E0	2.696973683E1	3.206243278E1
6.120000000E0	2.734334967E1	3.202555827E1
