armbåge
t	x	y
0.000000000E0	9.844079243E0	8.024811403E0
4.000000000E-2	9.844183942E0	8.025194984E0
8.000000000E-2	1.001407530E1	8.131675576E0
1.200000000E-1	1.030239311E1	8.223708380E0
1.600000000E-1	1.065196353E1	8.309223473E0
2.000000000E-1	1.105432703E1	8.329967130E0
2.400000000E-1	1.148434278E1	8.344426185E0
2.800000000E-1	1.178601649E1	8.325315717E0
3.200000000E-1	1.193715486E1	8.313491488E0
3.600000000E-1	1.208974123E1	8.324326594E0
4.000000000E-1	1.227925964E1	8.331662904E0
4.400000000E-1	1.251458895E1	8.329310426E0
4.800000000E-1	1.267514657E1	8.317407252E0
5.200000000E-1	1.284646627E1	8.156502573E0
5.600000000E-1	1.283837838E1	8.165333120E0
6.000000000E-1	1.284429152E1	8.064636889E0
6.400000000E-1	1.283248906E1	7.968565143E0
6.800000000E-1	1.278362972E1	7.872748088E0
7.200000000E-1	1.271826810E1	7.777064345E0
7.600000000E-1	1.270287321E1	7.776440850E0
8.000000000E-1	1.269403265E1	7.769675967E0
8.400000000E-1	1.271039732E1	7.747053236E0
8.800000000E-1	1.270215511E1	7.737155049E0
9.200000000E-1	1.269325596E1	7.732085070E0
9.600000000E-1	1.268890477E1	7.729448077E0
1.000000000E0	1.269169717E1	7.736109575E0
1.040000000E0	1.268789425E1	7.763820230E0
1.080000000E0	1.268342994E1	7.797060989E0
1.120000000E0	1.268077695E1	7.768397469E0
1.160000000E0	1.267899803E1	7.754332377E0
1.200000000E0	1.264214937E1	7.757849239E0
1.240000000E0	1.257329644E1	7.759149851E0
1.280000000E0	1.265532014E1	7.889382011E0
1.320000000E0	1.297716689E1	8.173744649E0
1.360000000E0	1.429094850E1	9.083249672E0
1.400000000E0	1.430703543E1	9.077163825E0
1.440000000E0	1.523804604E1	9.671379351E0
1.480000000E0	1.658963757E1	1.045387806E1
1.520000000E0	1.851255638E1	1.150169108E1
1.560000000E0	2.109976013E1	1.282290620E1
1.600000000E0	2.422075202E1	1.430876787E1
1.640000000E0	2.759182325E1	1.576503982E1
1.680000000E0	3.119617196E1	1.697829337E1
1.720000000E0	3.517623779E1	1.820370870E1
1.760000000E0	3.974996217E1	1.950506125E1
1.800000000E0	4.440730251E1	2.096858046E1
1.840000000E0	4.773803940E1	2.209242516E1
1.880000000E0	5.026397111E1	2.311937683E1
1.920000000E0	5.130198075E1	2.367017487E1
1.960000000E0	5.187403541E1	2.438011272E1
2.000000000E0	5.198907037E1	2.477384273E1
2.040000000E0	5.178199474E1	2.511008405E1
2.080000000E0	5.144287913E1	2.537446294E1
2.120000000E0	5.091596879E1	2.550888987E1
2.160000000E0	5.025420096E1	2.552969081E1
2.200000000E0	4.941252437E1	2.532956899E1
2.240000000E0	4.839784384E1	2.505572415E1
2.280000000E0	4.715696583E1	2.442576908E1
2.320000000E0	4.562292756E1	2.356345186E1
2.360000000E0	4.386609022E1	2.245681479E1
2.400000000E0	4.173403808E1	2.122644977E1
2.440000000E0	3.951861120E1	1.997573776E1
2.480000000E0	3.697729205E1	1.865859554E1
2.520000000E0	3.444922018E1	1.742829995E1
2.560000000E0	3.159804764E1	1.612774288E1
2.600000000E0	2.903022057E1	1.506641638E1
2.640000000E0	2.651235964E1	1.400753445E1
2.680000000E0	2.419614389E1	1.304492166E1
2.720000000E0	2.204841009E1	1.224555274E1
2.760000000E0	2.038295562E1	1.158211209E1
2.800000000E0	1.890901249E1	1.105016509E1
2.840000000E0	1.791799666E1	1.069295702E1
2.880000000E0	1.715745215E1	1.038489959E1
2.920000000E0	1.655153520E1	1.009107924E1
2.960000000E0	1.607292537E1	9.832644328E0
3.000000000E0	1.561659520E1	9.419414133E0
3.040000000E0	1.561652246E1	9.399794456E0
3.080000000E0	1.560844651E1	9.228813612E0
3.120000000E0	1.563170328E1	9.100396881E0
3.160000000E0	1.575416962E1	9.089771650E0
3.200000000E0	1.589442054E1	9.202311048E0
3.240000000E0	1.592698775E1	9.237276065E0
3.280000000E0	1.607241781E1	9.372117687E0
3.320000000E0	1.622221554E1	9.533176649E0
3.360000000E0	1.684159288E1	1.000473854E1
3.400000000E0	1.683115494E1	9.994013426E0
3.440000000E0	1.743791843E1	1.039454666E1
3.480000000E0	1.814098980E1	1.078624631E1
3.520000000E0	1.921222965E1	1.141089392E1
3.560000000E0	2.069382003E1	1.223159921E1
3.600000000E0	2.272585145E1	1.329450835E1
3.640000000E0	2.530856487E1	1.446599484E1
3.680000000E0	2.823105882E1	1.576395073E1
3.720000000E0	3.148628202E1	1.727458975E1
3.760000000E0	3.515081563E1	1.894290641E1
3.800000000E0	3.866268550E1	2.056578578E1
3.840000000E0	4.197201335E1	2.172941374E1
3.880000000E0	4.413303738E1	2.241535899E1
3.920000000E0	4.523449234E1	2.269232847E1
3.960000000E0	4.572102776E1	2.316135582E1
4.000000000E0	4.582638258E1	2.352242685E1
4.040000000E0	4.565017940E1	2.382355096E1
4.080000000E0	4.533432342E1	2.400939681E1
4.120000000E0	4.500180895E1	2.412030830E1
4.160000000E0	4.457916335E1	2.406969156E1
4.200000000E0	4.414116230E1	2.400660421E1
4.240000000E0	4.367431553E1	2.386451255E1
4.280000000E0	4.308501983E1	2.362369113E1
4.320000000E0	4.237143672E1	2.327942937E1
4.360000000E0	4.156636380E1	2.286998961E1
4.400000000E0	4.055401421E1	2.227216883E1
4.440000000E0	3.936788983E1	2.164082328E1
4.480000000E0	3.788777445E1	2.072750721E1
4.520000000E0	3.637479033E1	2.005481938E1
4.560000000E0	3.463689562E1	1.907433022E1
4.600000000E0	3.281515390E1	1.815394615E1
4.640000000E0	3.089248587E1	1.710827739E1
4.680000000E0	2.888191676E1	1.594695995E1
4.720000000E0	2.695714611E1	1.489239615E1
4.760000000E0	2.516830902E1	1.400777900E1
4.800000000E0	2.354322120E1	1.326511460E1
4.840000000E0	2.211660999E1	1.263399717E1
4.880000000E0	2.077118789E1	1.206021140E1
4.920000000E0	1.963987060E1	1.161933444E1
4.960000000E0	1.861852713E1	1.116084530E1
5.000000000E0	1.773053331E1	1.072280281E1
5.040000000E0	1.710301813E1	1.041707135E1
5.080000000E0	1.667719397E1	1.015825711E1
5.120000000E0	1.650696000E1	1.001836938E1
