axel
t	x	y
0.000000000E0	6.992883551E0	2.664144210E1
4.000000000E-2	6.994451414E0	2.662182169E1
8.000000000E-2	7.010924151E0	2.673737377E1
1.200000000E-1	7.132109734E0	2.677986608E1
1.600000000E-1	7.279552169E0	2.678784105E1
2.000000000E-1	7.452260441E0	2.683044625E1
2.400000000E-1	7.600796420E0	2.678413976E1
2.800000000E-1	7.750633324E0	2.676548904E1
3.200000000E-1	7.884794843E0	2.675151835E1
3.600000000E-1	7.915018099E0	2.676702242E1
4.000000000E-1	7.962455505E0	2.677826865E1
4.400000000E-1	8.031603153E0	2.675477470E1
4.800000000E-1	8.136462729E0	2.666703195E1
5.200000000E-1	8.248413910E0	2.650808468E1
5.600000000E-1	8.211939909E0	2.650589573E1
6.000000000E-1	8.195440489E0	2.645492099E1
6.400000000E-1	8.198686232E0	2.637492668E1
6.800000000E-1	8.205308073E0	2.625846047E1
7.200000000E-1	8.188516954E0	2.619157185E1
7.600000000E-1	8.176376510E0	2.618948884E1
8.000000000E-1	8.156836350E0	2.618967820E1
8.400000000E-1	8.174743971E0	2.619131891E1
8.800000000E-1	8.181246084E0	2.619205951E1
9.200000000E-1	8.171422047E0	2.618925078E1
9.600000000E-1	8.171574708E0	2.619010073E1
1.000000000E0	8.171714486E0	2.618805068E1
1.040000000E0	8.169129205E0	2.620915983E1
1.080000000E0	8.167275773E0	2.621298228E1
1.120000000E0	8.181928671E0	2.620971416E1
1.160000000E0	8.187117263E0	2.620937852E1
1.200000000E0	8.212501685E0	2.629474856E1
1.240000000E0	8.331615263E0	2.634313137E1
1.280000000E0	8.500956884E0	2.649176882E1
1.320000000E0	8.795090268E0	2.673785042E1
1.360000000E0	9.818922601E0	2.738947951E1
1.400000000E0	9.822083954E0	2.738354872E1
1.440000000E0	1.060022370E1	2.787187993E1
1.480000000E0	1.157499595E1	2.844748586E1
1.520000000E0	1.288799759E1	2.919505675E1
1.560000000E0	1.462402257E1	3.007913812E1
1.600000000E0	1.671031381E1	3.108021892E1
1.640000000E0	1.892830894E1	3.189417769E1
1.680000000E0	2.137945646E1	3.256384609E1
1.720000000E0	2.412502560E1	3.317534539E1
1.760000000E0	2.675266902E1	3.351399101E1
1.800000000E0	2.923470740E1	3.353868897E1
1.840000000E0	3.167877682E1	3.365088913E1
1.880000000E0	3.332570400E1	3.379981660E1
1.920000000E0	3.404246703E1	3.393875493E1
1.960000000E0	3.440063319E1	3.423139731E1
2.000000000E0	3.432656210E1	3.436843030E1
2.040000000E0	3.390470880E1	3.440549050E1
2.080000000E0	3.341802219E1	3.449133293E1
2.120000000E0	3.284540870E1	3.454259931E1
2.160000000E0	3.217533692E1	3.455295867E1
2.200000000E0	3.144016972E1	3.454056583E1
2.240000000E0	3.057232251E1	3.440505182E1
2.280000000E0	2.953983848E1	3.423856560E1
2.320000000E0	2.842689180E1	3.400577012E1
2.360000000E0	2.722375856E1	3.367488146E1
2.400000000E0	2.593821095E1	3.336770328E1
2.440000000E0	2.462024877E1	3.304107200E1
2.480000000E0	2.329095616E1	3.273780075E1
2.520000000E0	2.182534161E1	3.228134534E1
2.560000000E0	2.044423924E1	3.187405933E1
2.600000000E0	1.895710257E1	3.132186260E1
2.640000000E0	1.755631867E1	3.085149121E1
2.680000000E0	1.633799884E1	3.031164928E1
2.720000000E0	1.518843787E1	2.988697071E1
2.760000000E0	1.422628817E1	2.944591703E1
2.800000000E0	1.331507452E1	2.912904907E1
2.840000000E0	1.262258917E1	2.887570943E1
