hand
t	x	y
0.000000000E0	3.953005791E1	1.020513752E1
4.000000000E-2	3.953068080E1	1.020582657E1
8.000000000E-2	3.969549297E1	1.064255122E1
1.200000000E-1	3.998718017E1	1.105681127E1
1.600000000E-1	4.033155873E1	1.153717471E1
2.000000000E-1	4.073158832E1	1.187405708E1
2.400000000E-1	4.117165321E1	1.211120334E1
2.800000000E-1	4.144530807E1	1.231306579E1
3.200000000E-1	4.151872058E1	1.262477407E1
3.600000000E-1	4.161008397E1	1.290292281E1
4.000000000E-1	4.176011972E1	1.316317619E1
4.400000000E-1	4.202164429E1	1.308780099E1
4.800000000E-1	4.222861883E1	1.271428235E1
5.200000000E-1	4.236185052E1	1.241276430E1
5.600000000E-1	4.236312559E1	1.242735980E1
6.000000000E-1	4.236631181E1	1.229308615E1
6.400000000E-1	4.233849339E1	1.214062781E1
6.800000000E-1	4.224381362E1	1.204805805E1
7.200000000E-1	4.219969405E1	1.198671335E1
7.600000000E-1	4.217741921E1	1.198443737E1
8.000000000E-1	4.215395722E1	1.198974704E1
8.400000000E-1	4.218989604E1	1.200441701E1
8.800000000E-1	4.219917533E1	1.200167420E1
9.200000000E-1	4.220521448E1	1.199743435E1
9.600000000E-1	4.220867335E1	1.199480233E1
1.000000000E0	4.221321627E1	1.199444739E1
1.040000000E0	4.221955879E1	1.200435397E1
1.080000000E0	4.222827171E1	1.202185940E1
1.120000000E0	4.223040568E1	1.204817790E1
1.160000000E0	4.222757429E1	1.209820518E1
1.200000000E0	4.221835849E1	1.216657617E1
1.240000000E0	4.225786512E1	1.240053672E1
1.280000000E0	4.252255641E1	1.268991914E1
1.320000000E0	4.302456748E1	1.289118475E1
1.360000000E0	4.464941606E1	1.313974869E1
1.400000000E0	4.463499473E1	1.315716638E1
1.440000000E0	4.578911144E1	1.338202032E1
1.480000000E0	4.734347171E1	1.364665648E1
1.520000000E0	4.950214441E1	1.388564012E1
1.560000000E0	5.230330737E1	1.375215514E1
1.600000000E0	5.543267006E1	1.350142065E1
1.640000000E0	5.859471061E1	1.391863523E1
1.680000000E0	6.210017382E1	1.407895808E1
1.720000000E0	6.606982333E1	1.423767735E1
1.760000000E0	7.070942136E1	1.433997880E1
1.800000000E0	7.555011333E1	1.467047219E1
1.840000000E0	7.907892013E1	1.518443884E1
1.880000000E0	8.104278955E1	1.617114839E1
1.920000000E0	8.213009812E1	1.757126145E1
1.960000000E0	8.267431174E1	1.892609142E1
2.000000000E0	8.286978486E1	2.003681556E1
2.040000000E0	8.282808484E1	2.093124662E1
2.080000000E0	8.261165987E1	2.155156642E1
2.120000000E0	8.223459713E1	2.198207403E1
2.160000000E0	8.168553554E1	2.215305431E1
2.200000000E0	8.096394554E1	2.215950348E1
2.240000000E0	8.000856438E1	2.213990084E1
2.280000000E0	7.884828790E1	2.205356703E1
2.320000000E0	7.739485598E1	2.177575034E1
2.360000000E0	7.565027922E1	2.153421253E1
2.400000000E0	7.355483985E1	2.123838062E1
2.440000000E0	7.119920763E1	2.086390854E1
2.480000000E0	6.860783049E1	2.025977139E1
2.520000000E0	6.592106756E1	1.964949172E1
2.560000000E0	6.306312493E1	1.883990423E1
2.600000000E0	6.042619333E1	1.790410220E1
2.640000000E0	5.780999682E1	1.707798511E1
2.680000000E0	5.538371424E1	1.603663215E1
2.720000000E0	5.336851048E1	1.509568430E1
2.760000000E0	5.159852791E1	1.454245142E1
2.800000000E0	5.017274873E1	1.402771435E1
2.840000000E0	4.913824769E1	1.377802282E1
2.880000000E0	4.825385695E1	1.375269824E1
2.920000000E0	4.759576615E1	1.357336850E1
2.960000000E0	4.711996451E1	1.343081070E1
3.000000000E0	4.669115418E1	1.271367947E1
3.040000000E0	4.669363260E1	1.272469048E1
3.080000000E0	4.662696220E1	1.243227003E1
3.120000000E0	4.669662839E1	1.240243336E1
3.160000000E0	4.673446730E1	1.239638442E1
3.200000000E0	4.684131934E1	1.243048126E1
3.240000000E0	4.695316690E1	1.249711348E1
3.280000000E0	4.708176132E1	1.259033050E1
3.320000000E0	4.729073917E1	1.264079057E1
3.360000000E0	4.803629189E1	1.272696711E1
3.400000000E0	4.803965536E1	1.272320002E1
3.440000000E0	4.865010648E1	1.276236396E1
3.480000000E0	4.949086991E1	1.276502825E1
3.520000000E0	5.059540839E1	1.284107232E1
3.560000000E0	5.220284158E1	1.292094120E1
3.600000000E0	5.432650707E1	1.307098179E1
3.640000000E0	5.691815172E1	1.318713370E1
3.680000000E0	5.982527885E1	1.320961546E1
3.720000000E0	6.319724344E1	1.343470770E1
3.760000000E0	6.680123968E1	1.352254241E1
3.800000000E0	7.045213796E1	1.374343693E1
3.840000000E0	7.366387189E1	1.420264213E1
3.880000000E0	7.563510098E1	1.485840463E1
3.920000000E0	7.681969289E1	1.594975620E1
3.960000000E0	7.741178998E1	1.711529999E1
4.000000000E0	7.761490649E1	1.797366008E1
4.040000000E0	7.756326239E1	1.858245300E1
4.080000000E0	7.740292049E1	1.905162083E1
4.120000000E0	7.715047067E1	1.918126365E1
4.160000000E0	7.682720920E1	1.914398216E1
4.200000000E0	7.643074459E1	1.901994491E1
4.240000000E0	7.596738360E1	1.885650033E1
4.280000000E0	7.541466036E1	1.882027810E1
4.320000000E0	7.478779928E1	1.885193019E1
4.360000000E0	7.403977325E1	1.887910455E1
4.400000000E0	7.312137561E1	1.877593692E1
4.440000000E0	7.197497645E1	1.873969953E1
4.480000000E0	7.049926008E1	1.866200822E1
4.520000000E0	6.893063747E1	1.855533021E1
4.560000000E0	6.717497720E1	1.860657776E1
4.600000000E0	6.519080451E1	1.838566363E1
4.640000000E0	6.322191560E1	1.829063747E1
4.680000000E0	6.118582311E1	1.826290235E1
4.720000000E0	5.913482519E1	1.799844192E1
4.760000000E0	5.729071846E1	1.769879136E1
4.800000000E0	5.565028764E1	1.723433607E1
4.840000000E0	5.414411737E1	1.661676706E1
4.880000000E0	5.278299181E1	1.598311775E1
4.920000000E0	5.159191834E1	1.539984629E1
4.960000000E0	5.045871854E1	1.483414775E1
5.000000000E0	4.951578066E1	1.425280138E1
5.040000000E0	4.884196017E1	1.382998423E1
5.080000000E0	4.838257405E1	1.351325774E1
5.120000000E0	4.819217760E1	1.318624140E1
5.160000000E0	4.826792581E1	1.299102514E1
5.200000000E0	4.863249337E1	1.280087890E1
5.240000000E0	4.910931432E1	1.274620717E1
5.280000000E0	4.972967985E1	1.282069614E1
5.320000000E0	5.055032034E1	1.288681098E1
5.360000000E0	5.149980733E1	1.282068534E1
5.400000000E0	5.261680691E1	1.277770611E1
5.440000000E0	5.389802646E1	1.281112909E1
5.480000000E0	5.551351846E1	1.287951199E1
5.520000000E0	5.784339510E1	1.304408069E1
5.560000000E0	6.114410634E1	1.323934696E1
5.600000000E0	6.542189686E1	1.334912963E1
5.640000000E0	7.001034022E1	1.359881142E1
5.680000000E0	7.376920779E1	1.420531039E1
5.720000000E0	7.599903091E1	1.500661016E1
5.760000000E0	7.706121094E1	1.613967433E1
5.800000000E0	7.755145907E1	1.747185913E1
5.840000000E0	7.769318925E1	1.844861302E1
5.880000000E0	7.756490491E1	1.899730451E1
5.920000000E0	7.729612152E1	1.910548691E1
5.960000000E0	7.697339332E1	1.899841592E1
6.000000000E0	7.655489540E1	1.876542927E1
6.040000000E0	7.607299706E1	1.855714784E1
6.080000000E0	7.548423523E1	1.831470799E1
6.120000000E0	7.464292238E1	1.811711197E1
6.160000000E0	7.355123156E1	1.794519317E1
6.200000000E0	7.207068015E1	1.782146029E1
6.240000000E0	7.018435520E1	1.766755046E1
6.280000000E0	6.796640779E1	1.765576897E1
6.320000000E0	6.539454774E1	1.762502554E1
6.360000000E0	6.269165736E1	1.722844887E1
6.400000000E0	5.998420548E1	1.687457019E1
6.440000000E0	5.732095903E1	1.650940274E1
6.480000000E0	5.490223053E1	1.589094007E1
6.520000000E0	5.271415691E1	1.530719499E1
6.560000000E0	5.099817553E1	1.470087561E1
6.600000000E0	4.963319889E1	1.428100213E1
6.640000000E0	4.857526327E1	1.410638992E1
6.680000000E0	4.771059460E1	1.401164850E1
6.720000000E0	4.703247643E1	1.386775830E1
6.760000000E0	4.662760446E1	1.378137525E1
6.800000000E0	4.640613821E1	1.364554884E1
6.840000000E0	4.629568805E1	1.344680646E1
6.880000000E0	4.627622477E1	1.323747565E1
6.920000000E0	4.634589744E1	1.300957976E1
6.960000000E0	4.651842993E1	1.277825139E1
7.000000000E0	4.668148099E1	1.264704365E1
7.040000000E0	4.680156862E1	1.260670552E1
7.080000000E0	4.690464745E1	1.264772077E1
7.120000000E0	4.701431314E1	1.261826146E1
7.160000000E0	4.715682363E1	1.263985987E1
7.200000000E0	4.731627919E1	1.273770314E1
7.240000000E0	4.760061303E1	1.280885617E1
7.280000000E0	4.801184790E1	1.289518182E1
7.320000000E0	4.851067360E1	1.297609376E1
7.360000000E0	4.924736701E1	1.303354804E1
7.400000000E0	5.027351519E1	1.305149078E1
7.440000000E0	5.153320811E1	1.317448022E1
7.480000000E0	5.301517617E1	1.317876279E1
7.520000000E0	5.472891653E1	1.317432210E1
7.560000000E0	5.665077220E1	1.317959382E1
7.600000000E0	5.890526173E1	1.328638104E1
7.640000000E0	6.186653423E1	1.350256020E1
7.680000000E0	6.601768971E1	1.383897438E1
7.720000000E0	7.079065704E1	1.408307118E1
7.760000000E0	7.466050919E1	1.475309769E1
7.800000000E0	7.671147250E1	1.565212646E1
7.840000000E0	7.787020210E1	1.680870831E1
7.880000000E0	7.839403665E1	1.848031533E1
7.920000000E0	7.847232194E1	1.988898449E1
7.960000000E0	7.834467548E1	2.086636783E1
8.000000000E0	7.806126178E1	2.142055248E1
8.040000000E0	7.775722208E1	2.178845229E1
8.080000000E0	7.723934568E1	2.202331829E1
8.120000000E0	7.726702003E1	2.202085081E1
8.160000000E0	7.687096736E1	2.198551315E1
8.200000000E0	7.640438616E1	2.184508591E1
8.240000000E0	7.576062509E1	2.166186907E1
8.280000000E0	7.489066542E1	2.149463892E1
8.320000000E0	7.368956460E1	2.107534192E1
8.360000000E0	7.227795387E1	2.076726918E1
8.400000000E0	7.053685746E1	2.049166859E1
8.440000000E0	6.858265478E1	2.005446916E1
8.480000000E0	6.656488974E1	1.975097641E1
8.520000000E0	6.434675746E1	1.933857724E1
8.560000000E0	6.212786037E1	1.877736567E1
8.600000000E0	6.001204200E1	1.825352532E1
8.640000000E0	5.799583413E1	1.768752674E1
8.680000000E0	5.623888631E1	1.718632136E1
8.720000000E0	5.463963266E1	1.675146484E1
8.760000000E0	5.323456260E1	1.619949170E1
8.800000000E0	5.197399918E1	1.576375920E1
8.840000000E0	5.088241031E1	1.543725554E1
8.880000000E0	4.985201978E1	1.511999822E1
8.920000000E0	4.897814442E1	1.481824577E1
8.960000000E0	4.835972036E1	1.446837961E1
9.000000000E0	4.793490840E1	1.422343055E1
9.040000000E0	4.765188811E1	1.394793509E1
9.080000000E0	4.751854997E1	1.372218277E1
9.120000000E0	4.759464852E1	1.355517987E1
9.160000000E0	4.774138198E1	1.339165094E1
9.200000000E0	4.793354342E1	1.345434859E1
9.240000000E0	4.834396088E1	1.348217138E1
9.280000000E0	4.894168458E1	1.346709527E1
9.320000000E0	4.966819763E1	1.327332401E1
9.360000000E0	5.056896747E1	1.310374714E1
9.400000000E0	5.162020350E1	1.300700028E1
9.440000000E0	5.296592982E1	1.301248615E1
9.480000000E0	5.461516377E1	1.304084750E1
9.520000000E0	5.665333617E1	1.319097448E1
9.560000000E0	5.915050098E1	1.329871028E1
9.600000000E0	6.217715295E1	1.335434434E1
