armbåge
t	x	y
0.000000000E0	1.466636156E1	8.680091533E0
4.000000000E-2	1.466600312E1	8.679911141E0
8.000000000E-2	1.451044340E1	8.810527630E0
1.200000000E-1	1.422866571E1	8.861521384E0
1.600000000E-1	1.373466089E1	8.853425664E0
2.000000000E-1	1.309490479E1	8.786782693E0
2.400000000E-1	1.256297625E1	8.721829581E0
2.800000000E-1	1.229433443E1	8.554017300E0
3.200000000E-1	1.229942753E1	8.380122473E0
3.600000000E-1	1.256934817E1	8.279632882E0
4.000000000E-1	1.297899970E1	8.208026114E0
4.400000000E-1	1.329761344E1	8.116672994E0
4.800000000E-1	1.344556125E1	8.060410696E0
5.200000000E-1	1.347291654E1	8.045135954E0
5.600000000E-1	1.347511822E1	8.042001391E0
6.000000000E-1	1.349636380E1	8.062953669E0
6.400000000E-1	1.358989342E1	8.093066486E0
6.800000000E-1	1.378343133E1	8.099305013E0
7.200000000E-1	1.412131671E1	8.087832735E0
7.600000000E-1	1.455271545E1	8.078334827E0
8.000000000E-1	1.502754958E1	8.028439802E0
8.400000000E-1	1.541699984E1	7.915683808E0
8.800000000E-1	1.558474486E1	7.678774898E0
9.200000000E-1	1.548949920E1	7.489128520E0
9.600000000E-1	1.535855724E1	7.331466752E0
1.000000000E0	1.522768140E1	7.210277121E0
1.040000000E0	1.511763831E1	7.102586215E0
1.080000000E0	1.514774444E1	7.032520731E0
1.120000000E0	1.526215685E1	7.040157617E0
1.160000000E0	1.531677335E1	7.167550340E0
1.200000000E0	1.526418163E1	7.327680456E0
1.240000000E0	1.523953572E1	7.432112233E0
1.280000000E0	1.528583407E1	7.624569985E0
1.320000000E0	1.539751077E1	7.853591073E0
1.360000000E0	1.551306558E1	8.050224384E0
1.400000000E0	1.561644301E1	8.207371655E0
1.440000000E0	1.581290282E1	8.397856242E0
1.480000000E0	1.616763556E1	8.661280831E0
1.520000000E0	1.677413393E1	9.089187222E0
1.560000000E0	1.784641223E1	9.822207822E0
1.600000000E0	1.942923834E1	1.089914701E1
1.640000000E0	2.150006033E1	1.224112217E1
1.680000000E0	2.424409366E1	1.377893172E1
1.720000000E0	2.801071235E1	1.566916913E1
1.760000000E0	3.309186710E1	1.824976894E1
1.800000000E0	3.846848431E1	2.095942196E1
1.840000000E0	4.272041479E1	2.299200562E1
1.880000000E0	4.448875882E1	2.387983433E1
1.920000000E0	4.549255973E1	2.480333866E1
1.960000000E0	4.591087242E1	2.600593942E1
2.000000000E0	4.564828877E1	2.671694327E1
2.040000000E0	4.489768421E1	2.711446955E1
2.080000000E0	4.400132979E1	2.711871330E1
2.120000000E0	4.306525842E1	2.698273452E1
2.160000000E0	4.217431262E1	2.677325923E1
2.200000000E0	4.130249136E1	2.648037228E1
2.240000000E0	4.041584650E1	2.596200303E1
2.280000000E0	3.843008088E1	2.455381857E1
2.320000000E0	3.845377111E1	2.454726442E1
2.360000000E0	3.730900722E1	2.364574590E1
2.400000000E0	3.594043223E1	2.254990443E1
2.440000000E0	3.446067190E1	2.151182307E1
