axel
t	x	y
0.000000000E0	8.680091533E0	2.708787185E1
4.000000000E-2	8.680823326E0	2.709057904E1
8.000000000E-2	8.708012677E0	2.719591851E1
1.200000000E-1	8.797963683E0	2.725471677E1
1.600000000E-1	8.775471551E0	2.728306511E1
2.000000000E-1	8.567685537E0	2.725530824E1
2.400000000E-1	8.349000277E0	2.720901452E1
2.800000000E-1	8.246060363E0	2.712886099E1
3.200000000E-1	8.253845041E0	2.700356107E1
3.600000000E-1	8.373227538E0	2.692513435E1
4.000000000E-1	8.555821578E0	2.682074880E1
4.400000000E-1	8.773736579E0	2.669564687E1
4.800000000E-1	8.870299744E0	2.665685386E1
5.200000000E-1	8.837698535E0	2.662661787E1
5.600000000E-1	8.799580499E0	2.660728900E1
6.000000000E-1	8.814718554E0	2.662612397E1
6.400000000E-1	8.838208361E0	2.662995369E1
6.800000000E-1	8.993574837E0	2.664009519E1
7.200000000E-1	9.182638701E0	2.663110266E1
7.600000000E-1	9.426096418E0	2.658301292E1
8.000000000E-1	9.709535768E0	2.649559110E1
8.400000000E-1	9.995319796E0	2.634577675E1
8.800000000E-1	1.020871690E1	2.618716265E1
9.200000000E-1	1.020257599E1	2.602551752E1
9.600000000E-1	1.016399114E1	2.590152469E1
1.000000000E0	1.004827961E1	2.586844002E1
1.040000000E0	1.002133946E1	2.580060893E1
1.080000000E0	1.005006593E1	2.574804259E1
1.120000000E0	1.016014833E1	2.574298025E1
1.160000000E0	1.017566391E1	2.583508964E1
1.200000000E0	1.017052761E1	2.592683629E1
1.240000000E0	1.016353482E1	2.602900715E1
1.280000000E0	1.016794171E1	2.614546664E1
1.320000000E0	1.023258693E1	2.634394959E1
1.360000000E0	1.038434952E1	2.649282782E1
1.400000000E0	1.057385171E1	2.663024319E1
1.440000000E0	1.078440158E1	2.676158211E1
1.480000000E0	1.104129716E1	2.694304539E1
1.520000000E0	1.136226203E1	2.714302288E1
1.560000000E0	1.192755048E1	2.754650403E1
1.600000000E0	1.286226260E1	2.817330150E1
1.640000000E0	1.400340150E1	2.902085849E1
1.680000000E0	1.551158297E1	2.994036996E1
1.720000000E0	1.750983350E1	3.088378852E1
1.760000000E0	2.000753952E1	3.183416272E1
1.800000000E0	2.284622003E1	3.277289545E1
1.840000000E0	2.575084403E1	3.342645388E1
1.880000000E0	2.760225790E1	3.379338521E1
1.920000000E0	2.830309188E1	3.412971276E1
1.960000000E0	2.843378363E1	3.472518275E1
2.000000000E0	2.797115776E1	3.503472583E1
2.040000000E0	2.708029451E1	3.505431126E1
2.080000000E0	2.604473370E1	3.496941975E1
2.120000000E0	2.506882174E1	3.475822046E1
2.160000000E0	2.420384431E1	3.459841330E1
2.200000000E0	2.340614598E1	3.445890317E1
2.240000000E0	2.271708241E1	3.436117755E1
2.280000000E0	2.133918139E1	3.398596839E1
2.320000000E0	2.136615976E1	3.398006911E1
2.360000000E0	2.068042055E1	3.370089751E1
2.400000000E0	2.004047854E1	3.351182698E1
2.440000000E0	1.928592879E1	3.320789482E1
2.480000000E0	1.853126141E1	3.289154026E1
2.520000000E0	1.767246297E1	3.246418657E1
2.560000000E0	1.676049998E1	3.201110688E1
2.600000000E0	1.594272456E1	3.155972189E1
2.640000000E0	1.494617992E1	3.112807979E1
2.680000000E0	1.402421925E1	3.081687586E1
2.720000000E0	1.329231403E1	3.051915227E1
2.760000000E0	1.258554591E1	3.011830480E1
2.800000000E0	1.181936368E1	2.965547472E1
2.840000000E0	1.118476336E1	2.929945787E1
2.880000000E0	1.062552956E1	2.898219859E1
2.920000000E0	1.029696423E1	2.877334613E1
2.960000000E0	1.022032777E1	2.868217790E1
3.000000000E0	1.017394518E1	2.861035460E1
3.040000000E0	1.017065570E1	2.845191202E1
3.080000000E0	1.024173377E1	2.832121399E1
3.120000000E0	1.030523682E1	2.820311885E1
3.160000000E0	1.032074458E1	2.803668114E1
3.200000000E0	1.031832699E1	2.797256310E1
3.240000000E0	1.030554965E1	2.787309283E1
3.280000000E0	1.027346144E1	2.784448561E1
3.320000000E0	1.020462578E1	2.785426807E1
3.360000000E0	1.014304208E1	2.800345652E1
3.400000000E0	1.000736522E1	2.814127918E1
3.440000000E0	9.736893280E0	2.822542605E1
3.480000000E0	9.424942483E0	2.827740952E1
3.520000000E0	9.088742777E0	2.826445940E1
3.560000000E0	8.799807873E0	2.817729420E1
3.600000000E0	8.541579373E0	2.811417526E1
3.640000000E0	8.303996258E0	2.808161879E1
3.680000000E0	7.951793178E0	2.803931892E1
3.720000000E0	7.678628768E0	2.798467866E1
3.760000000E0	7.381282426E0	2.794884561E1
3.800000000E0	7.050013270E0	2.792058418E1
3.840000000E0	6.770145512E0	2.795853498E1
3.880000000E0	6.518313391E0	2.798237328E1
3.920000000E0	6.324207745E0	2.798514412E1
3.960000000E0	6.151178803E0	2.798633205E1
4.000000000E0	6.045645756E0	2.798385861E1
4.040000000E0	5.991394985E0	2.798460423E1
4.080000000E0	6.094000666E0	2.798319460E1
4.120000000E0	6.148687494E0	2.797720458E1
4.160000000E0	6.278100814E0	2.800086538E1
4.200000000E0	6.375306359E0	2.812071746E1
4.240000000E0	6.441567659E0	2.813887619E1
4.280000000E0	6.448886581E0	2.811571117E1
4.320000000E0	6.413971974E0	2.802707271E1
4.360000000E0	6.290160806E0	2.810789178E1
4.400000000E0	6.182800698E0	2.816905613E1
4.440000000E0	6.114840191E0	2.830602967E1
4.480000000E0	6.087975179E0	2.833585690E1
4.520000000E0	6.064713609E0	2.829057448E1
4.560000000E0	6.118398200E0	2.817194903E1
4.600000000E0	6.169961518E0	2.798753771E1
4.640000000E0	6.283269364E0	2.785874967E1
4.680000000E0	6.383934655E0	2.795792510E1
4.720000000E0	6.442109083E0	2.813904778E1
4.760000000E0	6.566685416E0	2.828446565E1
4.800000000E0	6.695975370E0	2.837953052E1
4.840000000E0	6.741416561E0	2.841904476E1
4.880000000E0	6.769821765E0	2.841101159E1
4.920000000E0	6.882912758E0	2.835899702E1
4.960000000E0	7.053162520E0	2.827872558E1
5.000000000E0	7.305066130E0	2.816484040E1
5.040000000E0	7.617025912E0	2.814813264E1
5.080000000E0	7.961384984E0	2.812292092E1
5.120000000E0	8.397363783E0	2.811979121E1
5.160000000E0	8.934808569E0	2.816434366E1
5.200000000E0	9.426770430E0	2.830843551E1
5.240000000E0	9.749828535E0	2.846697253E1
5.280000000E0	1.006795059E1	2.862932282E1
5.320000000E0	1.063644627E1	2.888953425E1
5.360000000E0	1.142368901E1	2.921301484E1
5.400000000E0	1.258075569E1	2.974509488E1
5.440000000E0	1.418928144E1	3.031945274E1
5.480000000E0	1.628173532E1	3.099048627E1
5.520000000E0	1.873953094E1	3.168273133E1
5.560000000E0	2.137124283E1	3.232375896E1
5.600000000E0	2.419883935E1	3.264556464E1
5.640000000E0	2.647353658E1	3.300281591E1
5.680000000E0	2.781589285E1	3.313356664E1
5.720000000E0	2.830935461E1	3.349774926E1
5.760000000E0	2.827207042E1	3.388781702E1
5.800000000E0	2.785413407E1	3.411120358E1
5.840000000E0	2.729525687E1	3.423127031E1
5.880000000E0	2.667201920E1	3.426938466E1
5.920000000E0	2.602983555E1	3.427739634E1
5.960000000E0	2.533199513E1	3.427480519E1
6.000000000E0	2.460347412E1	3.420538255E1
6.040000000E0	2.384864825E1	3.408755004E1
6.080000000E0	2.303716995E1	3.381585414E1
6.120000000E0	2.225345558E1	3.354345104E1
6.160000000E0	2.139826834E1	3.324020790E1
6.200000000E0	2.053572573E1	3.290987578E1
6.240000000E0	1.948488502E1	3.249603162E1
6.280000000E0	1.847717784E1	3.204589491E1
6.320000000E0	1.744360077E1	3.152083744E1
6.360000000E0	1.634550021E1	3.105631099E1
6.400000000E0	1.531647865E1	3.058506775E1
6.440000000E0	1.424217793E1	3.019942159E1
6.480000000E0	1.326173798E1	2.989211514E1
6.520000000E0	1.242204174E1	2.958271741E1
6.560000000E0	1.177089298E1	2.929563520E1
6.600000000E0	1.132106653E1	2.905583584E1
6.640000000E0	1.092230174E1	2.893125272E1
6.680000000E0	1.062201981E1	2.871261694E1
6.720000000E0	1.048120903E1	2.856277535E1
6.760000000E0	1.040676963E1	2.833079019E1
6.800000000E0	1.033162904E1	2.814914632E1
6.840000000E0	1.031921457E1	2.800458537E1
6.880000000E0	1.031595166E1	2.797427301E1
6.920000000E0	1.029665030E1	2.795661710E1
6.960000000E0	1.027245366E1	2.789534425E1
7.000000000E0	1.027328346E1	2.781583473E1
7.040000000E0	1.024778463E1	2.777016021E1
7.080000000E0	1.019915588E1	2.775106404E1
7.120000000E0	1.019448947E1	2.771688702E1
7.160000000E0	1.019159754E1	2.770422263E1
7.200000000E0	1.018343443E1	2.770123880E1
7.240000000E0	1.019911664E1	2.771633910E1
7.280000000E0	1.029037843E1	2.773680022E1
7.320000000E0	1.038890431E1	2.781068267E1
7.360000000E0	1.081400019E1	2.810750183E1
7.400000000E0	1.079520323E1	2.812275091E1
7.440000000E0	1.122674497E1	2.831183419E1
7.480000000E0	1.183540155E1	2.855447042E1
7.520000000E0	1.245091727E1	2.884018769E1
7.560000000E0	1.314633082E1	2.919573916E1
7.600000000E0	1.411263020E1	2.968051436E1
7.640000000E0	1.552567447E1	3.019789396E1
7.680000000E0	1.735067054E1	3.081449918E1
7.720000000E0	1.946896514E1	3.145726697E1
7.760000000E0	2.179463865E1	3.216708855E1
7.800000000E0	2.367687809E1	3.257651374E1
7.840000000E0	2.469615047E1	3.279016848E1
7.880000000E0	2.493904257E1	3.300347477E1
7.920000000E0	2.468132646E1	3.322975376E1
7.960000000E0	2.347820651E1	3.324020892E1
8.000000000E0	2.348633068E1	3.322751273E1
8.040000000E0	2.286105256E1	3.313022046E1
8.080000000E0	2.221006271E1	3.301812050E1
8.120000000E0	2.140756439E1	3.293606359E1
8.160000000E0	2.062610100E1	3.272702600E1
8.200000000E0	1.988384329E1	3.245995702E1
8.240000000E0	1.908244787E1	3.215187618E1
8.280000000E0	1.814055144E1	3.173709808E1
8.320000000E0	1.724242631E1	3.131522412E1
8.360000000E0	1.623024787E1	3.079451093E1
8.400000000E0	1.508516338E1	3.025665294E1
8.440000000E0	1.417293348E1	2.972681093E1
8.480000000E0	1.332806924E1	2.927934796E1
8.520000000E0	1.264461551E1	2.887323975E1
8.560000000E0	1.197629374E1	2.855353291E1
8.600000000E0	1.146948173E1	2.835307353E1
8.640000000E0	1.118744559E1	2.816982826E1
8.680000000E0	1.103158046E1	2.798556656E1
8.720000000E0	1.105301134E1	2.797984674E1
8.760000000E0	1.107599986E1	2.794968116E1
8.800000000E0	1.116023744E1	2.789535996E1
8.840000000E0	1.121448896E1	2.781759195E1
8.880000000E0	1.119550479E1	2.777926475E1
8.920000000E0	1.116345161E1	2.772169623E1
8.960000000E0	1.110244872E1	2.766814318E1
9.000000000E0	1.104880732E1	2.764963322E1
9.040000000E0	1.103713783E1	2.764089426E1
9.080000000E0	1.104559593E1	2.763075692E1
9.120000000E0	1.104132979E1	2.763483716E1
9.160000000E0	1.103499110E1	2.763365701E1
9.200000000E0	1.105480324E1	2.763315036E1
9.240000000E0	1.106267788E1	2.763717587E1
9.280000000E0	1.106290046E1	2.766438569E1
9.320000000E0	1.107191199E1	2.768419768E1
9.360000000E0	1.109646021E1	2.770738327E1
9.400000000E0	1.118117429E1	2.779972538E1
9.440000000E0	1.124899630E1	2.788518401E1
9.480000000E0	1.139428385E1	2.803850754E1
9.520000000E0	1.153093660E1	2.814368966E1
9.560000000E0	1.167064236E1	2.828577450E1
9.600000000E0	1.182647478E1	2.844040439E1
9.640000000E0	1.208674353E1	2.873014182E1
9.680000000E0	1.256208329E1	2.907124367E1
9.720000000E0	1.332066571E1	2.958918946E1
9.760000000E0	1.434713984E1	3.025681806E1
9.800000000E0	1.563003007E1	3.101723312E1
9.840000000E0	1.729740223E1	3.169120734E1
9.880000000E0	1.965106057E1	3.234832913E1
9.920000000E0	2.221134084E1	3.307974697E1
9.960000000E0	2.437259234E1	3.336257693E1
1.000000000E1	2.617275314E1	3.364670557E1
1.004000000E1	2.618232213E1	3.366331222E1
1.008000000E1	2.628520167E1	3.399487524E1
1.012000000E1	2.605920142E1	3.410723180E1
1.016000000E1	2.567326736E1	3.412359092E1
1.020000000E1	2.530726393E1	3.421873956E1
1.024000000E1	2.498601788E1	3.425396011E1
1.028000000E1	2.468061013E1	3.426533539E1
1.032000000E1	2.437438570E1	3.427964212E1
1.036000000E1	2.394081067E1	3.427012453E1
1.040000000E1	2.339436461E1	3.416596850E1
1.044000000E1	2.276867850E1	3.399794509E1
1.048000000E1	2.202388973E1	3.383886861E1
1.052000000E1	2.044774376E1	3.331547023E1
1.056000000E1	2.048159883E1	3.335535021E1
1.060000000E1	1.965999711E1	3.308496419E1
1.064000000E1	1.883140573E1	3.276206417E1
1.068000000E1	1.792092662E1	3.245128238E1
1.072000000E1	1.708631272E1	3.207356830E1
1.076000000E1	1.623962356E1	3.156196399E1
1.080000000E1	1.539266122E1	3.111735928E1
1.084000000E1	1.463946370E1	3.074574755E1
1.088000000E1	1.391806862E1	3.037289586E1
1.092000000E1	1.328201246E1	3.004873772E1
1.096000000E1	1.210999911E1	2.939240567E1
1.100000000E1	1.211792613E1	2.933919766E1
1.104000000E1	1.167732009E1	2.905327952E1
1.108000000E1	1.122539163E1	2.875598878E1
1.112000000E1	1.092359164E1	2.851366404E1
1.116000000E1	1.037681646E1	2.813802964E1
1.120000000E1	1.034094262E1	2.813267167E1
1.124000000E1	1.028053284E1	2.800016745E1
1.128000000E1	1.024326880E1	2.783528305E1
1.132000000E1	1.019911189E1	2.769868520E1
1.136000000E1	1.027043125E1	2.766663897E1
1.140000000E1	1.033778581E1	2.764048975E1
1.144000000E1	1.045824970E1	2.767800807E1
1.148000000E1	1.049301808E1	2.767553633E1
1.152000000E1	1.078037613E1	2.777466521E1
1.156000000E1	1.077646062E1	2.781155705E1
1.160000000E1	1.101834797E1	2.797802032E1
1.164000000E1	1.125132064E1	2.805176256E1
1.168000000E1	1.151240222E1	2.815928165E1
1.172000000E1	1.182005704E1	2.829060517E1
1.176000000E1	1.213100763E1	2.856139974E1
1.180000000E1	1.243661905E1	2.875701477E1
1.184000000E1	1.287030551E1	2.914025115E1
