hand
t	x	y
0.000000000E0	4.474736842E1	1.197254005E1
4.000000000E-2	4.474791998E1	1.197220324E1
8.000000000E-2	4.470734583E1	1.224428317E1
1.200000000E-1	4.449774460E1	1.255169925E1
1.600000000E-1	4.405652616E1	1.269569901E1
2.000000000E-1	4.348932027E1	1.285108224E1
2.400000000E-1	4.308584423E1	1.276279751E1
2.800000000E-1	4.282766243E1	1.242120226E1
3.200000000E-1	4.274370753E1	1.221734948E1
3.600000000E-1	4.293762192E1	1.210932363E1
4.000000000E-1	4.315590172E1	1.211223680E1
4.400000000E-1	4.328361705E1	1.227480078E1
4.800000000E-1	4.336232598E1	1.243127523E1
5.200000000E-1	4.344455252E1	1.259576515E1
5.600000000E-1	4.354329363E1	1.263970849E1
6.000000000E-1	4.362610008E1	1.269343768E1
6.400000000E-1	4.382773087E1	1.303717427E1
6.800000000E-1	4.408519031E1	1.343579007E1
7.200000000E-1	4.442614902E1	1.389549799E1
7.600000000E-1	4.478638961E1	1.420379302E1
8.000000000E-1	4.529231152E1	1.406953785E1
8.400000000E-1	4.580085648E1	1.347522468E1
8.800000000E-1	4.591560668E1	1.318769307E1
9.200000000E-1	4.580555151E1	1.315243753E1
9.600000000E-1	4.563437149E1	1.299802408E1
1.000000000E0	4.548578017E1	1.290857163E1
1.040000000E0	4.536377610E1	1.288726921E1
1.080000000E0	4.538276321E1	1.289112868E1
1.120000000E0	4.547799783E1	1.292739380E1
1.160000000E0	4.553643249E1	1.300231882E1
1.200000000E0	4.551563077E1	1.302296850E1
1.240000000E0	4.551189336E1	1.302607442E1
1.280000000E0	4.563134575E1	1.304267759E1
1.320000000E0	4.580071902E1	1.308695415E1
1.360000000E0	4.593592690E1	1.302555819E1
1.400000000E0	4.609478141E1	1.301107800E1
1.440000000E0	4.637748450E1	1.300947617E1
1.480000000E0	4.681774880E1	1.303479678E1
1.520000000E0	4.755504404E1	1.322406386E1
1.560000000E0	4.887942928E1	1.329818106E1
1.600000000E0	5.070320346E1	1.331088968E1
1.640000000E0	5.299902394E1	1.346663051E1
1.680000000E0	5.603947004E1	1.362765503E1
1.720000000E0	6.006842597E1	1.384048897E1
1.760000000E0	6.540926212E1	1.406099728E1
1.800000000E0	7.090558215E1	1.466417355E1
1.840000000E0	7.500657813E1	1.587074554E1
1.880000000E0	7.723800675E1	1.796213868E1
1.920000000E0	7.856631862E1	2.033996455E1
1.960000000E0	7.906676810E1	2.260971237E1
2.000000000E0	7.889634180E1	2.433152918E1
2.040000000E0	7.830363313E1	2.563373291E1
