axel
t	x	y
0.000000000E0	1.367260936E1	3.624393934E1
4.000000000E-2	1.367822251E1	3.624834707E1
8.000000000E-2	1.367362841E1	3.624665778E1
1.200000000E-1	1.367849944E1	3.622064973E1
1.600000000E-1	1.367626385E1	3.624822304E1
2.000000000E-1	1.367555329E1	3.624687688E1
2.400000000E-1	1.367775415E1	3.622531528E1
2.800000000E-1	1.367664966E1	3.624807900E1
3.200000000E-1	1.367631978E1	3.622796807E1
3.600000000E-1	1.367506830E1	3.623328971E1
4.000000000E-1	1.367288669E1	3.623948636E1
4.400000000E-1	1.367354159E1	3.624028076E1
4.800000000E-1	1.367435285E1	3.625249701E1
5.200000000E-1	1.367343507E1	3.623951195E1
5.600000000E-1	1.367349456E1	3.623801931E1
6.000000000E-1	1.367068691E1	3.626267376E1
6.400000000E-1	1.367146270E1	3.625694365E1
6.800000000E-1	1.367224147E1	3.625286896E1
7.200000000E-1	1.366999855E1	3.622792750E1
7.600000000E-1	1.367125229E1	3.623395724E1
8.000000000E-1	1.367352832E1	3.625862126E1
8.400000000E-1	1.367359574E1	3.625439169E1
8.800000000E-1	1.367360484E1	3.625180636E1
9.200000000E-1	1.367390940E1	3.623188387E1
9.600000000E-1	1.367404144E1	3.623540773E1
1.000000000E0	1.367425273E1	3.623418809E1
1.040000000E0	1.367380142E1	3.623749068E1
1.080000000E0	1.367365487E1	3.623971527E1
1.120000000E0	1.367374669E1	3.624977265E1
1.160000000E0	1.367382190E1	3.624072619E1
1.200000000E0	1.367389889E1	3.624194855E1
1.240000000E0	1.367391587E1	3.624276373E1
1.280000000E0	1.367387062E1	3.624333172E1
1.320000000E0	1.367383225E1	3.624372398E1
1.360000000E0	1.367384016E1	3.624399452E1
1.400000000E0	1.367383212E1	3.624418263E1
1.440000000E0	1.367378343E1	3.624431096E1
1.480000000E0	1.367377046E1	3.624437106E1
1.520000000E0	1.367361866E1	3.624452311E1
1.560000000E0	1.367352895E1	3.624464617E1
1.600000000E0	1.367351213E1	3.624461746E1
1.640000000E0	1.367351141E1	3.624459298E1
1.680000000E0	1.367591902E1	3.625424922E1
1.720000000E0	1.367545902E1	3.624312655E1
1.760000000E0	1.367453781E1	3.624370031E1
1.800000000E0	1.367401301E1	3.624405832E1
1.840000000E0	1.367018434E1	3.624504577E1
1.880000000E0	1.366409797E1	3.624627565E1
1.920000000E0	1.366227949E1	3.624554907E1
1.960000000E0	1.366045934E1	3.624489692E1
2.000000000E0	1.366434937E1	3.624366756E1
2.040000000E0	1.366726390E1	3.624509637E1
2.080000000E0	1.366902173E1	3.625455074E1
2.120000000E0	1.367331785E1	3.624181055E1
2.160000000E0	1.367353745E1	3.624237334E1
