armbåge
t	x	y
0.000000000E0	1.214238046E1	5.980300980E0
4.000000000E-2	1.214112878E1	5.981474860E0
8.000000000E-2	1.214139949E1	5.982484836E0
1.200000000E-1	1.214123218E1	5.982724857E0
1.600000000E-1	1.214153027E1	5.982124445E0
2.000000000E-1	1.214181041E1	5.981937610E0
2.400000000E-1	1.214201266E1	5.981948556E0
2.800000000E-1	1.214145350E1	5.981581426E0
3.200000000E-1	1.214083007E1	5.980648928E0
3.600000000E-1	1.214304150E1	5.982484914E0
4.000000000E-1	1.214427970E1	5.982490267E0
4.400000000E-1	1.214341499E1	5.980387102E0
4.800000000E-1	1.214296315E1	5.978689760E0
5.200000000E-1	1.214345318E1	5.979985490E0
5.600000000E-1	1.214517227E1	5.982847165E0
6.000000000E-1	1.214008876E1	5.973131850E0
6.400000000E-1	1.214114706E1	5.976184972E0
6.800000000E-1	1.214210605E1	5.976120124E0
7.200000000E-1	1.214237651E1	5.974551921E0
7.600000000E-1	1.214378528E1	5.974902492E0
8.000000000E-1	1.214273943E1	5.978386583E0
8.400000000E-1	1.214259280E1	5.978677408E0
8.800000000E-1	1.214249316E1	5.979641554E0
9.200000000E-1	1.214212708E1	5.979924985E0
9.600000000E-1	1.214221111E1	5.980420404E0
1.000000000E0	1.214446425E1	5.979976039E0
1.040000000E0	1.214327508E1	5.980551399E0
1.080000000E0	1.214287161E1	5.980463421E0
1.120000000E0	1.214295034E1	5.980763685E0
1.160000000E0	1.214252810E1	5.980509003E0
1.200000000E0	1.214220001E1	5.980747807E0
1.240000000E0	1.214223471E1	5.981236024E0
1.280000000E0	1.214217724E1	5.981271934E0
1.320000000E0	1.214214873E1	5.981623889E0
1.360000000E0	1.214169568E1	5.980796986E0
1.400000000E0	1.214137816E1	5.980351072E0
1.440000000E0	1.214182397E1	5.980447452E0
1.480000000E0	1.214416588E1	5.989182902E0
1.520000000E0	1.214322677E1	5.983185773E0
1.560000000E0	1.214284186E1	5.982045352E0
1.600000000E0	1.214136182E1	5.980746379E0
1.640000000E0	1.214160079E1	5.980300645E0
1.680000000E0	1.214190976E1	5.980735784E0
1.720000000E0	1.214245912E1	5.980003886E0
1.760000000E0	1.214234260E1	5.980420087E0
1.800000000E0	1.214239567E1	5.980073364E0
1.840000000E0	1.213910870E1	5.979582035E0
1.880000000E0	1.213696832E1	5.978737865E0
1.920000000E0	1.214232142E1	5.980513426E0
1.960000000E0	1.214471260E1	5.981180684E0
2.000000000E0	1.214449123E1	5.982237579E0
2.040000000E0	1.214335339E1	5.981722422E0
2.080000000E0	1.214281847E1	5.981523956E0
2.120000000E0	1.214260094E1	5.981189588E0
2.160000000E0	1.214250876E1	5.981060959E0
2.200000000E0	1.214236192E1	5.981182005E0
2.240000000E0	1.214209802E1	5.981504909E0
2.280000000E0	1.214221912E1	5.981967075E0
2.320000000E0	1.214187244E1	5.981636908E0
2.360000000E0	1.214234030E1	5.980917137E0
2.400000000E0	1.214263122E1	5.980576883E0
2.440000000E0	1.214314613E1	5.981341104E0
