axel
t	x	y
0.000000000E0	8.279914969E0	3.729842828E1
4.000000000E-2	8.429584619E0	3.714844228E1
8.000000000E-2	8.429578467E0	3.715392274E1
1.200000000E-1	8.429193055E0	3.715336428E1
1.600000000E-1	8.429727552E0	3.715217574E1
2.000000000E-1	8.429448485E0	3.715225498E1
2.400000000E-1	8.429667388E0	3.715102646E1
2.800000000E-1	8.429004888E0	3.715141210E1
3.200000000E-1	8.428790851E0	3.715059036E1
3.600000000E-1	8.429107891E0	3.715225035E1
4.000000000E-1	8.429213694E0	3.714916173E1
4.400000000E-1	8.430004377E0	3.714858599E1
4.800000000E-1	8.430937387E0	3.714756452E1
5.200000000E-1	8.430681472E0	3.714770042E1
5.600000000E-1	8.432706458E0	3.714663098E1
6.000000000E-1	8.432917042E0	3.713677046E1
6.400000000E-1	8.432210509E0	3.713959026E1
6.800000000E-1	8.432487909E0	3.713848475E1
7.200000000E-1	8.434894762E0	3.712320174E1
7.600000000E-1	8.434108186E0	3.713405640E1
8.000000000E-1	8.432775310E0	3.713875770E1
8.400000000E-1	8.431638295E0	3.713974097E1
8.800000000E-1	8.431288067E0	3.714342401E1
9.200000000E-1	8.431396138E0	3.714286774E1
9.600000000E-1	8.430910306E0	3.714399163E1
1.000000000E0	8.431487981E0	3.714151543E1
1.040000000E0	8.431073213E0	3.714347643E1
1.080000000E0	8.430787319E0	3.714475904E1
1.120000000E0	8.430497493E0	3.714584902E1
1.160000000E0	8.430301946E0	3.714654946E1
1.200000000E0	8.429535266E0	3.714732237E1
1.240000000E0	8.428905003E0	3.714773031E1
1.280000000E0	8.429185827E0	3.714780133E1
1.320000000E0	8.429397823E0	3.714784805E1
1.360000000E0	8.429541430E0	3.714775188E1
1.400000000E0	8.429653752E0	3.714762758E1
1.440000000E0	8.430714695E0	3.714775247E1
1.480000000E0	8.430359443E0	3.715302896E1
1.520000000E0	8.430532420E0	3.714953945E1
1.560000000E0	8.430333316E0	3.714884978E1
1.600000000E0	8.429863033E0	3.714858681E1
1.640000000E0	8.429542717E0	3.714840619E1
1.680000000E0	8.429522850E0	3.714809362E1
1.720000000E0	8.429550450E0	3.714779822E1
1.760000000E0	8.429536347E0	3.714775225E1
1.800000000E0	8.428985738E0	3.714522777E1
1.840000000E0	8.424477489E0	3.714564049E1
1.880000000E0	8.424742389E0	3.714618782E1
1.920000000E0	8.427114890E0	3.714632179E1
1.960000000E0	8.428021818E0	3.714674882E1
2.000000000E0	8.430967844E0	3.714822065E1
2.040000000E0	8.430717249E0	3.714796690E1
2.080000000E0	8.430565224E0	3.714782391E1
2.120000000E0	8.430346049E0	3.714801293E1
2.160000000E0	8.430187843E0	3.714813489E1
2.200000000E0	8.430088377E0	3.714817219E1
2.240000000E0	8.430064378E0	3.714816130E1
2.280000000E0	8.429787388E0	3.714889548E1
2.320000000E0	8.429619822E0	3.714917154E1
2.360000000E0	8.429745775E0	3.714870480E1
2.400000000E0	8.429840261E0	3.714837941E1
2.440000000E0	8.429997931E0	3.714828640E1
2.480000000E0	8.429843617E0	3.714827708E1
2.520000000E0	8.429848854E0	3.714825537E1
2.560000000E0	8.429854521E0	3.714825604E1
2.600000000E0	8.429675146E0	3.714839854E1
2.640000000E0	8.429491417E0	3.714848641E1
2.680000000E0	8.429385620E0	3.714842298E1
2.720000000E0	8.429269048E0	3.714835770E1
2.760000000E0	8.429410411E0	3.714828737E1
2.800000000E0	8.429538624E0	3.714822418E1
2.840000000E0	8.429400969E0	3.714741436E1
2.880000000E0	8.429227465E0	3.714648989E1
2.920000000E0	8.429226360E0	3.714704188E1
2.960000000E0	8.429162844E0	3.714739524E1
3.000000000E0	8.426576524E0	3.714888228E1
3.040000000E0	8.429029539E0	3.714971180E1
3.080000000E0	8.430736204E0	3.715027577E1
3.120000000E0	8.431429555E0	3.714959220E1
3.160000000E0	8.430512282E0	3.714924137E1
3.200000000E0	8.430857368E0	3.714933251E1
3.240000000E0	8.430899897E0	3.714959994E1
3.280000000E0	8.430657817E0	3.714935960E1
3.320000000E0	8.430579333E0	3.714921922E1
3.360000000E0	8.431275212E0	3.714919559E1
3.400000000E0	8.431941126E0	3.714919986E1
3.440000000E0	8.431294196E0	3.715113411E1
3.480000000E0	8.430829288E0	3.715372026E1
