hand
t	x	y
0.000000000E0	4.406314065E1	1.298851805E1
4.000000000E-2	4.406157784E1	1.299231233E1
8.000000000E-2	4.406211642E1	1.299112093E1
1.200000000E-1	4.406223547E1	1.298993748E1
1.600000000E-1	4.406256963E1	1.299000689E1
2.000000000E-1	4.406253803E1	1.298967574E1
2.400000000E-1	4.406244267E1	1.298967522E1
2.800000000E-1	4.406233929E1	1.298931839E1
3.200000000E-1	4.406204065E1	1.298912083E1
3.600000000E-1	4.406304147E1	1.298952408E1
4.000000000E-1	4.406360444E1	1.298997296E1
4.400000000E-1	4.406330563E1	1.298955961E1
4.800000000E-1	4.406314964E1	1.298938370E1
5.200000000E-1	4.406310629E1	1.298945033E1
5.600000000E-1	4.406370713E1	1.299279374E1
6.000000000E-1	4.406339445E1	1.298947838E1
6.400000000E-1	4.406331114E1	1.298968345E1
6.800000000E-1	4.406355970E1	1.298814640E1
7.200000000E-1	4.406375675E1	1.298542799E1
7.600000000E-1	4.406408010E1	1.298829754E1
8.000000000E-1	4.406308974E1	1.298991467E1
8.400000000E-1	4.406308454E1	1.298960757E1
8.800000000E-1	4.406282076E1	1.298974073E1
9.200000000E-1	4.406274009E1	1.298933155E1
9.600000000E-1	4.406298360E1	1.298932237E1
1.000000000E0	4.406429553E1	1.298875558E1
1.040000000E0	4.406355428E1	1.298918199E1
1.080000000E0	4.406322159E1	1.298928808E1
1.120000000E0	4.406307945E1	1.298915589E1
1.160000000E0	4.406302110E1	1.298914191E1
1.200000000E0	4.406289522E1	1.298936650E1
1.240000000E0	4.406297271E1	1.298928493E1
1.280000000E0	4.406293818E1	1.298921423E1
1.320000000E0	4.406285171E1	1.298935254E1
1.360000000E0	4.406238869E1	1.298900792E1
1.400000000E0	4.406194368E1	1.298882110E1
1.440000000E0	4.406229069E1	1.299013501E1
1.480000000E0	4.406257593E1	1.299268039E1
1.520000000E0	4.406279992E1	1.299057836E1
1.560000000E0	4.406279438E1	1.298995503E1
1.600000000E0	4.406235321E1	1.298948039E1
1.640000000E0	4.406193712E1	1.298919973E1
1.680000000E0	4.406244451E1	1.298881588E1
1.720000000E0	4.406265217E1	1.298865760E1
1.760000000E0	4.406273696E1	1.298897638E1
1.800000000E0	4.406268543E1	1.298917969E1
1.840000000E0	4.406185344E1	1.298883831E1
1.880000000E0	4.406168346E1	1.298869500E1
1.920000000E0	4.406237699E1	1.298900417E1
1.960000000E0	4.406254409E1	1.298907687E1
2.000000000E0	4.406329585E1	1.299162158E1
2.040000000E0	4.406251053E1	1.299089814E1
2.080000000E0	4.406315339E1	1.298980755E1
2.120000000E0	4.406307083E1	1.298928568E1
2.160000000E0	4.406300232E1	1.298915669E1
2.200000000E0	4.406300967E1	1.298902686E1
2.240000000E0	4.406302442E1	1.298902380E1
2.280000000E0	4.406295452E1	1.298906660E1
2.320000000E0	4.406293240E1	1.298910788E1
2.360000000E0	4.406291060E1	1.298913602E1
2.400000000E0	4.406285582E1	1.298903812E1
2.440000000E0	4.406282815E1	1.298926827E1
2.480000000E0	4.406268473E1	1.298934546E1
2.520000000E0	4.406278033E1	1.298923468E1
2.560000000E0	4.406275777E1	1.298930279E1
2.600000000E0	4.406266254E1	1.298913092E1
2.640000000E0	4.406265412E1	1.298906124E1
2.680000000E0	4.406258450E1	1.298906885E1
2.720000000E0	4.406246773E1	1.298899738E1
2.760000000E0	4.406265291E1	1.298901106E1
2.800000000E0	4.406272624E1	1.298906283E1
2.840000000E0	4.406288044E1	1.298880818E1
2.880000000E0	4.406271965E1	1.298866893E1
2.920000000E0	4.406222156E1	1.298852714E1
2.960000000E0	4.406175006E1	1.298846558E1
3.000000000E0	4.405802283E1	1.298875317E1
3.040000000E0	4.406078108E1	1.298907674E1
3.080000000E0	4.406195521E1	1.298915169E1
3.120000000E0	4.406198161E1	1.298867846E1
3.160000000E0	4.406226221E1	1.298961366E1
3.200000000E0	4.406257834E1	1.298859244E1
3.240000000E0	4.406230399E1	1.298984215E1
3.280000000E0	4.406196909E1	1.298917218E1
3.320000000E0	4.406157306E1	1.298880694E1
3.360000000E0	4.406056444E1	1.298810591E1
3.400000000E0	4.405952519E1	1.298740189E1
3.440000000E0	4.405767131E1	1.298696948E1
3.480000000E0	4.405578578E1	1.298634794E1
3.520000000E0	4.405851509E1	1.298743617E1
3.560000000E0	4.405798534E1	1.298571654E1
3.600000000E0	4.406025004E1	1.298997702E1
3.640000000E0	4.406066082E1	1.298864972E1
3.680000000E0	4.406119814E1	1.298897302E1
3.720000000E0	4.406129142E1	1.298920263E1
3.760000000E0	4.406104344E1	1.298897233E1
3.800000000E0	4.406061096E1	1.298877269E1
3.840000000E0	4.406035266E1	1.298557734E1
3.880000000E0	4.405994346E1	1.298221888E1
3.920000000E0	4.405777410E1	1.298232006E1
3.960000000E0	4.405687022E1	1.298364705E1
4.000000000E0	4.403801108E1	1.297149847E1
4.040000000E0	4.404394462E1	1.296617919E1
4.080000000E0	4.404550628E1	1.295582282E1
4.120000000E0	4.403911556E1	1.295750979E1
4.160000000E0	4.403664545E1	1.296282578E1
4.200000000E0	4.402652975E1	1.297303610E1
4.240000000E0	4.401321700E1	1.297796698E1
4.280000000E0	4.393926787E1	1.305717074E1
4.320000000E0	4.388168072E1	1.338805708E1
4.360000000E0	4.390568698E1	1.404792577E1
4.400000000E0	4.401280150E1	1.490526705E1
4.440000000E0	4.429507056E1	1.582883051E1
4.480000000E0	4.479559627E1	1.683093683E1
4.520000000E0	4.547015680E1	1.783523924E1
4.560000000E0	4.635160012E1	1.882536827E1
4.600000000E0	4.736793858E1	1.990795155E1
4.640000000E0	4.841365747E1	2.091781609E1
4.680000000E0	4.930911418E1	2.167804828E1
4.720000000E0	5.004782766E1	2.216322714E1
4.760000000E0	5.087635849E1	2.249053193E1
4.800000000E0	5.212962507E1	2.272248045E1
4.840000000E0	5.396808118E1	2.273592364E1
4.880000000E0	5.641143304E1	2.250564985E1
4.920000000E0	5.919229004E1	2.190201082E1
4.960000000E0	6.206191022E1	2.082085817E1
5.000000000E0	6.470021759E1	1.952438693E1
5.040000000E0	6.704305628E1	1.796646354E1
5.080000000E0	7.003261612E1	1.514886671E1
5.120000000E0	7.003588246E1	1.484676622E1
5.160000000E0	7.077350109E1	1.434434026E1
5.200000000E0	7.129821368E1	1.420623104E1
5.240000000E0	7.166291430E1	1.452840272E1
5.280000000E0	7.190458465E1	1.483287752E1
5.320000000E0	7.194610463E1	1.498022904E1
5.360000000E0	7.190521720E1	1.502058634E1
5.400000000E0	7.180339776E1	1.507315242E1
5.440000000E0	7.177375217E1	1.517400514E1
5.480000000E0	7.170865244E1	1.521346151E1
5.520000000E0	7.165638970E1	1.521522166E1
5.560000000E0	7.164462412E1	1.522837346E1
5.600000000E0	7.163009605E1	1.523843853E1
5.640000000E0	7.162073058E1	1.522459562E1
5.680000000E0	7.160442457E1	1.521700774E1
5.720000000E0	7.158248761E1	1.521620582E1
5.760000000E0	7.154990418E1	1.523809541E1
5.800000000E0	7.148708520E1	1.531684911E1
5.840000000E0	7.144685921E1	1.541777501E1
5.880000000E0	7.133691937E1	1.562892573E1
5.920000000E0	7.117113013E1	1.595077149E1
5.960000000E0	7.089967258E1	1.629420277E1
6.000000000E0	7.056098946E1	1.680799226E1
6.040000000E0	6.999113156E1	1.737760294E1
6.080000000E0	6.911701343E1	1.800024398E1
6.120000000E0	6.776637185E1	1.884962932E1
6.160000000E0	6.579711611E1	1.955617761E1
6.200000000E0	6.313056545E1	2.009370129E1
6.240000000E0	5.984869631E1	2.039717372E1
6.280000000E0	5.598663122E1	2.035076709E1
6.320000000E0	5.176082666E1	1.987822747E1
6.360000000E0	4.753735578E1	1.909900411E1
6.400000000E0	4.393517075E1	1.811207126E1
6.440000000E0	4.146519846E1	1.716787335E1
6.480000000E0	4.004288789E1	1.658157674E1
6.520000000E0	3.924307401E1	1.632082592E1
6.560000000E0	3.902384868E1	1.629381153E1
6.600000000E0	3.909153653E1	1.629052110E1
6.640000000E0	3.938982164E1	1.629178081E1
6.680000000E0	3.973164814E1	1.632556729E1
6.720000000E0	3.972420763E1	1.630141014E1
6.760000000E0	3.973069987E1	1.618536984E1
6.800000000E0	3.969426702E1	1.600049261E1
6.840000000E0	3.957263376E1	1.583790233E1
6.880000000E0	3.953051285E1	1.570244829E1
6.920000000E0	3.956017842E1	1.568774925E1
6.960000000E0	3.971012908E1	1.577748798E1
7.000000000E0	4.002916800E1	1.610756570E1
7.040000000E0	4.057647523E1	1.662757664E1
7.080000000E0	4.138569596E1	1.733249556E1
7.120000000E0	4.265060688E1	1.822195147E1
7.160000000E0	4.437663264E1	1.915056436E1
7.200000000E0	4.663374337E1	2.002385200E1
7.240000000E0	4.938329315E1	2.067070889E1
7.280000000E0	5.246796350E1	2.111226888E1
7.320000000E0	5.582506532E1	2.127571091E1
7.360000000E0	5.927321858E1	2.105823064E1
7.400000000E0	6.250644080E1	2.058259069E1
7.440000000E0	6.552018928E1	1.974655329E1
7.480000000E0	6.796382256E1	1.867977139E1
7.520000000E0	6.968614620E1	1.755751314E1
7.560000000E0	7.080223691E1	1.637052214E1
7.600000000E0	7.129930141E1	1.554294307E1
7.640000000E0	7.153813353E1	1.538846428E1
7.680000000E0	7.164625170E1	1.567183450E1
7.720000000E0	7.162036805E1	1.595242389E1
7.760000000E0	7.148323964E1	1.594902138E1
7.800000000E0	7.134322158E1	1.565656847E1
7.840000000E0	7.123671372E1	1.535980859E1
7.880000000E0	7.119731385E1	1.511000486E1
7.920000000E0	7.118669017E1	1.491408028E1
7.960000000E0	7.118509489E1	1.475416667E1
8.000000000E0	7.118018922E1	1.472940923E1
8.040000000E0	7.117255109E1	1.472716272E1
8.080000000E0	7.116921050E1	1.474410603E1
8.120000000E0	7.116880981E1	1.476770093E1
8.160000000E0	7.116720774E1	1.478267037E1
8.200000000E0	7.117704974E1	1.486598680E1
8.240000000E0	7.118499918E1	1.501990831E1
8.280000000E0	7.118596574E1	1.517886223E1
8.320000000E0	7.112103896E1	1.552355020E1
8.360000000E0	7.093223514E1	1.615302358E1
8.400000000E0	7.035195787E1	1.705436300E1
8.440000000E0	6.740846365E1	1.972421296E1
8.480000000E0	6.738765136E1	1.973598925E1
8.520000000E0	6.476266712E1	2.109790173E1
8.560000000E0	6.146876261E1	2.215721081E1
8.600000000E0	5.758068661E1	2.275895193E1
8.640000000E0	5.346836053E1	2.277834374E1
8.680000000E0	4.937870446E1	2.222509054E1
8.720000000E0	4.565038826E1	2.117168257E1
8.760000000E0	4.253869192E1	1.961175997E1
8.800000000E0	4.011127610E1	1.781664064E1
8.840000000E0	3.841939218E1	1.623371300E1
8.880000000E0	3.709924327E1	1.452323277E1
8.920000000E0	3.709117951E1	1.453291872E1
8.960000000E0	3.719651344E1	1.450174464E1
9.000000000E0	3.761990135E1	1.473058846E1
9.040000000E0	3.813740339E1	1.510388558E1
9.080000000E0	3.858413403E1	1.544845815E1
9.120000000E0	3.895174366E1	1.571955891E1
9.160000000E0	3.935035297E1	1.601908823E1
9.200000000E0	3.993461933E1	1.650289791E1
9.240000000E0	4.083086846E1	1.722042071E1
9.280000000E0	4.222123430E1	1.808991641E1
