axel
t	x	y
0.000000000E0	1.442333019E1	3.774142670E1
4.000000000E-2	1.442196997E1	3.773804541E1
8.000000000E-2	1.440600798E1	3.773605019E1
1.200000000E-1	1.438529949E1	3.773525673E1
1.600000000E-1	1.440729759E1	3.773860770E1
2.000000000E-1	1.442100374E1	3.774056466E1
2.400000000E-1	1.442475880E1	3.774113178E1
2.800000000E-1	1.442424042E1	3.774135927E1
3.200000000E-1	1.442394070E1	3.774136469E1
3.600000000E-1	1.442530400E1	3.774073347E1
4.000000000E-1	1.442649437E1	3.774050922E1
4.400000000E-1	1.443117711E1	3.774153916E1
4.800000000E-1	1.443597064E1	3.774334587E1
5.200000000E-1	1.442986657E1	3.774279110E1
5.600000000E-1	1.442685818E1	3.774215992E1
6.000000000E-1	1.442543129E1	3.774228841E1
6.400000000E-1	1.442479795E1	3.774244922E1
6.800000000E-1	1.442406672E1	3.774206120E1
7.200000000E-1	1.442370664E1	3.774188016E1
7.600000000E-1	1.442019866E1	3.774127057E1
8.000000000E-1	1.441611627E1	3.774068745E1
8.400000000E-1	1.442074916E1	3.774167229E1
8.800000000E-1	1.442139474E1	3.774149859E1
9.200000000E-1	1.442187371E1	3.774309116E1
9.600000000E-1	1.442414745E1	3.774263415E1
1.000000000E0	1.442053991E1	3.774252045E1
1.040000000E0	1.442337209E1	3.774248219E1
1.080000000E0	1.449719637E1	3.779208293E1
1.120000000E0	1.456110991E1	3.792524734E1
1.160000000E0	1.463885203E1	3.818098485E1
1.200000000E0	1.464829255E1	3.851440420E1
1.240000000E0	1.462426370E1	3.886169780E1
1.280000000E0	1.464396320E1	3.916045251E1
1.320000000E0	1.472336259E1	3.938411093E1
1.360000000E0	1.503773411E1	3.956760809E1
1.400000000E0	1.544675348E1	3.968211365E1
1.440000000E0	1.590819440E1	3.984401525E1
1.480000000E0	1.633890858E1	3.999706670E1
1.520000000E0	1.670055839E1	4.013013677E1
1.560000000E0	1.696093659E1	4.022042315E1
1.600000000E0	1.712053423E1	4.030342525E1
1.640000000E0	1.712427184E1	4.036848816E1
1.680000000E0	1.708477272E1	4.042992737E1
1.720000000E0	1.697699138E1	4.045888991E1
1.760000000E0	1.681283004E1	4.046474189E1
1.800000000E0	1.663504643E1	4.047022157E1
1.840000000E0	1.641215687E1	4.046705325E1
1.880000000E0	1.622411826E1	4.044633335E1
1.920000000E0	1.600180438E1	4.042200079E1
1.960000000E0	1.586120411E1	4.030111352E1
2.000000000E0	1.569130069E1	4.020602533E1
2.040000000E0	1.535343699E1	4.010800639E1
2.080000000E0	1.515447679E1	3.997948228E1
2.120000000E0	1.501523652E1	3.987654387E1
2.160000000E0	1.496376966E1	3.977854611E1
2.200000000E0	1.506891431E1	3.972459394E1
2.240000000E0	1.510553147E1	3.962546527E1
