armbåge
t	x	y
0.000000000E0	1.083637754E1	6.132003275E0
4.000000000E-2	1.070699841E1	6.146876920E0
8.000000000E-2	1.061223510E1	6.146667811E0
1.200000000E-1	1.042437986E1	6.241045285E0
1.600000000E-1	1.026965272E1	6.281548388E0
2.000000000E-1	1.008203383E1	6.369872739E0
2.400000000E-1	9.860054681E0	6.433379871E0
2.800000000E-1	9.613702351E0	6.448206136E0
3.200000000E-1	9.263101414E0	6.494732983E0
3.600000000E-1	8.885223664E0	6.471136522E0
4.000000000E-1	8.554480436E0	6.456982161E0
4.400000000E-1	8.252829490E0	6.434178915E0
4.800000000E-1	7.965114621E0	6.417337272E0
5.200000000E-1	7.703152401E0	6.378006885E0
5.600000000E-1	7.572729238E0	6.312945422E0
6.000000000E-1	7.547857134E0	6.270846083E0
6.400000000E-1	7.576071906E0	6.255577034E0
6.800000000E-1	7.690485267E0	6.237740507E0
7.200000000E-1	7.822872928E0	6.233403442E0
7.600000000E-1	7.969057434E0	6.246633389E0
8.000000000E-1	8.107838032E0	6.242430160E0
8.400000000E-1	8.248486232E0	6.211474073E0
8.800000000E-1	8.410306774E0	6.151820831E0
9.200000000E-1	8.445226920E0	6.134408667E0
9.600000000E-1	8.475227472E0	6.126741836E0
1.000000000E0	8.563834023E0	6.007644948E0
1.040000000E0	8.555708711E0	5.976725568E0
1.080000000E0	8.535145343E0	5.943448651E0
1.120000000E0	8.581757891E0	5.867510892E0
1.160000000E0	8.593008287E0	5.830092412E0
1.200000000E0	8.716617268E0	5.740082700E0
1.240000000E0	8.754163533E0	5.704154102E0
1.280000000E0	8.886699344E0	5.688111718E0
1.320000000E0	8.968938993E0	5.671342992E0
1.360000000E0	9.038750116E0	5.698662855E0
1.400000000E0	9.044027531E0	5.721834589E0
1.440000000E0	9.033807023E0	5.807898776E0
1.480000000E0	9.150948754E0	5.930739291E0
1.520000000E0	9.617636901E0	6.136604832E0
1.560000000E0	1.060226978E1	6.460885668E0
1.600000000E0	1.233632725E1	6.909499822E0
1.640000000E0	1.484399467E1	7.651472550E0
1.680000000E0	1.797259751E1	8.803799326E0
1.720000000E0	2.155919650E1	1.028056405E1
1.760000000E0	2.525762042E1	1.204090939E1
1.800000000E0	2.893343874E1	1.391481814E1
1.840000000E0	3.234134411E1	1.580698247E1
1.880000000E0	3.543096863E1	1.750940173E1
1.920000000E0	3.804805311E1	1.884994957E1
1.960000000E0	4.017557011E1	1.996837902E1
2.000000000E0	4.181766890E1	2.078006038E1
2.040000000E0	4.304628926E1	2.127828047E1
2.080000000E0	4.388659751E1	2.152918884E1
2.120000000E0	4.436500510E1	2.154546420E1
2.160000000E0	4.469453270E1	2.152532656E1
2.200000000E0	4.488387756E1	2.152900644E1
2.240000000E0	4.492982233E1	2.152325234E1
2.280000000E0	4.490137453E1	2.148168409E1
2.320000000E0	4.481560162E1	2.127760640E1
2.360000000E0	4.454021408E1	2.107630351E1
2.400000000E0	4.414398264E1	2.083559980E1
2.440000000E0	4.365447420E1	2.061338900E1
2.480000000E0	4.305648976E1	2.033570403E1
2.520000000E0	4.232359608E1	2.003143671E1
2.560000000E0	4.154324008E1	1.959189873E1
2.600000000E0	4.070487633E1	1.921153708E1
2.640000000E0	3.988940712E1	1.877578390E1
2.680000000E0	3.910818775E1	1.838858050E1
2.720000000E0	3.835378878E1	1.804045272E1
2.760000000E0	3.766330903E1	1.767171501E1
2.800000000E0	3.699463615E1	1.734171119E1
2.840000000E0	3.634161232E1	1.703591369E1
2.880000000E0	3.572625000E1	1.674729287E1
2.920000000E0	3.518936358E1	1.651227927E1
2.960000000E0	3.467200619E1	1.629573419E1
3.000000000E0	3.420396017E1	1.609525496E1
3.040000000E0	3.376748089E1	1.591079233E1
3.080000000E0	3.337070161E1	1.574981672E1
3.120000000E0	3.303836488E1	1.563129200E1
3.160000000E0	3.287640486E1	1.555826335E1
3.200000000E0	3.279315603E1	1.553250624E1
3.240000000E0	3.274426664E1	1.549847564E1
3.280000000E0	3.270575083E1	1.541374502E1
3.320000000E0	3.257767805E1	1.532776551E1
3.360000000E0	3.243994774E1	1.525935801E1
3.400000000E0	3.234809298E1	1.520594515E1
3.440000000E0	3.231094515E1	1.515974914E1
3.480000000E0	3.227862861E1	1.510259709E1
3.520000000E0	3.227971374E1	1.501807421E1
3.560000000E0	3.225827915E1	1.493340930E1
3.600000000E0	3.225011618E1	1.482615856E1
