hand
t	x	y
0.000000000E0	3.837383169E1	1.481619519E1
4.000000000E-2	3.839006927E1	1.468960968E1
8.000000000E-2	3.850129350E1	1.451585082E1
1.200000000E-1	3.854114554E1	1.436960553E1
1.600000000E-1	3.857515050E1	1.421807563E1
2.000000000E-1	3.853454928E1	1.404207534E1
2.400000000E-1	3.849269010E1	1.383871635E1
2.800000000E-1	3.830912857E1	1.356098960E1
3.200000000E-1	3.811148087E1	1.328507570E1
3.600000000E-1	3.791862910E1	1.299785607E1
4.000000000E-1	3.768019717E1	1.273174701E1
4.400000000E-1	3.743049973E1	1.253775030E1
4.800000000E-1	3.722454665E1	1.256091226E1
5.200000000E-1	3.707130694E1	1.269044649E1
5.600000000E-1	3.712216297E1	1.282693185E1
6.000000000E-1	3.721912329E1	1.296611789E1
6.400000000E-1	3.733175450E1	1.314509737E1
6.800000000E-1	3.751871239E1	1.323130422E1
7.200000000E-1	3.769205833E1	1.332421033E1
7.600000000E-1	3.782940042E1	1.341039671E1
8.000000000E-1	3.794238512E1	1.346432556E1
8.400000000E-1	3.807485107E1	1.352639816E1
8.800000000E-1	3.822754962E1	1.360913295E1
9.200000000E-1	3.837488241E1	1.369955448E1
9.600000000E-1	3.849563087E1	1.377295044E1
1.000000000E0	3.850528950E1	1.377276424E1
1.040000000E0	3.850761779E1	1.374948395E1
1.080000000E0	3.849183942E1	1.372853766E1
1.120000000E0	3.847151854E1	1.372905712E1
1.160000000E0	3.849627212E1	1.367473958E1
1.200000000E0	3.853770504E1	1.363966243E1
1.240000000E0	3.853207832E1	1.365446166E1
1.280000000E0	3.853004629E1	1.371305075E1
1.320000000E0	3.852942237E1	1.372075830E1
1.360000000E0	3.853090747E1	1.374422355E1
1.400000000E0	3.852710243E1	1.376298042E1
1.440000000E0	3.854098400E1	1.381575898E1
1.480000000E0	3.869997793E1	1.404669831E1
1.520000000E0	3.920682540E1	1.462859745E1
1.560000000E0	4.014697118E1	1.563590778E1
1.600000000E0	4.189310585E1	1.703997331E1
1.640000000E0	4.432585912E1	1.860499759E1
1.680000000E0	4.771112827E1	2.003920937E1
1.720000000E0	5.178311849E1	2.118026552E1
1.760000000E0	5.619055147E1	2.185331124E1
1.800000000E0	6.069272633E1	2.216913518E1
1.840000000E0	6.503243642E1	2.198051171E1
1.880000000E0	6.886447678E1	2.120307159E1
1.920000000E0	7.186258907E1	2.029091485E1
