armbåge
t	x	y
0.000000000E0	1.259170576E1	5.829998643E0
4.000000000E-2	1.259318504E1	5.830712553E0
8.000000000E-2	1.259539304E1	5.834636051E0
1.200000000E-1	1.259557410E1	5.834176460E0
1.600000000E-1	1.259519822E1	5.833887007E0
2.000000000E-1	1.259459521E1	5.834879801E0
2.400000000E-1	1.259346593E1	5.835168877E0
2.800000000E-1	1.259384523E1	5.836741763E0
3.200000000E-1	1.259413622E1	5.836768566E0
3.600000000E-1	1.259386924E1	5.840014598E0
4.000000000E-1	1.259360107E1	5.834296299E0
4.400000000E-1	1.259332636E1	5.833656021E0
4.800000000E-1	1.259352811E1	5.840403158E0
5.200000000E-1	1.259323124E1	5.838684782E0
5.600000000E-1	1.259298598E1	5.837293900E0
6.000000000E-1	1.259271554E1	5.834884213E0
6.400000000E-1	1.259185814E1	5.836575624E0
6.800000000E-1	1.259196150E1	5.837673682E0
7.200000000E-1	1.259278922E1	5.833421362E0
7.600000000E-1	1.259277263E1	5.833206504E0
8.000000000E-1	1.259273015E1	5.833017778E0
8.400000000E-1	1.259372520E1	5.839490534E0
8.800000000E-1	1.259371560E1	5.838552857E0
9.200000000E-1	1.259399877E1	5.837808723E0
9.600000000E-1	1.259414188E1	5.837102847E0
1.000000000E0	1.259595091E1	5.838147001E0
1.040000000E0	1.259745809E1	5.835691043E0
1.080000000E0	1.260011506E1	5.846927011E0
1.120000000E0	1.260261409E1	5.857599600E0
1.160000000E0	1.262930078E1	5.987782219E0
1.200000000E0	1.280683071E1	6.145131619E0
1.240000000E0	1.312373676E1	6.345495590E0
1.280000000E0	1.356508035E1	6.624865316E0
1.320000000E0	1.424518824E1	7.039323514E0
1.360000000E0	1.516809756E1	7.582724008E0
1.400000000E0	1.628918524E1	8.256575410E0
1.440000000E0	1.754571223E1	8.979838862E0
1.480000000E0	1.877614825E1	9.728441146E0
1.520000000E0	1.997111371E1	1.044189342E1
1.560000000E0	2.114868479E1	1.111184804E1
1.600000000E0	2.239527371E1	1.176216715E1
1.640000000E0	2.371466374E1	1.243818221E1
1.680000000E0	2.512228330E1	1.311260132E1
1.720000000E0	2.653124076E1	1.374036220E1
1.760000000E0	2.785777461E1	1.432937792E1
1.800000000E0	2.897601944E1	1.477582193E1
1.840000000E0	2.997845435E1	1.523660115E1
1.880000000E0	3.100596331E1	1.572460879E1
1.920000000E0	3.208750555E1	1.628674392E1
1.960000000E0	3.317217416E1	1.681213918E1
2.000000000E0	3.419004158E1	1.726880897E1
2.040000000E0	3.522784353E1	1.777345498E1
2.080000000E0	3.627450918E1	1.821217178E1
2.120000000E0	3.731051195E1	1.865747420E1
2.160000000E0	3.825784455E1	1.907760430E1
2.200000000E0	3.900349466E1	1.933047866E1
2.240000000E0	3.962833905E1	1.956613560E1
2.280000000E0	4.012437238E1	1.975004276E1
2.320000000E0	4.048074976E1	1.990497799E1
2.360000000E0	4.072612113E1	2.005256487E1
2.400000000E0	4.089651374E1	2.019213440E1
2.440000000E0	4.110904319E1	2.046373427E1
2.480000000E0	4.110200783E1	2.046398458E1
2.520000000E0	4.123298874E1	2.059802844E1
2.560000000E0	4.136230504E1	2.064546341E1
2.600000000E0	4.151931954E1	2.066738492E1
2.640000000E0	4.167010331E1	2.066008385E1
2.680000000E0	4.182131935E1	2.063481770E1
2.720000000E0	4.184279759E1	2.059660897E1
2.760000000E0	4.173898514E1	2.049419504E1
2.800000000E0	4.140219342E1	2.034382920E1
2.840000000E0	4.078579572E1	2.004553690E1
2.880000000E0	3.983151503E1	1.960148689E1
2.920000000E0	3.849600090E1	1.895047318E1
2.960000000E0	3.673554993E1	1.806339317E1
3.000000000E0	3.456012038E1	1.693808551E1
3.040000000E0	3.202188388E1	1.554318394E1
3.080000000E0	2.913545136E1	1.391222771E1
3.120000000E0	2.609914887E1	1.225587060E1
3.160000000E0	2.318787297E1	1.073883263E1
3.200000000E0	2.038054501E1	9.352949640E0
3.240000000E0	1.797917369E1	8.354359569E0
3.280000000E0	1.599522422E1	7.736172161E0
3.320000000E0	1.444322065E1	7.344786497E0
3.360000000E0	1.328903739E1	7.112086535E0
3.400000000E0	1.246633595E1	6.932664011E0
3.440000000E0	1.167890415E1	6.533381095E0
3.480000000E0	1.168582481E1	6.537863640E0
3.520000000E0	1.161800823E1	6.337690835E0
3.560000000E0	1.166333232E1	6.104613063E0
3.600000000E0	1.183074155E1	6.052853154E0
3.640000000E0	1.194806813E1	5.965588319E0
3.680000000E0	1.199730782E1	5.989450235E0
3.720000000E0	1.198175397E1	5.948603479E0
3.760000000E0	1.194927667E1	5.860606512E0
3.800000000E0	1.186345027E1	5.864274328E0
3.840000000E0	1.184198950E1	5.826119595E0
3.880000000E0	1.182955821E1	5.800460243E0
3.920000000E0	1.183466494E1	5.797644532E0
3.960000000E0	1.183720587E1	5.792891394E0
