axel
t	x	y
0.000000000E0	1.382354439E1	3.729257592E1
4.000000000E-2	1.382243645E1	3.730075643E1
8.000000000E-2	1.382346394E1	3.727109818E1
1.200000000E-1	1.382478523E1	3.727645155E1
1.600000000E-1	1.382584356E1	3.728018548E1
2.000000000E-1	1.382544119E1	3.728466205E1
2.400000000E-1	1.382459846E1	3.728776668E1
2.800000000E-1	1.382418381E1	3.728990918E1
3.200000000E-1	1.382383644E1	3.729156265E1
3.600000000E-1	1.382457637E1	3.732365741E1
4.000000000E-1	1.382426925E1	3.729048550E1
4.400000000E-1	1.382416559E1	3.729091846E1
4.800000000E-1	1.382438093E1	3.732231926E1
5.200000000E-1	1.382462398E1	3.731706213E1
5.600000000E-1	1.382488202E1	3.731264389E1
6.000000000E-1	1.382455025E1	3.729336634E1
6.400000000E-1	1.382401184E1	3.731173449E1
6.800000000E-1	1.382452404E1	3.730959423E1
7.200000000E-1	1.382478312E1	3.729454983E1
7.600000000E-1	1.382462591E1	3.729431322E1
8.000000000E-1	1.382451172E1	3.729406937E1
8.400000000E-1	1.382609572E1	3.731884310E1
8.800000000E-1	1.382582153E1	3.731408284E1
9.200000000E-1	1.382796265E1	3.731094037E1
9.600000000E-1	1.382787387E1	3.730802550E1
1.000000000E0	1.383246632E1	3.730676085E1
1.040000000E0	1.383260349E1	3.730073513E1
1.080000000E0	1.383475369E1	3.730769384E1
1.120000000E0	1.384611039E1	3.731525571E1
1.160000000E0	1.387424386E1	3.735054502E1
1.200000000E0	1.395338327E1	3.740815293E1
1.240000000E0	1.398200079E1	3.757027698E1
1.280000000E0	1.404069203E1	3.774263212E1
1.320000000E0	1.412347582E1	3.792172591E1
1.360000000E0	1.414901220E1	3.818692948E1
1.400000000E0	1.422946792E1	3.836995161E1
1.440000000E0	1.436969912E1	3.862291532E1
1.480000000E0	1.461732668E1	3.877124779E1
1.520000000E0	1.489010046E1	3.891017157E1
1.560000000E0	1.511358579E1	3.902927732E1
1.600000000E0	1.531735249E1	3.915598298E1
1.640000000E0	1.547569244E1	3.924699518E1
1.680000000E0	1.564450031E1	3.936422338E1
1.720000000E0	1.590274338E1	3.946510412E1
1.760000000E0	1.622382085E1	3.954966280E1
1.800000000E0	1.654181490E1	3.965048553E1
1.840000000E0	1.679973971E1	3.968426474E1
