hand
t	x	y
0.000000000E0	4.575818716E1	1.200731116E1
4.000000000E-2	4.575826534E1	1.200763415E1
8.000000000E-2	4.575954359E1	1.200713533E1
1.200000000E-1	4.575693824E1	1.200457297E1
1.600000000E-1	4.575650565E1	1.200477679E1
2.000000000E-1	4.575611433E1	1.200473538E1
2.400000000E-1	4.575572974E1	1.200468575E1
2.800000000E-1	4.575509071E1	1.200396709E1
3.200000000E-1	4.575544978E1	1.200438786E1
3.600000000E-1	4.575459776E1	1.200435215E1
4.000000000E-1	4.575549601E1	1.200458182E1
4.400000000E-1	4.575494671E1	1.200345611E1
4.800000000E-1	4.575588903E1	1.200502028E1
5.200000000E-1	4.575617096E1	1.200535768E1
5.600000000E-1	4.575639390E1	1.200565158E1
6.000000000E-1	4.575646738E1	1.200591302E1
6.400000000E-1	4.575656138E1	1.200610687E1
6.800000000E-1	4.575629510E1	1.200678620E1
7.200000000E-1	4.575589900E1	1.200739930E1
7.600000000E-1	4.575637994E1	1.200716622E1
8.000000000E-1	4.575669119E1	1.200691090E1
8.400000000E-1	4.575654197E1	1.200707226E1
8.800000000E-1	4.575562829E1	1.200808826E1
9.200000000E-1	4.575583486E1	1.200870782E1
9.600000000E-1	4.575556320E1	1.200889798E1
1.000000000E0	4.575522996E1	1.200829255E1
1.040000000E0	4.575555053E1	1.200801227E1
1.080000000E0	4.575579578E1	1.200780621E1
1.120000000E0	4.575608256E1	1.200766455E1
1.160000000E0	4.575630221E1	1.200754663E1
1.200000000E0	4.575653625E1	1.200714408E1
1.240000000E0	4.575669175E1	1.200679421E1
1.280000000E0	4.575681914E1	1.200675193E1
1.320000000E0	4.575689543E1	1.200671980E1
1.360000000E0	4.575695646E1	1.200677514E1
1.400000000E0	4.575700241E1	1.200682965E1
1.440000000E0	4.575694058E1	1.200835852E1
1.480000000E0	4.575709687E1	1.200717581E1
1.520000000E0	4.575715955E1	1.200714583E1
1.560000000E0	4.575718877E1	1.200713483E1
1.600000000E0	4.575719579E1	1.200709815E1
1.640000000E0	4.575724555E1	1.200699979E1
1.680000000E0	4.575733120E1	1.200721392E1
1.720000000E0	4.575735373E1	1.200739059E1
1.760000000E0	4.575808415E1	1.200801526E1
1.800000000E0	4.575888518E1	1.200873879E1
1.840000000E0	4.575959327E1	1.200940919E1
1.880000000E0	4.575937089E1	1.200825171E1
1.920000000E0	4.575935146E1	1.200827229E1
1.960000000E0	4.575934073E1	1.200825855E1
2.000000000E0	4.576256360E1	1.200845821E1
2.040000000E0	4.576233784E1	1.200857452E1
2.080000000E0	4.576222586E1	1.200863383E1
2.120000000E0	4.576111948E1	1.200901065E1
2.160000000E0	4.576102667E1	1.200951246E1
2.200000000E0	4.576094364E1	1.201206299E1
2.240000000E0	4.576022885E1	1.200900119E1
2.280000000E0	4.575966210E1	1.200877827E1
2.320000000E0	4.575925209E1	1.200911436E1
2.360000000E0	4.575915186E1	1.200915235E1
2.400000000E0	4.575910223E1	1.200925803E1
2.440000000E0	4.575901058E1	1.200885769E1
2.480000000E0	4.575895859E1	1.200851426E1
2.520000000E0	4.575927560E1	1.200809880E1
2.560000000E0	4.576011372E1	1.200777684E1
2.600000000E0	4.575936770E1	1.200703993E1
2.640000000E0	4.575906447E1	1.200700152E1
2.680000000E0	4.575894881E1	1.200727799E1
2.720000000E0	4.575871609E1	1.200660959E1
2.760000000E0	4.575787512E1	1.200681867E1
2.800000000E0	4.575694926E1	1.200657958E1
2.840000000E0	4.575559510E1	1.200682196E1
2.880000000E0	4.575669372E1	1.200629904E1
2.920000000E0	4.575641979E1	1.200602212E1
2.960000000E0	4.575616675E1	1.200571353E1
3.000000000E0	4.575788490E1	1.200450279E1
3.040000000E0	4.575784540E1	1.200444357E1
3.080000000E0	4.575786072E1	1.200431427E1
3.120000000E0	4.575781717E1	1.200469865E1
3.160000000E0	4.575778372E1	1.200500557E1
3.200000000E0	4.575994776E1	1.200431580E1
3.240000000E0	4.576282967E1	1.200308078E1
3.280000000E0	4.576403963E1	1.200227712E1
3.320000000E0	4.576526578E1	1.200237338E1
3.360000000E0	4.576445091E1	1.200355042E1
3.400000000E0	4.576326126E1	1.200387497E1
3.440000000E0	4.576841587E1	1.200438625E1
3.480000000E0	4.576641144E1	1.200634279E1
3.520000000E0	4.577251245E1	1.201046237E1
3.560000000E0	4.578159693E1	1.201373938E1
3.600000000E0	4.587542191E1	1.205167098E1
3.640000000E0	4.603535362E1	1.225155941E1
3.680000000E0	4.647388968E1	1.256824864E1
3.720000000E0	4.740137478E1	1.322684613E1
3.760000000E0	4.885145978E1	1.427594514E1
3.800000000E0	5.090439782E1	1.527258060E1
3.840000000E0	5.340116577E1	1.587096853E1
3.880000000E0	5.622246023E1	1.591833981E1
3.920000000E0	5.904547681E1	1.562552706E1
3.960000000E0	6.167574561E1	1.503813219E1
4.000000000E0	6.399714787E1	1.434594250E1
4.040000000E0	6.615663685E1	1.351692695E1
4.080000000E0	6.803249932E1	1.278191662E1
4.120000000E0	6.962114172E1	1.228187773E1
4.160000000E0	7.090053139E1	1.235661075E1
4.200000000E0	7.216117520E1	1.251100160E1
4.240000000E0	7.329076446E1	1.251822226E1
4.280000000E0	7.433031343E1	1.249196416E1
4.320000000E0	7.521775836E1	1.245739144E1
4.360000000E0	7.597213024E1	1.248844746E1
4.400000000E0	7.657601069E1	1.246331662E1
4.440000000E0	7.703286881E1	1.244426530E1
4.480000000E0	7.740604049E1	1.246916519E1
4.520000000E0	7.766500433E1	1.248289162E1
4.560000000E0	7.766911348E1	1.254458195E1
4.600000000E0	7.729987213E1	1.280134825E1
4.640000000E0	7.649191572E1	1.331504756E1
4.680000000E0	7.513998854E1	1.414516080E1
4.720000000E0	7.298927557E1	1.512060388E1
4.760000000E0	7.020684142E1	1.604976091E1
4.800000000E0	6.685019117E1	1.672793714E1
4.840000000E0	6.318848722E1	1.703538407E1
4.880000000E0	5.940191060E1	1.700393612E1
4.920000000E0	5.574857575E1	1.664125944E1
4.960000000E0	5.256963664E1	1.606246515E1
5.000000000E0	4.995655697E1	1.539962076E1
5.040000000E0	4.802551623E1	1.460700688E1
5.080000000E0	4.675357014E1	1.375820154E1
5.120000000E0	4.600756800E1	1.298502018E1
5.160000000E0	4.573529004E1	1.221330375E1
5.200000000E0	4.574852618E1	1.213078968E1
5.240000000E0	4.591451464E1	1.207714400E1
5.280000000E0	4.613783587E1	1.205936879E1
5.320000000E0	4.627046596E1	1.210993643E1
5.360000000E0	4.625428965E1	1.209921403E1
5.400000000E0	4.621345146E1	1.204336242E1
5.440000000E0	4.614715206E1	1.199705907E1
5.480000000E0	4.606302827E1	1.198537019E1
5.520000000E0	4.604262979E1	1.200480843E1
5.560000000E0	4.614364771E1	1.214074858E1
5.600000000E0	4.655525020E1	1.240336258E1
5.640000000E0	4.741650242E1	1.286581580E1
5.680000000E0	4.871905704E1	1.354527423E1
5.720000000E0	5.060277369E1	1.409262888E1
5.760000000E0	5.276198781E1	1.437242046E1
5.800000000E0	5.508874479E1	1.448483173E1
5.840000000E0	5.980419170E1	1.411427576E1
5.880000000E0	5.981966300E1	1.409644208E1
5.920000000E0	6.191693158E1	1.386812437E1
5.960000000E0	6.389866384E1	1.360274385E1
6.000000000E0	6.569630041E1	1.321932132E1
