axel
t	x	y
0.000000000E0	1.599088901E1	3.774060654E1
4.000000000E-2	1.599101376E1	3.774168774E1
8.000000000E-2	1.599116081E1	3.774072773E1
1.200000000E-1	1.599288743E1	3.774426387E1
1.600000000E-1	1.599303467E1	3.774392571E1
2.000000000E-1	1.599288513E1	3.774280094E1
2.400000000E-1	1.599125177E1	3.774137358E1
2.800000000E-1	1.599065602E1	3.774032691E1
3.200000000E-1	1.598971111E1	3.773943528E1
3.600000000E-1	1.598980972E1	3.773981598E1
4.000000000E-1	1.599002934E1	3.773929294E1
4.400000000E-1	1.598944879E1	3.773883886E1
4.800000000E-1	1.598910227E1	3.773861351E1
5.200000000E-1	1.598931145E1	3.773774758E1
5.600000000E-1	1.598960796E1	3.773757245E1
6.000000000E-1	1.598923326E1	3.773643690E1
6.400000000E-1	1.598918683E1	3.773685789E1
6.800000000E-1	1.598938682E1	3.773727558E1
7.200000000E-1	1.598963238E1	3.773716835E1
7.600000000E-1	1.598955838E1	3.773741190E1
8.000000000E-1	1.598952556E1	3.773762715E1
8.400000000E-1	1.598966733E1	3.773789136E1
8.800000000E-1	1.598983088E1	3.773824846E1
9.200000000E-1	1.598937017E1	3.773795558E1
9.600000000E-1	1.598985128E1	3.773943946E1
1.000000000E0	1.599150477E1	3.774046363E1
1.040000000E0	1.599137481E1	3.773998017E1
1.080000000E0	1.599142106E1	3.773986931E1
1.120000000E0	1.599208494E1	3.774102742E1
1.160000000E0	1.599107360E1	3.773997439E1
1.200000000E0	1.598814574E1	3.773866965E1
1.240000000E0	1.598668978E1	3.773800552E1
1.280000000E0	1.598693060E1	3.773802006E1
1.320000000E0	1.598730017E1	3.773805438E1
1.360000000E0	1.598685160E1	3.773580319E1
1.400000000E0	1.598849336E1	3.773753316E1
1.440000000E0	1.598880417E1	3.773826321E1
1.480000000E0	1.598889894E1	3.773871518E1
1.520000000E0	1.598905292E1	3.773903328E1
1.560000000E0	1.598911423E1	3.773923391E1
1.600000000E0	1.598612902E1	3.773834904E1
1.640000000E0	1.598210878E1	3.773772979E1
1.680000000E0	1.598277655E1	3.773945353E1
1.720000000E0	1.597645715E1	3.773854710E1
1.760000000E0	1.598010377E1	3.774014875E1
1.800000000E0	1.598192504E1	3.774039067E1
