armbåge
t	x	y
0.000000000E0	1.618804800E1	6.275685989E0
4.000000000E-2	1.618910010E1	6.276371289E0
8.000000000E-2	1.618753708E1	6.275044221E0
1.200000000E-1	1.618838937E1	6.276211322E0
1.600000000E-1	1.618754356E1	6.273999350E0
2.000000000E-1	1.618744930E1	6.274312358E0
2.400000000E-1	1.618714779E1	6.275899379E0
2.800000000E-1	1.618779075E1	6.276973388E0
3.200000000E-1	1.618688840E1	6.275229296E0
3.600000000E-1	1.618637299E1	6.274708055E0
4.000000000E-1	1.618643547E1	6.275055566E0
4.400000000E-1	1.618696515E1	6.274757874E0
4.800000000E-1	1.618756567E1	6.272321175E0
5.200000000E-1	1.618524493E1	6.271780102E0
5.600000000E-1	1.618263317E1	6.269886350E0
6.000000000E-1	1.618080442E1	6.267731365E0
6.400000000E-1	1.618178623E1	6.269584282E0
6.800000000E-1	1.618367172E1	6.271460446E0
7.200000000E-1	1.618473829E1	6.273700963E0
7.600000000E-1	1.618540594E1	6.273935142E0
8.000000000E-1	1.618424251E1	6.271333304E0
8.400000000E-1	1.618550218E1	6.272814958E0
8.800000000E-1	1.618629298E1	6.273744284E0
9.200000000E-1	1.618667090E1	6.275161726E0
9.600000000E-1	1.618704530E1	6.275419604E0
1.000000000E0	1.618915662E1	6.275925695E0
1.040000000E0	1.618741003E1	6.274421656E0
1.080000000E0	1.618629610E1	6.273434570E0
1.120000000E0	1.618734918E1	6.274857864E0
1.160000000E0	1.618806312E1	6.275447578E0
1.200000000E0	1.618802954E1	6.275707726E0
1.240000000E0	1.618815025E1	6.275639494E0
1.280000000E0	1.618808908E1	6.275574103E0
1.320000000E0	1.618804709E1	6.275526919E0
1.360000000E0	1.618806513E1	6.275594783E0
1.400000000E0	1.618807567E1	6.275662294E0
1.440000000E0	1.618816114E1	6.275707320E0
1.480000000E0	1.618814912E1	6.275672470E0
1.520000000E0	1.618825801E1	6.275665850E0
1.560000000E0	1.618811380E1	6.275589725E0
1.600000000E0	1.618829721E1	6.275249881E0
1.640000000E0	1.618846206E1	6.274977029E0
1.680000000E0	1.618897994E1	6.272745174E0
1.720000000E0	1.618943577E1	6.273222983E0
1.760000000E0	1.619252751E1	6.274625520E0
1.800000000E0	1.619633081E1	6.275989782E0
1.840000000E0	1.619109055E1	6.275068309E0
1.880000000E0	1.618881704E1	6.274711067E0
1.920000000E0	1.618852743E1	6.274522208E0
1.960000000E0	1.618824121E1	6.274578951E0
2.000000000E0	1.618780002E1	6.271726618E0
2.040000000E0	1.618783463E1	6.272846066E0
2.080000000E0	1.618745857E1	6.272386797E0
2.120000000E0	1.618791882E1	6.273352279E0
2.160000000E0	1.618798646E1	6.273920507E0
2.200000000E0	1.618781774E1	6.274222181E0
2.240000000E0	1.618613571E1	6.270498147E0
2.280000000E0	1.618654963E1	6.270070775E0
2.320000000E0	1.618636835E1	6.268923511E0
2.360000000E0	1.618643511E1	6.272308944E0
2.400000000E0	1.618645143E1	6.273868923E0
2.440000000E0	1.618676656E1	6.273770928E0
2.480000000E0	1.618699338E1	6.274298573E0
2.520000000E0	1.618695914E1	6.274446742E0
2.560000000E0	1.619103044E1	6.336541071E0
2.600000000E0	1.618051448E1	6.527326149E0
2.640000000E0	1.644100910E1	6.755704683E0
2.680000000E0	1.693296488E1	7.146752721E0
2.720000000E0	1.789419424E1	7.692766626E0
2.760000000E0	1.937818502E1	8.353638518E0
2.800000000E0	2.143169257E1	9.283059394E0
2.840000000E0	2.400520254E1	1.045505414E1
2.880000000E0	2.683534414E1	1.183232520E1
2.920000000E0	2.977786242E1	1.329354282E1
2.960000000E0	3.259069452E1	1.463615542E1
3.000000000E0	3.520343026E1	1.580513892E1
3.040000000E0	3.770272605E1	1.660270721E1
3.080000000E0	4.030599923E1	1.720942741E1
3.120000000E0	4.324805273E1	1.791055675E1
3.160000000E0	4.647316909E1	1.884497967E1
3.200000000E0	4.951924467E1	2.007083332E1
3.240000000E0	5.186012357E1	2.123914015E1
3.280000000E0	5.337998876E1	2.195787341E1
3.320000000E0	5.423540645E1	2.237128381E1
3.360000000E0	5.464121044E1	2.276464887E1
3.400000000E0	5.461404901E1	2.303167368E1
3.440000000E0	5.410811653E1	2.305795905E1
3.480000000E0	5.324784311E1	2.296606742E1
3.520000000E0	5.207901690E1	2.266551816E1
3.560000000E0	5.051049190E1	2.213866144E1
3.600000000E0	4.857084969E1	2.143836698E1
3.640000000E0	4.623415174E1	2.049545196E1
3.680000000E0	4.356168829E1	1.950573527E1
3.720000000E0	4.049737033E1	1.815104495E1
3.760000000E0	3.713534121E1	1.660195488E1
3.800000000E0	3.358274612E1	1.495430559E1
3.840000000E0	2.990378490E1	1.326590505E1
3.880000000E0	2.628855077E1	1.170139219E1
3.920000000E0	2.303522030E1	1.026771264E1
3.960000000E0	2.037741120E1	9.097059317E0
4.000000000E0	1.847225713E1	8.199185364E0
4.040000000E0	1.724928370E1	7.464092821E0
4.080000000E0	1.654080227E1	6.929088497E0
4.120000000E0	1.620156879E1	6.558653757E0
4.160000000E0	1.619597872E1	6.439811290E0
4.200000000E0	1.634686599E1	6.480736466E0
4.240000000E0	1.658323356E1	6.511556684E0
4.280000000E0	1.677826930E1	6.588812221E0
4.320000000E0	1.679355711E1	6.640454803E0
4.360000000E0	1.675667770E1	6.572968530E0
4.400000000E0	1.668337590E1	6.567878851E0
4.440000000E0	1.664366930E1	6.547874843E0
4.480000000E0	1.663768929E1	6.579819203E0
4.520000000E0	1.677824434E1	6.843803290E0
4.560000000E0	1.739243750E1	7.183463225E0
4.600000000E0	1.878548276E1	7.764258385E0
4.640000000E0	2.098850865E1	8.662147376E0
4.680000000E0	2.380488160E1	9.916246386E0
4.720000000E0	2.708257066E1	1.147114727E1
4.760000000E0	3.043251892E1	1.313564149E1
4.800000000E0	3.368485484E1	1.474478952E1
4.840000000E0	3.657891027E1	1.613843610E1
4.880000000E0	3.899271638E1	1.714341055E1
4.920000000E0	4.081007697E1	1.768275269E1
4.960000000E0	4.235216294E1	1.796630899E1
5.000000000E0	4.409243800E1	1.836743516E1
5.040000000E0	4.655534627E1	1.922602786E1
5.080000000E0	4.952917830E1	2.075653753E1
5.120000000E0	5.182921262E1	2.213376109E1
5.160000000E0	5.297923096E1	2.246801093E1
5.200000000E0	5.356917444E1	2.309120756E1
5.240000000E0	5.388565375E1	2.408528891E1
5.280000000E0	5.365866543E1	2.453117250E1
5.320000000E0	5.312027984E1	2.448147481E1
5.360000000E0	5.242459912E1	2.423116344E1
5.400000000E0	5.156959394E1	2.392259448E1
5.440000000E0	5.055070418E1	2.356718914E1
5.480000000E0	4.935551623E1	2.301787182E1
5.520000000E0	4.796089248E1	2.221423373E1
5.560000000E0	4.633890684E1	2.128091394E1
5.600000000E0	4.446946065E1	2.013325913E1
5.640000000E0	4.240983448E1	1.898466249E1
