hand
t	x	y
0.000000000E0	4.810928271E1	1.373338653E1
4.000000000E-2	4.811035428E1	1.373495212E1
8.000000000E-2	4.810844436E1	1.373372993E1
1.200000000E-1	4.810886943E1	1.373401793E1
1.600000000E-1	4.810871422E1	1.373408410E1
2.000000000E-1	4.810836667E1	1.373367864E1
2.400000000E-1	4.810738587E1	1.373261657E1
2.800000000E-1	4.810827289E1	1.373484896E1
3.200000000E-1	4.810752593E1	1.373342905E1
3.600000000E-1	4.810732402E1	1.373343821E1
4.000000000E-1	4.810721633E1	1.373335807E1
4.400000000E-1	4.810776970E1	1.373346155E1
4.800000000E-1	4.810783863E1	1.373378926E1
5.200000000E-1	4.810657400E1	1.373231730E1
5.600000000E-1	4.810626835E1	1.373182963E1
6.000000000E-1	4.810131546E1	1.373342071E1
6.400000000E-1	4.810195455E1	1.373346043E1
6.800000000E-1	4.810406014E1	1.373341801E1
7.200000000E-1	4.810499377E1	1.373373815E1
7.600000000E-1	4.810595067E1	1.373366688E1
8.000000000E-1	4.810591747E1	1.373373503E1
8.400000000E-1	4.810681182E1	1.373384890E1
8.800000000E-1	4.810737734E1	1.373392808E1
9.200000000E-1	4.810728683E1	1.373408018E1
9.600000000E-1	4.810770041E1	1.373391399E1
1.000000000E0	4.810911856E1	1.373447698E1
1.040000000E0	4.810800523E1	1.373339814E1
1.080000000E0	4.810752803E1	1.373280785E1
1.120000000E0	4.810779367E1	1.373430002E1
1.160000000E0	4.810883379E1	1.373384645E1
1.200000000E0	4.810892418E1	1.373389455E1
1.240000000E0	4.810897933E1	1.373395111E1
1.280000000E0	4.810910620E1	1.373368182E1
1.320000000E0	4.810913706E1	1.373366980E1
1.360000000E0	4.810916306E1	1.373367261E1
1.400000000E0	4.810917800E1	1.373370346E1
1.440000000E0	4.810922189E1	1.373365935E1
1.480000000E0	4.810923124E1	1.373365042E1
1.520000000E0	4.810922391E1	1.373364979E1
1.560000000E0	4.810920845E1	1.373367333E1
1.600000000E0	4.810928874E1	1.373370833E1
1.640000000E0	4.810934132E1	1.373376995E1
1.680000000E0	4.810998240E1	1.373479024E1
1.720000000E0	4.810994704E1	1.373367483E1
1.760000000E0	4.811213353E1	1.373439230E1
1.800000000E0	4.811469147E1	1.373502732E1
1.840000000E0	4.811183380E1	1.373435260E1
1.880000000E0	4.811033452E1	1.373389652E1
1.920000000E0	4.810976838E1	1.373356823E1
1.960000000E0	4.810936459E1	1.373332747E1
2.000000000E0	4.810984347E1	1.373323318E1
2.040000000E0	4.810973789E1	1.373329290E1
2.080000000E0	4.810975246E1	1.373274262E1
2.120000000E0	4.810954617E1	1.373305114E1
2.160000000E0	4.810946845E1	1.373319634E1
2.200000000E0	4.810941848E1	1.373311083E1
2.240000000E0	4.810967422E1	1.373187393E1
2.280000000E0	4.810978448E1	1.373168631E1
2.320000000E0	4.810966174E1	1.373206510E1
2.360000000E0	4.810919205E1	1.373226229E1
2.400000000E0	4.810886677E1	1.373235271E1
2.440000000E0	4.810840899E1	1.373249743E1
2.480000000E0	4.810814694E1	1.373291563E1
2.520000000E0	4.810801189E1	1.373280274E1
2.560000000E0	4.810810455E1	1.373349536E1
2.600000000E0	4.813108182E1	1.378599296E1
2.640000000E0	4.840421996E1	1.401824913E1
2.680000000E0	4.894319811E1	1.445059656E1
2.720000000E0	4.993134710E1	1.512077973E1
2.760000000E0	5.156906875E1	1.580373438E1
2.800000000E0	5.378651708E1	1.628509370E1
2.840000000E0	5.651555055E1	1.653431950E1
2.880000000E0	5.954671832E1	1.647532156E1
2.920000000E0	6.251917031E1	1.620573630E1
2.960000000E0	6.543876956E1	1.577351395E1
3.000000000E0	6.815021223E1	1.517583528E1
3.040000000E0	7.077929516E1	1.450120967E1
3.080000000E0	7.352915284E1	1.375183648E1
3.120000000E0	7.660793961E1	1.340868203E1
3.160000000E0	7.987381462E1	1.312933003E1
3.200000000E0	8.283350538E1	1.295105433E1
3.240000000E0	8.510999113E1	1.330154356E1
3.280000000E0	8.647664801E1	1.396598253E1
3.320000000E0	8.731781810E1	1.472843765E1
3.360000000E0	8.768643642E1	1.539462014E1
3.400000000E0	8.761807552E1	1.582164384E1
3.440000000E0	8.719713141E1	1.621022258E1
3.480000000E0	8.645912887E1	1.664876397E1
3.520000000E0	8.542287935E1	1.713597067E1
3.560000000E0	8.402816524E1	1.760386864E1
3.600000000E0	8.212722021E1	1.829458876E1
3.640000000E0	7.971896643E1	1.903573039E1
